Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-uag8814320-il-500000
Airfoil,uag8814320-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,126.974
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-uag8814320-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,0.1301,0.08739,0.08401,-0.1646,0.8347,0.0166
-10.500,0.1339,0.08494,0.08159,-0.1650,0.8335,0.0172
-10.250,0.1359,0.08223,0.07892,-0.1654,0.8321,0.0171
-10.000,0.1377,0.07958,0.07630,-0.1659,0.8307,0.0174
-9.750,0.0984,0.06904,0.06586,-0.1668,0.8286,0.0102
-9.500,0.0969,0.06639,0.06323,-0.1671,0.8270,0.0099
-9.250,0.0882,0.06294,0.05982,-0.1676,0.8252,0.0096
-9.000,0.0676,0.05816,0.05509,-0.1685,0.8231,0.0094
-8.750,-0.1519,0.02920,0.02534,-0.1623,0.8148,0.0072
-8.500,-0.1542,0.02608,0.02176,-0.1591,0.8128,0.0071
-8.250,-0.1469,0.02393,0.01923,-0.1566,0.8113,0.0071
-8.000,-0.1353,0.02217,0.01714,-0.1544,0.8101,0.0073
-7.750,-0.1186,0.02103,0.01575,-0.1529,0.8089,0.0074
-7.500,-0.1034,0.02020,0.01477,-0.1510,0.8068,0.0076
-7.250,-0.0861,0.01958,0.01404,-0.1494,0.8044,0.0081
-7.000,-0.0668,0.01892,0.01325,-0.1481,0.8025,0.0084
-6.750,-0.0455,0.01832,0.01251,-0.1470,0.8009,0.0090
-6.500,-0.0226,0.01775,0.01179,-0.1463,0.7996,0.0096
-6.250,0.0000,0.01703,0.01094,-0.1454,0.7983,0.0111
-6.000,0.0249,0.01662,0.01046,-0.1450,0.7972,0.0127
-5.750,0.0501,0.01623,0.00995,-0.1446,0.7962,0.0150
-5.500,0.0758,0.01598,0.00968,-0.1443,0.7953,0.0208
-5.250,0.0917,0.01599,0.00976,-0.1423,0.7919,0.0249
-5.000,0.1147,0.01600,0.00974,-0.1415,0.7895,0.0279
