Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-usa35b-il-100000
Airfoil,usa35b-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,53.3471
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-usa35b-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.3138,0.09363,0.08870,-0.0330,1.0000,0.1178
-9.250,-0.3264,0.09204,0.08722,-0.0319,1.0000,0.1206
-9.000,-0.3559,0.09153,0.08688,-0.0296,1.0000,0.1224
-8.750,-0.3988,0.09097,0.08644,-0.0337,1.0000,0.1240
-8.500,-0.4089,0.08755,0.08308,-0.0333,1.0000,0.1250
-8.250,-0.4001,0.08485,0.08047,-0.0274,1.0000,0.1263
-8.000,-0.3992,0.08299,0.07867,-0.0237,1.0000,0.1280
-7.750,-0.4037,0.08128,0.07703,-0.0214,1.0000,0.1301
-7.500,-0.3986,0.07786,0.07352,-0.0314,0.9961,0.1390
-7.250,-0.3692,0.07256,0.06821,-0.0360,0.9890,0.1429
-6.750,-0.2865,0.06451,0.05973,-0.0558,0.9705,0.1720
-6.500,-0.2602,0.06004,0.05538,-0.0568,0.9616,0.1758
-6.250,-0.2194,0.05618,0.05136,-0.0642,0.9534,0.1917
-6.000,-0.1831,0.05300,0.04804,-0.0693,0.9432,0.2084
-5.750,-0.1501,0.05028,0.04538,-0.0708,0.9343,0.2177
-5.250,-0.0399,0.03320,0.02569,-0.0894,0.9179,0.1081
-5.000,0.0037,0.03013,0.02235,-0.0928,0.9111,0.1045
-4.750,0.0443,0.02784,0.01965,-0.0951,0.9028,0.1024
-4.500,0.0844,0.02620,0.01766,-0.0970,0.8941,0.1040
-4.250,0.1199,0.02499,0.01615,-0.0980,0.8839,0.1068
-4.000,0.1594,0.02373,0.01460,-0.0994,0.8761,0.1088
-3.750,0.1895,0.02247,0.01335,-0.0995,0.8647,0.1122
-3.500,0.2266,0.02145,0.01230,-0.1005,0.8576,0.1199
-3.250,0.2531,0.02073,0.01164,-0.0999,0.8451,0.1291
-3.000,0.2825,0.01996,0.01093,-0.0995,0.8352,0.1432
-2.750,0.3120,0.01914,0.01030,-0.0992,0.8256,0.1762
-2.500,0.3361,0.01785,0.00979,-0.0984,0.8141,0.3158
-2.250,0.3812,0.01559,0.00930,-0.0990,0.8071,1.0000
-2.000,0.4056,0.01573,0.00918,-0.0981,0.7942,1.0000
-1.750,0.4317,0.01582,0.00906,-0.0973,0.7831,1.0000
-1.500,0.4602,0.01582,0.00882,-0.0968,0.7740,1.0000
-1.250,0.4849,0.01604,0.00890,-0.0961,0.7623,1.0000
-1.000,0.5122,0.01614,0.00882,-0.0956,0.7532,1.0000
-0.750,0.5386,0.01630,0.00884,-0.0950,0.7429,1.0000
-0.500,0.5644,0.01652,0.00895,-0.0944,0.7327,1.0000
-0.250,0.5926,0.01660,0.00887,-0.0940,0.7241,1.0000
0.000,0.6174,0.01690,0.00910,-0.0933,0.7130,1.0000
0.250,0.6453,0.01703,0.00910,-0.0929,0.7044,1.0000
0.500,0.6709,0.01728,0.00929,-0.0923,0.6937,1.0000
0.750,0.6970,0.01756,0.00950,-0.0917,0.6836,1.0000
1.000,0.7249,0.01771,0.00954,-0.0913,0.6744,1.0000
1.250,0.7496,0.01806,0.00987,-0.0906,0.6630,1.0000
1.500,0.7770,0.01829,0.01001,-0.0901,0.6535,1.0000
1.750,0.8030,0.01858,0.01026,-0.0895,0.6425,1.0000
2.000,0.8280,0.01895,0.01061,-0.0888,0.6310,1.0000
2.250,0.8562,0.01916,0.01073,-0.0884,0.6214,1.0000
