Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ah94145-il-1000000
Airfoil,ah94145-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,177.415
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-ah94145-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.1234,0.10524,0.10239,-0.0627,0.6864,0.0171
-11.250,-0.5610,0.03498,0.03151,-0.1101,0.6974,0.0132
-11.000,-0.5563,0.03101,0.02720,-0.1129,0.6949,0.0133
-10.750,-0.5413,0.02865,0.02458,-0.1142,0.6930,0.0134
-10.500,-0.5349,0.02399,0.01943,-0.1159,0.6915,0.0136
-10.250,-0.5149,0.02202,0.01725,-0.1165,0.6898,0.0138
-10.000,-0.4910,0.02088,0.01599,-0.1170,0.6878,0.0141
-9.750,-0.4658,0.01996,0.01497,-0.1174,0.6859,0.0143
-9.500,-0.4400,0.01915,0.01405,-0.1178,0.6840,0.0145
-9.250,-0.4138,0.01836,0.01313,-0.1182,0.6821,0.0148
-9.000,-0.3873,0.01760,0.01224,-0.1186,0.6802,0.0151
-8.750,-0.3604,0.01691,0.01141,-0.1190,0.6780,0.0154
-8.500,-0.3331,0.01623,0.01062,-0.1194,0.6765,0.0158
-8.250,-0.3052,0.01563,0.00992,-0.1197,0.6751,0.0161
-8.000,-0.2769,0.01517,0.00936,-0.1201,0.6735,0.0163
-7.750,-0.2499,0.01410,0.00817,-0.1206,0.6718,0.0170
-7.500,-0.2215,0.01364,0.00768,-0.1210,0.6702,0.0175
-7.250,-0.1929,0.01326,0.00725,-0.1215,0.6686,0.0180
-7.000,-0.1641,0.01287,0.00680,-0.1219,0.6670,0.0185
-6.750,-0.1352,0.01251,0.00636,-0.1223,0.6652,0.0191
-6.500,-0.1062,0.01221,0.00599,-0.1227,0.6633,0.0196
-6.250,-0.0773,0.01173,0.00543,-0.1231,0.6610,0.0203
-6.000,-0.0480,0.01136,0.00505,-0.1237,0.6600,0.0212
-5.750,-0.0185,0.01109,0.00477,-0.1241,0.6588,0.0222
-5.500,0.0111,0.01086,0.00451,-0.1246,0.6573,0.0232
-5.250,0.0407,0.01052,0.00414,-0.1251,0.6557,0.0246
-5.000,0.0704,0.01031,0.00392,-0.1256,0.6541,0.0263
-4.750,0.1001,0.01014,0.00372,-0.1261,0.6525,0.0278
