Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-b540ols-il-100000
Airfoil,b540ols-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,31.543
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-b540ols-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.8494,0.08352,0.07832,-0.0002,1.0000,0.0882
-10.000,-0.8530,0.07779,0.07254,-0.0024,1.0000,0.0872
-9.750,-0.8655,0.07173,0.06643,-0.0048,1.0000,0.0862
-9.500,-0.8837,0.06453,0.05903,-0.0079,1.0000,0.0849
-9.250,-0.9005,0.05706,0.05118,-0.0102,1.0000,0.0836
-9.000,-0.9069,0.05051,0.04412,-0.0112,1.0000,0.0830
-8.750,-0.9036,0.04510,0.03815,-0.0114,1.0000,0.0831
-8.500,-0.8930,0.04084,0.03332,-0.0111,1.0000,0.0845
-8.250,-0.8784,0.03749,0.02928,-0.0105,1.0000,0.0871
-8.000,-0.8594,0.03438,0.02589,-0.0101,1.0000,0.0900
-7.750,-0.8367,0.03239,0.02379,-0.0097,1.0000,0.0933
-7.500,-0.8139,0.03050,0.02155,-0.0092,1.0000,0.0982
-7.250,-0.7905,0.02835,0.01917,-0.0087,1.0000,0.1031
-7.000,-0.7657,0.02689,0.01763,-0.0083,1.0000,0.1089
-6.750,-0.7407,0.02525,0.01578,-0.0078,1.0000,0.1162
-6.500,-0.7152,0.02402,0.01453,-0.0074,1.0000,0.1246
-6.250,-0.6898,0.02271,0.01323,-0.0070,1.0000,0.1343
-6.000,-0.6640,0.02151,0.01199,-0.0066,1.0000,0.1463
-5.750,-0.6383,0.02046,0.01099,-0.0062,1.0000,0.1612
-5.500,-0.6126,0.01949,0.01010,-0.0058,1.0000,0.1795
-5.250,-0.5866,0.01861,0.00924,-0.0054,1.0000,0.2030
-5.000,-0.5610,0.01781,0.00863,-0.0049,1.0000,0.2303
-4.750,-0.5352,0.01713,0.00810,-0.0045,1.0000,0.2620
-4.500,-0.5092,0.01658,0.00767,-0.0041,1.0000,0.2962
-4.250,-0.4832,0.01616,0.00741,-0.0036,1.0000,0.3295
-4.000,-0.4570,0.01584,0.00719,-0.0031,1.0000,0.3618
-3.750,-0.4306,0.01555,0.00696,-0.0026,1.0000,0.3932
-3.500,-0.4044,0.01522,0.00674,-0.0020,1.0000,0.4224
-3.250,-0.3782,0.01486,0.00650,-0.0014,1.0000,0.4502
-3.000,-0.3519,0.01450,0.00623,-0.0008,1.0000,0.4785
-2.750,-0.3257,0.01415,0.00598,-0.0003,1.0000,0.5069
-2.500,-0.2998,0.01376,0.00576,0.0004,1.0000,0.5340
-2.250,-0.2738,0.01339,0.00553,0.0011,1.0000,0.5625
-2.000,-0.2479,0.01303,0.00532,0.0018,1.0000,0.5927
-1.750,-0.2225,0.01267,0.00514,0.0026,1.0000,0.6245
-1.500,-0.1975,0.01230,0.00500,0.0036,1.0000,0.6592
-1.250,-0.1735,0.01192,0.00490,0.0049,1.0000,0.6988
-1.000,-0.1506,0.01156,0.00484,0.0066,1.0000,0.7498
-0.750,-0.1292,0.01123,0.00486,0.0090,1.0000,0.8206
-0.500,-0.0919,0.01105,0.00495,0.0085,1.0000,0.9247
-0.250,-0.0183,0.01098,0.00488,-0.0008,1.0000,1.0000
0.000,0.0000,0.01091,0.00476,0.0000,1.0000,1.0000
0.250,0.0183,0.01098,0.00488,0.0008,1.0000,1.0000
0.500,0.0919,0.01105,0.00495,-0.0085,0.9248,1.0000
0.750,0.1293,0.01123,0.00486,-0.0090,0.8207,1.0000
1.000,0.1507,0.01156,0.00484,-0.0066,0.7499,1.0000
1.250,0.1736,0.01192,0.00490,-0.0049,0.6989,1.0000
1.500,0.1975,0.01230,0.00500,-0.0036,0.6592,1.0000
1.750,0.2225,0.01267,0.00514,-0.0026,0.6245,1.0000
2.000,0.2480,0.01303,0.00532,-0.0018,0.5927,1.0000
2.250,0.2738,0.01339,0.00553,-0.0011,0.5625,1.0000
2.500,0.2998,0.01376,0.00576,-0.0005,0.5340,1.0000
2.750,0.3257,0.01415,0.00598,0.0002,0.5070,1.0000
3.000,0.3520,0.01450,0.00623,0.0008,0.4786,1.0000
3.250,0.3783,0.01486,0.00650,0.0014,0.4503,1.0000
3.500,0.4044,0.01522,0.00674,0.0020,0.4224,1.0000
3.750,0.4307,0.01555,0.00696,0.0026,0.3933,1.0000
4.000,0.4570,0.01584,0.00719,0.0031,0.3618,1.0000
4.250,0.4833,0.01616,0.00741,0.0036,0.3295,1.0000
4.500,0.5093,0.01658,0.00767,0.0041,0.2962,1.0000
4.750,0.5353,0.01713,0.00810,0.0045,0.2621,1.0000
5.000,0.5611,0.01781,0.00863,0.0049,0.2304,1.0000
5.250,0.5867,0.01860,0.00924,0.0053,0.2030,1.0000
5.500,0.6127,0.01949,0.01010,0.0057,0.1795,1.0000
5.750,0.6384,0.02046,0.01099,0.0062,0.1612,1.0000
6.000,0.6641,0.02151,0.01199,0.0066,0.1463,1.0000
6.250,0.6898,0.02270,0.01322,0.0070,0.1343,1.0000
6.500,0.7153,0.02402,0.01453,0.0074,0.1245,1.0000
6.750,0.7408,0.02525,0.01578,0.0078,0.1162,1.0000
7.000,0.7658,0.02689,0.01763,0.0083,0.1089,1.0000
7.250,0.7906,0.02835,0.01917,0.0087,0.1031,1.0000
7.500,0.8139,0.03049,0.02155,0.0091,0.0982,1.0000
7.750,0.8368,0.03239,0.02379,0.0097,0.0933,1.0000
8.000,0.8595,0.03438,0.02589,0.0101,0.0900,1.0000
8.250,0.8785,0.03749,0.02928,0.0105,0.0871,1.0000
8.500,0.8931,0.04084,0.03332,0.0110,0.0845,1.0000
8.750,0.9037,0.04510,0.03815,0.0113,0.0831,1.0000
9.000,0.9070,0.05051,0.04412,0.0112,0.0830,1.0000
9.250,0.9006,0.05707,0.05118,0.0102,0.0836,1.0000
9.500,0.8840,0.06454,0.05904,0.0079,0.0849,1.0000
9.750,0.8659,0.07175,0.06645,0.0047,0.0862,1.0000
10.000,0.8534,0.07782,0.07258,0.0023,0.0872,1.0000
10.250,0.8498,0.08355,0.07835,0.0001,0.0882,1.0000
