Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-b707a-il-500000
Airfoil,b707a-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,59.1237
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-b707a-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.000,-0.8487,0.13023,0.12753,0.0085,1.0000,0.0215
-15.750,-0.9599,0.09874,0.09568,-0.0105,1.0000,0.0205
-15.500,-1.0391,0.08064,0.07711,-0.0213,1.0000,0.0198
-15.250,-1.0854,0.07018,0.06627,-0.0271,1.0000,0.0194
-15.000,-1.1197,0.06223,0.05794,-0.0311,1.0000,0.0192
-14.750,-1.1366,0.05699,0.05243,-0.0331,1.0000,0.0190
-14.500,-1.1466,0.05291,0.04813,-0.0345,1.0000,0.0188
-14.250,-1.1536,0.04940,0.04441,-0.0354,1.0000,0.0187
-14.000,-1.1558,0.04657,0.04143,-0.0358,1.0000,0.0187
-13.750,-1.1571,0.04406,0.03875,-0.0359,1.0000,0.0186
-13.500,-1.1558,0.04190,0.03645,-0.0356,1.0000,0.0186
-13.250,-1.1533,0.03990,0.03432,-0.0350,1.0000,0.0185
-13.000,-1.1493,0.03815,0.03246,-0.0341,1.0000,0.0185
-12.750,-1.1428,0.03629,0.03049,-0.0330,1.0000,0.0184
-12.500,-1.1358,0.03455,0.02864,-0.0318,1.0000,0.0184
-12.250,-1.1267,0.03294,0.02694,-0.0304,1.0000,0.0184
-12.000,-1.1188,0.03151,0.02540,-0.0288,1.0000,0.0184
-11.750,-1.1102,0.03022,0.02402,-0.0271,1.0000,0.0184
-11.500,-1.1017,0.02907,0.02278,-0.0251,1.0000,0.0184
-11.250,-1.0922,0.02803,0.02166,-0.0230,1.0000,0.0185
-11.000,-1.0824,0.02685,0.02042,-0.0207,1.0000,0.0185
-10.750,-1.0730,0.02595,0.01947,-0.0182,1.0000,0.0185
-10.500,-1.0636,0.02502,0.01849,-0.0155,1.0000,0.0184
-10.250,-1.0524,0.02407,0.01750,-0.0131,1.0000,0.0184
-10.000,-1.0403,0.02315,0.01654,-0.0108,1.0000,0.0184
-9.750,-1.0279,0.02229,0.01564,-0.0085,1.0000,0.0184
-9.500,-1.0150,0.02147,0.01479,-0.0062,1.0000,0.0184
-9.250,-1.0018,0.02068,0.01397,-0.0039,1.0000,0.0185
-9.000,-0.9881,0.01992,0.01320,-0.0016,1.0000,0.0185
-8.750,-0.9750,0.01912,0.01237,0.0008,1.0000,0.0185
-8.500,-0.9611,0.01835,0.01159,0.0031,1.0000,0.0186
-8.250,-0.9468,0.01761,0.01082,0.0054,1.0000,0.0187
-8.000,-0.9309,0.01696,0.01015,0.0074,1.0000,0.0188
-7.750,-0.9145,0.01632,0.00949,0.0094,1.0000,0.0190
-7.500,-0.8795,0.01559,0.00874,0.0075,0.9960,0.0193
-7.250,-0.8484,0.01499,0.00812,0.0066,0.9915,0.0196
-7.000,-0.8186,0.01446,0.00756,0.0060,0.9862,0.0201
-6.750,-0.7863,0.01398,0.00705,0.0049,0.9812,0.0205
