Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-bacj-il-50000
Airfoil,bacj-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,20.8828
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-bacj-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.5030,0.10229,0.09459,-0.0087,1.0000,0.3799
-8.250,-0.7270,0.07475,0.06725,-0.0352,1.0000,0.1585
-8.000,-0.7265,0.07044,0.06291,-0.0340,1.0000,0.1557
-7.750,-0.7720,0.06350,0.05521,-0.0330,1.0000,0.1428
-7.500,-0.7672,0.05932,0.05083,-0.0316,1.0000,0.1418
-7.250,-0.7609,0.05533,0.04663,-0.0303,1.0000,0.1407
-7.000,-0.7545,0.05135,0.04234,-0.0289,1.0000,0.1395
-6.750,-0.7454,0.04770,0.03830,-0.0275,1.0000,0.1387
-6.500,-0.7336,0.04439,0.03452,-0.0261,1.0000,0.1395
-6.250,-0.7202,0.04156,0.03104,-0.0246,1.0000,0.1423
-6.000,-0.7021,0.03887,0.02842,-0.0236,1.0000,0.1485
-5.750,-0.6827,0.03657,0.02579,-0.0224,1.0000,0.1531
-5.500,-0.6624,0.03453,0.02315,-0.0211,1.0000,0.1599
-5.250,-0.6412,0.03257,0.02132,-0.0201,1.0000,0.1708
-5.000,-0.6187,0.03073,0.01935,-0.0190,1.0000,0.1842
-4.750,-0.5961,0.02910,0.01773,-0.0177,1.0000,0.2040
-4.500,-0.5733,0.02752,0.01613,-0.0163,1.0000,0.2326
-4.250,-0.5528,0.02583,0.01483,-0.0145,1.0000,0.2739
-4.000,-0.5362,0.02391,0.01351,-0.0125,1.0000,0.3445
-3.750,-0.5285,0.02203,0.01328,-0.0076,1.0000,0.4930
-3.500,-0.5295,0.02364,0.01560,0.0033,1.0000,0.6785
-3.250,-0.5284,0.02522,0.01711,0.0133,1.0000,0.7490
-3.000,-0.5233,0.02605,0.01781,0.0219,1.0000,0.8009
-2.750,-0.5099,0.02637,0.01796,0.0285,1.0000,0.8481
-2.500,-0.4583,0.02691,0.01814,0.0281,1.0000,0.8990
-2.250,-0.2366,0.02847,0.01867,-0.0046,1.0000,0.9646
-2.000,-0.1070,0.02796,0.01769,-0.0255,1.0000,1.0000
-1.750,-0.0998,0.02752,0.01720,-0.0233,1.0000,1.0000
-1.500,-0.0927,0.02711,0.01676,-0.0210,1.0000,1.0000
-1.250,-0.0858,0.02673,0.01634,-0.0187,1.0000,1.0000
-1.000,-0.0791,0.02638,0.01596,-0.0163,1.0000,1.0000
-0.750,-0.0726,0.02604,0.01561,-0.0138,1.0000,1.0000
-0.500,-0.0665,0.02572,0.01528,-0.0112,1.0000,1.0000
-0.250,-0.0607,0.02540,0.01496,-0.0086,1.0000,1.0000
0.000,-0.0553,0.02510,0.01466,-0.0059,1.0000,1.0000
0.250,-0.0506,0.02480,0.01437,-0.0031,1.0000,1.0000
0.500,-0.0463,0.02449,0.01409,-0.0002,1.0000,1.0000
0.750,-0.0427,0.02419,0.01381,0.0028,1.0000,1.0000
1.000,-0.0394,0.02388,0.01352,0.0058,1.0000,1.0000
1.250,-0.0356,0.02358,0.01324,0.0088,1.0000,1.0000
1.500,-0.0302,0.02333,0.01303,0.0114,1.0000,1.0000
1.750,-0.0216,0.02320,0.01292,0.0135,1.0000,1.0000
2.000,-0.0086,0.02320,0.01295,0.0149,1.0000,1.0000
2.250,0.0075,0.02332,0.01311,0.0157,1.0000,1.0000
2.500,0.0256,0.02355,0.01338,0.0161,1.0000,1.0000
2.750,0.0450,0.02385,0.01374,0.0163,1.0000,1.0000
3.000,0.0650,0.02422,0.01419,0.0163,1.0000,1.0000
3.250,0.0855,0.02467,0.01473,0.0163,1.0000,1.0000
3.500,0.1060,0.02518,0.01536,0.0162,1.0000,1.0000
3.750,0.1264,0.02575,0.01606,0.0160,1.0000,1.0000
4.000,0.1465,0.02640,0.01686,0.0158,1.0000,1.0000
4.250,0.1660,0.02713,0.01776,0.0155,1.0000,1.0000
4.500,0.1850,0.02796,0.01879,0.0152,1.0000,1.0000
4.750,0.5829,0.02815,0.01665,-0.0275,0.1561,1.0000
5.000,0.6434,0.03081,0.01924,-0.0330,0.1441,1.0000
5.250,0.6714,0.03251,0.02128,-0.0326,0.1397,1.0000
5.500,0.6943,0.03429,0.02328,-0.0315,0.1343,1.0000
5.750,0.7176,0.03631,0.02545,-0.0307,0.1314,1.0000
6.000,0.7387,0.03876,0.02822,-0.0293,0.1310,1.0000
6.250,0.7551,0.04129,0.03124,-0.0270,0.1324,1.0000
6.500,0.7688,0.04407,0.03451,-0.0245,0.1347,1.0000
6.750,0.7810,0.04694,0.03775,-0.0221,0.1350,1.0000
7.000,0.7900,0.05020,0.04146,-0.0195,0.1377,1.0000
7.250,0.7998,0.05386,0.04540,-0.0174,0.1417,1.0000
7.500,0.7995,0.05783,0.04997,-0.0142,0.1526,1.0000
7.750,0.7947,0.06290,0.05554,-0.0116,0.1702,1.0000
8.000,0.7887,0.07108,0.06419,-0.0117,0.2155,1.0000
