Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-bacxxx-il-500000
Airfoil,bacxxx-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,75.1783
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-bacxxx-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.4027,0.08382,0.08170,-0.0360,1.0000,0.0167
-9.750,-0.4131,0.07895,0.07686,-0.0369,1.0000,0.0167
-9.500,-0.4265,0.07356,0.07150,-0.0382,1.0000,0.0168
-9.250,-0.4490,0.06642,0.06437,-0.0415,1.0000,0.0164
-9.000,-0.4818,0.06032,0.05823,-0.0437,1.0000,0.0160
-8.750,-0.5190,0.05631,0.05419,-0.0428,1.0000,0.0156
-8.500,-0.5578,0.05418,0.05201,-0.0382,1.0000,0.0154
-8.250,-0.5847,0.05185,0.04961,-0.0338,0.9996,0.0153
-8.000,-0.5813,0.04717,0.04480,-0.0358,0.9966,0.0156
-7.750,-0.5748,0.04266,0.04013,-0.0372,0.9941,0.0161
-7.500,-0.5668,0.03845,0.03573,-0.0377,0.9906,0.0168
-7.250,-0.5518,0.03424,0.03126,-0.0383,0.9880,0.0182
-7.000,-0.5265,0.03246,0.02905,-0.0383,0.9858,0.0194
-6.750,-0.5293,0.02517,0.02138,-0.0369,0.9809,0.0201
-6.500,-0.5099,0.02193,0.01809,-0.0377,0.9789,0.0207
-6.250,-0.4868,0.01943,0.01548,-0.0386,0.9774,0.0216
-6.000,-0.4644,0.01720,0.01307,-0.0388,0.9753,0.0226
-5.750,-0.4461,0.01548,0.01114,-0.0375,0.9710,0.0240
-5.500,-0.4141,0.01595,0.01130,-0.0373,0.9686,0.0266
-5.250,-0.3959,0.01100,0.00595,-0.0372,0.9670,0.0282
-5.000,-0.3668,0.00924,0.00416,-0.0383,0.9660,0.0296
-4.750,-0.3361,0.00795,0.00274,-0.0393,0.9650,0.0318
-4.500,-0.3382,0.01867,0.01265,-0.0339,0.9676,0.0182
-4.250,-0.3065,0.01665,0.01048,-0.0343,0.9668,0.0171
-4.000,-0.2727,0.01541,0.00914,-0.0354,0.9658,0.0170
-3.750,-0.2459,0.01460,0.00829,-0.0352,0.9621,0.0174
-3.500,-0.2142,0.01400,0.00765,-0.0360,0.9581,0.0185
-3.250,-0.1759,0.01305,0.00665,-0.0382,0.9554,0.0187
-3.000,-0.1322,0.01217,0.00570,-0.0415,0.9535,0.0190
-2.750,-0.0872,0.01132,0.00477,-0.0451,0.9520,0.0202
-2.500,-0.0649,0.01085,0.00427,-0.0437,0.9440,0.0236
-2.250,-0.0412,0.00871,0.00342,-0.0439,0.9406,0.3914
-2.000,-0.0116,0.00794,0.00326,-0.0444,0.9383,0.5672
-1.750,0.0100,0.00775,0.00322,-0.0429,0.9315,0.6154
-1.500,0.0394,0.00755,0.00311,-0.0431,0.9276,0.6493
-1.250,0.0709,0.00735,0.00296,-0.0436,0.9244,0.6763
-1.000,0.0958,0.00724,0.00289,-0.0427,0.9179,0.6987
-0.750,0.1249,0.00706,0.00273,-0.0428,0.9124,0.7122
-0.500,0.1535,0.00687,0.00256,-0.0427,0.9055,0.7231
-0.250,0.1816,0.00668,0.00239,-0.0425,0.8967,0.7352
0.000,0.2080,0.00654,0.00226,-0.0419,0.8856,0.7485
0.250,0.2352,0.00640,0.00215,-0.0415,0.8739,0.7630
0.500,0.2624,0.00628,0.00206,-0.0411,0.8607,0.7789
0.750,0.2893,0.00619,0.00199,-0.0407,0.8458,0.7962
1.000,0.3159,0.00611,0.00193,-0.0402,0.8266,0.8148
1.250,0.3417,0.00607,0.00188,-0.0394,0.7995,0.8348
1.500,0.3661,0.00609,0.00184,-0.0384,0.7584,0.8564
1.750,0.3875,0.00629,0.00184,-0.0367,0.6983,0.8801
2.000,0.4059,0.00668,0.00195,-0.0344,0.6175,0.9055
2.250,0.4257,0.00718,0.00213,-0.0326,0.5396,0.9290
2.500,0.4507,0.00760,0.00231,-0.0321,0.4846,0.9494
2.750,0.4807,0.00797,0.00248,-0.0327,0.4390,0.9644
3.000,0.5137,0.00831,0.00266,-0.0340,0.4024,0.9758
3.250,0.5503,0.00864,0.00284,-0.0362,0.3708,0.9830
3.500,0.5882,0.00894,0.00301,-0.0387,0.3445,0.9888
3.750,0.6260,0.00919,0.00318,-0.0412,0.3231,0.9944
4.250,0.6923,0.00963,0.00349,-0.0442,0.2877,1.0000
4.500,0.7124,0.00981,0.00363,-0.0428,0.2744,1.0000
4.750,0.7329,0.01001,0.00380,-0.0415,0.2617,1.0000
5.000,0.7536,0.01022,0.00396,-0.0402,0.2475,1.0000
5.250,0.7744,0.01046,0.00413,-0.0390,0.2308,1.0000
5.500,0.7956,0.01070,0.00431,-0.0378,0.2156,1.0000
5.750,0.8170,0.01093,0.00452,-0.0367,0.2027,1.0000
6.000,0.8386,0.01119,0.00474,-0.0356,0.1901,1.0000
6.250,0.8605,0.01146,0.00499,-0.0345,0.1784,1.0000
6.500,0.8824,0.01177,0.00526,-0.0336,0.1672,1.0000
6.750,0.9048,0.01206,0.00554,-0.0327,0.1565,1.0000
7.000,0.9277,0.01234,0.00583,-0.0319,0.1467,1.0000
7.250,0.9504,0.01266,0.00614,-0.0311,0.1371,1.0000
7.500,0.9728,0.01301,0.00647,-0.0303,0.1269,1.0000
7.750,0.9953,0.01337,0.00682,-0.0295,0.1166,1.0000
8.000,1.0175,0.01377,0.00723,-0.0287,0.1056,1.0000
8.250,1.0397,0.01418,0.00764,-0.0279,0.0934,1.0000
8.500,1.0614,0.01465,0.00805,-0.0270,0.0795,1.0000
8.750,1.0822,0.01519,0.00853,-0.0261,0.0681,1.0000
9.000,1.1029,0.01575,0.00910,-0.0250,0.0612,1.0000
9.250,1.1230,0.01634,0.00971,-0.0240,0.0557,1.0000
9.500,1.1426,0.01695,0.01037,-0.0228,0.0509,1.0000
9.750,1.1644,0.01734,0.01085,-0.0220,0.0471,1.0000
10.000,1.1833,0.01799,0.01150,-0.0208,0.0422,1.0000
10.250,1.2043,0.01842,0.01201,-0.0200,0.0382,1.0000
10.500,1.2213,0.01919,0.01274,-0.0186,0.0318,1.0000
10.750,1.2398,0.01981,0.01339,-0.0174,0.0252,1.0000
11.000,1.2547,0.02062,0.01425,-0.0155,0.0195,1.0000
11.250,1.2666,0.02161,0.01527,-0.0133,0.0162,1.0000
11.500,1.2787,0.02253,0.01625,-0.0112,0.0142,1.0000
11.750,1.2834,0.02396,0.01777,-0.0081,0.0124,1.0000
12.000,1.2940,0.02495,0.01890,-0.0059,0.0117,1.0000
12.250,1.3018,0.02613,0.02020,-0.0035,0.0109,1.0000
12.500,1.3078,0.02744,0.02163,-0.0011,0.0102,1.0000
12.750,1.3100,0.02905,0.02336,0.0015,0.0097,1.0000
13.000,1.3054,0.03121,0.02565,0.0044,0.0092,1.0000
13.250,1.2933,0.03410,0.02873,0.0074,0.0088,1.0000
13.500,1.2920,0.03632,0.03109,0.0091,0.0086,1.0000
13.750,1.2910,0.03867,0.03361,0.0103,0.0084,1.0000
14.000,1.2873,0.04146,0.03656,0.0112,0.0082,1.0000
14.250,1.2815,0.04475,0.04001,0.0114,0.0080,1.0000
14.500,1.2738,0.04858,0.04400,0.0110,0.0078,1.0000
14.750,1.2644,0.05303,0.04862,0.0097,0.0077,1.0000
15.000,1.2536,0.05816,0.05391,0.0076,0.0076,1.0000
15.250,1.2414,0.06389,0.05981,0.0049,0.0075,1.0000
15.500,1.2277,0.07012,0.06620,0.0017,0.0075,1.0000
15.750,1.2126,0.07667,0.07290,-0.0016,0.0074,1.0000
16.000,1.1964,0.08344,0.07981,-0.0049,0.0074,1.0000
16.250,1.1795,0.09036,0.08686,-0.0083,0.0074,1.0000
16.500,1.1622,0.09732,0.09395,-0.0116,0.0074,1.0000
