Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-c5d-il-1000000
Airfoil,c5d-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,79.8527
Max Cl/Cd alpha,2
Url,http://airfoiltools.com/polar/csv?polar=xf-c5d-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.250,-0.7664,0.03495,0.03252,-0.0729,1.0000,0.0161
-12.000,-0.8909,0.04296,0.04020,-0.0681,1.0000,0.0159
-11.750,-0.9200,0.04161,0.03875,-0.0615,1.0000,0.0159
-11.500,-0.9392,0.04030,0.03732,-0.0558,0.9996,0.0158
-11.250,-0.9260,0.03775,0.03458,-0.0568,0.9976,0.0157
-11.000,-0.9101,0.03571,0.03236,-0.0574,0.9959,0.0156
-10.750,-0.8911,0.03386,0.03035,-0.0582,0.9947,0.0156
-10.500,-0.8860,0.02965,0.02581,-0.0577,0.9921,0.0154
-10.250,-0.8718,0.02670,0.02256,-0.0576,0.9897,0.0153
-10.000,-0.8515,0.02453,0.02015,-0.0579,0.9881,0.0152
-9.750,-0.8271,0.02301,0.01845,-0.0584,0.9870,0.0153
-9.500,-0.8015,0.02154,0.01680,-0.0591,0.9861,0.0153
-9.250,-0.7751,0.02000,0.01509,-0.0599,0.9854,0.0152
-9.000,-0.7509,0.01876,0.01371,-0.0599,0.9836,0.0152
-8.750,-0.7280,0.01771,0.01255,-0.0595,0.9809,0.0152
-8.500,-0.7015,0.01675,0.01149,-0.0598,0.9793,0.0152
-8.250,-0.6734,0.01587,0.01052,-0.0604,0.9781,0.0152
-8.000,-0.6441,0.01509,0.00965,-0.0612,0.9771,0.0152
-7.750,-0.6137,0.01437,0.00887,-0.0622,0.9764,0.0153
-7.500,-0.5826,0.01373,0.00817,-0.0634,0.9758,0.0153
-7.250,-0.5511,0.01316,0.00754,-0.0645,0.9752,0.0154
-7.000,-0.5199,0.01265,0.00699,-0.0656,0.9746,0.0155
-6.750,-0.4978,0.01205,0.00633,-0.0646,0.9711,0.0158
-6.500,-0.4711,0.01152,0.00575,-0.0646,0.9685,0.0163
-6.250,-0.4412,0.01110,0.00532,-0.0653,0.9667,0.0169
-6.000,-0.4103,0.01074,0.00495,-0.0661,0.9651,0.0177
-5.750,-0.3792,0.01042,0.00461,-0.0669,0.9636,0.0189
-5.500,-0.3492,0.01003,0.00423,-0.0675,0.9622,0.0218
-5.250,-0.3258,0.00979,0.00399,-0.0666,0.9582,0.0254
