Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkk-il-100000
Airfoil,clarkk-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,54.0636
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkk-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.4074,0.10020,0.09515,-0.0382,1.0000,0.1537
-8.500,-0.3634,0.09529,0.09014,-0.0345,1.0000,0.1593
-8.250,-0.3700,0.09354,0.08847,-0.0335,1.0000,0.1655
-8.000,-0.4176,0.09354,0.08870,-0.0317,1.0000,0.1682
-7.750,-0.4720,0.09286,0.08817,-0.0324,1.0000,0.1691
-7.500,-0.4020,0.08791,0.08312,-0.0263,1.0000,0.1762
-7.250,-0.4248,0.08697,0.08228,-0.0227,1.0000,0.1798
-7.000,-0.4907,0.08618,0.08161,-0.0270,1.0000,0.1847
-6.750,-0.4786,0.08262,0.07813,-0.0219,1.0000,0.1872
-6.500,-0.4683,0.08091,0.07646,-0.0173,1.0000,0.1913
-6.250,-0.5042,0.07811,0.07358,-0.0240,1.0000,0.2021
-6.000,-0.4914,0.07562,0.07120,-0.0181,1.0000,0.2045
-5.750,-0.4856,0.07404,0.06967,-0.0145,1.0000,0.2103
-5.500,-0.4929,0.07060,0.06617,-0.0175,1.0000,0.2210
-5.250,-0.4804,0.06867,0.06428,-0.0152,0.9989,0.2272
-5.000,-0.4498,0.06441,0.05990,-0.0217,0.9926,0.2411
-4.750,-0.4125,0.06143,0.05651,-0.0331,0.9840,0.2693
-4.500,-0.3888,0.05723,0.05247,-0.0324,0.9789,0.2726
-4.250,-0.3229,0.03686,0.02960,-0.0540,0.9746,0.1370
-4.000,-0.2785,0.03291,0.02465,-0.0577,0.9707,0.1249
-3.750,-0.2443,0.03110,0.02255,-0.0596,0.9640,0.1241
-3.500,-0.2037,0.02944,0.02062,-0.0623,0.9584,0.1227
-3.250,-0.1650,0.02812,0.01904,-0.0646,0.9526,0.1210
-3.000,-0.1283,0.02708,0.01776,-0.0664,0.9454,0.1200
-2.750,-0.0830,0.02619,0.01669,-0.0696,0.9407,0.1199
-2.500,-0.0537,0.02565,0.01607,-0.0701,0.9315,0.1216
-2.250,-0.0101,0.02502,0.01537,-0.0730,0.9260,0.1233
-2.000,0.0201,0.02460,0.01494,-0.0735,0.9171,0.1240
-1.750,0.0614,0.02408,0.01442,-0.0759,0.9108,0.1253
-1.500,0.0925,0.02368,0.01413,-0.0766,0.9023,0.1274
-1.250,0.1317,0.02327,0.01378,-0.0786,0.8953,0.1312
-1.000,0.1648,0.02309,0.01361,-0.0796,0.8869,0.1377
-0.750,0.2032,0.02272,0.01338,-0.0814,0.8795,0.1500
-0.250,0.2751,0.02162,0.01316,-0.0844,0.8640,0.3377
0.000,0.3093,0.01993,0.01310,-0.0841,0.8602,0.7636
0.250,0.3641,0.01973,0.01309,-0.0885,0.8509,1.0000
0.500,0.4072,0.01944,0.01265,-0.0905,0.8449,1.0000
0.750,0.4318,0.01956,0.01266,-0.0897,0.8331,1.0000
1.000,0.4747,0.01915,0.01212,-0.0915,0.8274,1.0000
1.250,0.4977,0.01925,0.01214,-0.0902,0.8147,1.0000
1.500,0.5267,0.01916,0.01197,-0.0898,0.8042,1.0000
1.750,0.5635,0.01872,0.01144,-0.0903,0.7957,1.0000
2.000,0.5886,0.01866,0.01132,-0.0892,0.7826,1.0000
2.250,0.6168,0.01850,0.01109,-0.0885,0.7707,1.0000
2.500,0.6526,0.01804,0.01054,-0.0887,0.7618,1.0000
2.750,0.6764,0.01806,0.01054,-0.0875,0.7480,1.0000
3.000,0.7017,0.01807,0.01052,-0.0864,0.7348,1.0000
3.250,0.7290,0.01801,0.01041,-0.0857,0.7222,1.0000
3.500,0.7587,0.01785,0.01020,-0.0852,0.7102,1.0000
3.750,0.7865,0.01778,0.01008,-0.0845,0.6969,1.0000
4.000,0.8115,0.01782,0.01010,-0.0834,0.6818,1.0000
4.250,0.8369,0.01785,0.01012,-0.0824,0.6664,1.0000
4.500,0.8624,0.01788,0.01013,-0.0814,0.6503,1.0000
4.750,0.8881,0.01792,0.01013,-0.0805,0.6337,1.0000
5.000,0.9138,0.01798,0.01015,-0.0795,0.6164,1.0000
5.250,0.9394,0.01806,0.01017,-0.0785,0.5981,1.0000
5.500,0.9615,0.01827,0.01039,-0.0771,0.5772,1.0000
5.750,0.9850,0.01848,0.01057,-0.0759,0.5562,1.0000
6.000,1.0096,0.01872,0.01070,-0.0748,0.5353,1.0000
6.250,1.0315,0.01908,0.01103,-0.0735,0.5128,1.0000
6.500,1.0537,0.01949,0.01139,-0.0722,0.4905,1.0000
6.750,1.0770,0.01995,0.01173,-0.0711,0.4698,1.0000
7.000,1.0983,0.02050,0.01225,-0.0698,0.4491,1.0000
7.250,1.1195,0.02107,0.01281,-0.0686,0.4296,1.0000
7.500,1.1403,0.02161,0.01332,-0.0672,0.4105,1.0000
7.750,1.1602,0.02210,0.01373,-0.0658,0.3911,1.0000
8.000,1.1782,0.02257,0.01411,-0.0640,0.3710,1.0000
8.250,1.1930,0.02303,0.01462,-0.0619,0.3500,1.0000
8.500,1.2081,0.02352,0.01509,-0.0598,0.3302,1.0000
8.750,1.2237,0.02409,0.01565,-0.0579,0.3127,1.0000
9.000,1.2390,0.02470,0.01629,-0.0559,0.2965,1.0000
9.250,1.2525,0.02533,0.01695,-0.0538,0.2798,1.0000
9.500,1.2635,0.02598,0.01765,-0.0513,0.2624,1.0000
9.750,1.2703,0.02668,0.01845,-0.0482,0.2420,1.0000
10.000,1.2703,0.02751,0.01931,-0.0443,0.2177,1.0000
10.250,1.2643,0.02885,0.02060,-0.0400,0.1801,1.0000
10.500,1.2523,0.03116,0.02257,-0.0357,0.1329,1.0000
10.750,1.2449,0.03366,0.02480,-0.0324,0.1091,1.0000
11.000,1.2421,0.03599,0.02702,-0.0298,0.0969,1.0000
11.250,1.2402,0.03834,0.02928,-0.0275,0.0896,1.0000
11.500,1.2441,0.04038,0.03138,-0.0255,0.0836,1.0000
11.750,1.2471,0.04263,0.03347,-0.0236,0.0792,1.0000
12.000,1.2561,0.04446,0.03547,-0.0221,0.0751,1.0000
12.250,1.2650,0.04634,0.03734,-0.0207,0.0713,1.0000
12.500,1.2828,0.04814,0.03901,-0.0193,0.0678,1.0000
12.750,1.2975,0.05001,0.04109,-0.0180,0.0656,1.0000
13.000,1.3117,0.05201,0.04324,-0.0169,0.0634,1.0000
13.250,1.3268,0.05402,0.04529,-0.0159,0.0611,1.0000
13.500,1.3566,0.05653,0.04771,-0.0156,0.0584,1.0000
13.750,1.3564,0.05924,0.05075,-0.0141,0.0575,1.0000
14.000,1.3566,0.06229,0.05410,-0.0127,0.0569,1.0000
14.250,1.3530,0.06566,0.05777,-0.0115,0.0565,1.0000
14.500,1.3452,0.06938,0.06179,-0.0105,0.0561,1.0000
14.750,1.3334,0.07349,0.06619,-0.0099,0.0560,1.0000
15.000,1.3179,0.07802,0.07101,-0.0097,0.0559,1.0000
15.250,1.2990,0.08307,0.07633,-0.0102,0.0559,1.0000
15.500,1.2769,0.08872,0.08225,-0.0113,0.0560,1.0000
15.750,1.2522,0.09505,0.08885,-0.0134,0.0562,1.0000
16.000,1.2253,0.10220,0.09624,-0.0164,0.0566,1.0000
16.250,1.1967,0.11027,0.10454,-0.0205,0.0571,1.0000
16.500,1.1673,0.11933,0.11379,-0.0256,0.0577,1.0000
16.750,1.1393,0.12901,0.12361,-0.0313,0.0583,1.0000
