Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-cp-080-050-gn-1000000-n1
Airfoil,cp-080-050-gn
Reynolds number,1000000
Ncrit,1
Mach,0
Max Cl/Cd,64.2282
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-cp-080-050-gn-1000000-n1

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.0642,0.09221,0.08944,-0.1277,0.8938,0.0233
-8.750,-0.0530,0.08932,0.08651,-0.1301,0.8873,0.0237
-8.500,-0.0441,0.08632,0.08348,-0.1323,0.8806,0.0245
-8.000,-0.0211,0.08176,0.07886,-0.1356,0.8663,0.0250
-7.750,-0.0102,0.07968,0.07674,-0.1368,0.8585,0.0252
-7.500,0.0009,0.07775,0.07479,-0.1379,0.8522,0.0254
-7.250,0.0088,0.07539,0.07240,-0.1390,0.8437,0.0260
-7.000,0.0142,0.07344,0.07030,-0.1392,0.8145,0.0264
-6.750,0.0240,0.07099,0.06794,-0.1407,0.8288,0.0267
-6.500,0.0278,0.06885,0.06572,-0.1409,0.8091,0.0273
-6.250,0.0337,0.06639,0.06330,-0.1420,0.8138,0.0278
-6.000,0.0342,0.06529,0.06200,-0.1401,0.7678,0.0281
-5.750,0.0391,0.06341,0.06014,-0.1402,0.7671,0.0283
-1.750,0.1583,0.01527,0.00757,-0.1429,0.0363,0.0421
-1.500,0.1805,0.01437,0.00647,-0.1419,0.0353,0.0427
-1.250,0.2040,0.01389,0.00586,-0.1409,0.0346,0.0431
-1.000,0.2279,0.01355,0.00542,-0.1399,0.0340,0.0434
-0.750,0.2520,0.01331,0.00510,-0.1390,0.0334,0.0437
-0.500,0.2760,0.01309,0.00481,-0.1379,0.0331,0.0440
-0.250,0.3002,0.01295,0.00461,-0.1369,0.0328,0.0443
0.000,0.3241,0.01278,0.00438,-0.1359,0.0325,0.0446
0.250,0.3483,0.01275,0.00432,-0.1348,0.0323,0.0448
0.500,0.3723,0.01271,0.00425,-0.1337,0.0321,0.0450
0.750,0.3961,0.01266,0.00417,-0.1325,0.0318,0.0452
1.000,0.4195,0.01265,0.00413,-0.1313,0.0315,0.0454
1.250,0.4421,0.01260,0.00405,-0.1298,0.0313,0.0456
