Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-cp-140-050-gn-200000
Airfoil,cp-140-050-gn
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,52.3449
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-cp-140-050-gn-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-5.750,-0.0039,0.11729,0.11339,-0.0955,0.8322,0.0354
-5.500,0.0021,0.11539,0.11148,-0.0955,0.8294,0.0357
-5.250,0.0119,0.11323,0.10931,-0.0964,0.8276,0.0361
-5.000,-0.0150,0.11447,0.11062,-0.0891,0.8194,0.0362
-4.750,-0.0145,0.11316,0.10932,-0.0880,0.8150,0.0365
-4.500,-0.0016,0.11075,0.10689,-0.0898,0.8127,0.0371
-4.250,0.0174,0.10805,0.10416,-0.0930,0.8111,0.0378
-4.000,-0.0114,0.10949,0.10567,-0.0856,0.8016,0.0378
-3.750,0.0008,0.10776,0.10393,-0.0878,0.7981,0.0381
-3.250,0.0502,0.10211,0.09820,-0.0974,0.7947,0.0384
-2.250,0.0787,0.09464,0.09075,-0.0963,0.7789,0.0395
1.250,0.3832,0.06364,0.05972,-0.1268,0.7134,0.0487
1.500,0.5006,0.06845,0.06413,-0.1541,0.7308,0.0509
1.750,0.5102,0.06027,0.05615,-0.1475,0.7123,0.0523
2.000,0.5384,0.05715,0.05304,-0.1492,0.7116,0.0530
2.250,0.5816,0.05508,0.05093,-0.1542,0.7111,0.0547
2.500,0.6360,0.06489,0.06046,-0.1696,0.7168,0.0554
2.750,0.7120,0.06414,0.05954,-0.1811,0.7157,0.0583
3.000,0.7394,0.06194,0.05738,-0.1824,0.7144,0.0591
3.250,0.7789,0.06049,0.05592,-0.1859,0.7135,0.0610
3.500,0.8507,0.06007,0.05531,-0.1954,0.7129,0.0653
3.750,0.8823,0.05737,0.05268,-0.1969,0.7122,0.0668
4.000,0.9827,0.05205,0.04709,-0.2076,0.7071,0.0736
4.250,1.1456,0.03781,0.03264,-0.2262,0.7151,0.0842
5.500,1.1809,0.02256,0.01583,-0.2012,0.4209,0.1085
5.750,1.1491,0.02735,0.02015,-0.1931,0.3280,0.1084
6.000,1.1880,0.04001,0.03166,-0.2007,0.2142,0.1082
8.000,1.2533,0.05108,0.04239,-0.1840,0.0505,0.1603
8.250,1.2624,0.05272,0.04406,-0.1823,0.0499,0.1721
8.500,1.2693,0.05462,0.04599,-0.1803,0.0494,0.1864
8.750,1.2755,0.05657,0.04797,-0.1783,0.0491,0.2020
9.000,1.2816,0.05853,0.04997,-0.1763,0.0487,0.2186
9.250,1.2882,0.06044,0.05190,-0.1744,0.0483,0.2376
9.500,1.2971,0.06206,0.05357,-0.1726,0.0477,0.2720
9.750,1.3313,0.06293,0.05369,-0.1723,0.0473,0.1080
10.000,1.3459,0.06412,0.05488,-0.1710,0.0469,0.1030
10.250,1.3629,0.06525,0.05586,-0.1696,0.0468,0.0970
10.500,1.3815,0.06624,0.05676,-0.1683,0.0467,0.0951
10.750,1.4042,0.06689,0.05736,-0.1674,0.0467,0.0949
11.000,1.4326,0.06706,0.05751,-0.1669,0.0468,0.0985
11.250,1.4697,0.06651,0.05688,-0.1667,0.0471,0.1035
11.500,1.5602,0.06329,0.05339,-0.1708,0.0481,0.1189
12.000,1.6259,0.06364,0.05441,-0.1709,0.0487,1.0000
13.750,1.8725,0.08574,0.07913,-0.1680,0.0795,1.0000
14.000,1.8363,0.08723,0.08091,-0.1602,0.0789,1.0000
14.250,1.7946,0.08952,0.08354,-0.1525,0.0782,1.0000
14.500,1.7473,0.09192,0.08633,-0.1451,0.0777,1.0000
14.750,1.7031,0.09447,0.08924,-0.1390,0.0769,1.0000
15.000,1.6661,0.09756,0.09264,-0.1344,0.0762,1.0000
15.250,1.6315,0.10099,0.09635,-0.1307,0.0753,1.0000
15.500,1.5998,0.10490,0.10052,-0.1279,0.0746,1.0000
15.750,1.5683,0.10924,0.10510,-0.1258,0.0738,1.0000
16.000,1.5344,0.11422,0.11033,-0.1244,0.0736,1.0000
16.250,1.4988,0.11977,0.11612,-0.1237,0.0734,1.0000
16.500,1.4576,0.12642,0.12304,-0.1239,0.0735,1.0000
16.750,1.4095,0.13473,0.13162,-0.1256,0.0740,1.0000
17.000,1.3560,0.14511,0.14229,-0.1293,0.0751,1.0000
17.250,1.3021,0.15751,0.15493,-0.1350,0.0764,1.0000
17.500,1.2540,0.17107,0.16867,-0.1423,0.0777,1.0000
