Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-dfvlrr4-il-100000
Airfoil,dfvlrr4-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,33.6359
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-dfvlrr4-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.5545,0.10573,0.10053,-0.0442,1.0000,0.1683
-10.500,-0.5650,0.06804,0.06309,-0.0586,1.0000,0.0882
-10.250,-0.6084,0.06225,0.05726,-0.0580,1.0000,0.0863
-10.000,-0.6537,0.05827,0.05322,-0.0552,1.0000,0.0850
-9.750,-0.7605,0.06716,0.06170,-0.0519,1.0000,0.0894
-9.500,-0.8058,0.06053,0.05444,-0.0492,1.0000,0.0781
-9.250,-0.8069,0.05646,0.05024,-0.0476,1.0000,0.0760
-9.000,-0.8108,0.05194,0.04535,-0.0463,1.0000,0.0732
-8.750,-0.8143,0.04631,0.03864,-0.0453,1.0000,0.0690
-8.500,-0.8006,0.04324,0.03535,-0.0447,1.0000,0.0697
-8.250,-0.7839,0.04118,0.03327,-0.0439,1.0000,0.0716
-8.000,-0.7663,0.03885,0.03067,-0.0434,1.0000,0.0730
-7.750,-0.7465,0.03643,0.02792,-0.0429,1.0000,0.0739
-7.500,-0.7251,0.03427,0.02544,-0.0423,1.0000,0.0752
-7.250,-0.7026,0.03246,0.02331,-0.0418,1.0000,0.0774
-7.000,-0.6794,0.03073,0.02133,-0.0413,1.0000,0.0811
-6.750,-0.6572,0.02932,0.01997,-0.0407,1.0000,0.0857
-6.500,-0.6337,0.02811,0.01862,-0.0399,1.0000,0.0908
-6.250,-0.6115,0.02671,0.01733,-0.0390,1.0000,0.0978
-6.000,-0.5880,0.02568,0.01625,-0.0384,1.0000,0.1081
-5.750,-0.5643,0.02470,0.01536,-0.0380,1.0000,0.1209
-5.500,-0.5398,0.02351,0.01442,-0.0381,1.0000,0.1399
-5.250,-0.5111,0.02225,0.01347,-0.0394,1.0000,0.1722
-5.000,-0.4644,0.01920,0.01286,-0.0458,1.0000,0.5129
-4.750,-0.4489,0.02014,0.01391,-0.0420,1.0000,0.5875
-4.500,-0.4330,0.02114,0.01483,-0.0385,1.0000,0.6193
-4.250,-0.4221,0.02229,0.01594,-0.0337,1.0000,0.6377
-4.000,-0.4099,0.02337,0.01696,-0.0292,1.0000,0.6537
-3.750,-0.3965,0.02435,0.01787,-0.0252,1.0000,0.6687
-3.500,-0.3828,0.02526,0.01871,-0.0214,1.0000,0.6833
-3.250,-0.3706,0.02619,0.01958,-0.0172,1.0000,0.6981
-3.000,-0.3596,0.02706,0.02041,-0.0126,1.0000,0.7131
-2.750,-0.3542,0.02784,0.02120,-0.0065,1.0000,0.7246
-2.500,-0.3445,0.02840,0.02173,-0.0018,1.0000,0.7385
-2.250,-0.3327,0.02875,0.02203,0.0021,1.0000,0.7526
-2.000,-0.3174,0.02889,0.02212,0.0048,1.0000,0.7660
-1.750,-0.2957,0.02887,0.02202,0.0053,1.0000,0.7783
-1.500,-0.2773,0.02874,0.02184,0.0067,1.0000,0.7867
-1.250,-0.2530,0.02858,0.02161,0.0062,1.0000,0.7954
-1.000,-0.2304,0.02850,0.02148,0.0063,1.0000,0.8045
-0.750,-0.2112,0.02836,0.02130,0.0073,1.0000,0.8129
-0.500,-0.1832,0.02841,0.02129,0.0058,1.0000,0.8228
-0.250,-0.1682,0.02822,0.02109,0.0079,1.0000,0.8305
0.000,-0.1409,0.02828,0.02112,0.0065,1.0000,0.8389
0.250,-0.1222,0.02820,0.02103,0.0074,1.0000,0.8463
0.500,-0.0969,0.02830,0.02112,0.0065,1.0000,0.8541
0.750,-0.0563,0.02862,0.02143,0.0032,0.9917,0.8618
1.000,-0.0108,0.02901,0.02181,-0.0013,0.9817,0.8690
1.250,0.0319,0.02933,0.02213,-0.0049,0.9721,0.8756
1.500,0.0751,0.02957,0.02239,-0.0089,0.9607,0.8820
1.750,0.1074,0.02952,0.02238,-0.0102,0.9486,0.8883
2.000,0.1489,0.02969,0.02260,-0.0137,0.9365,0.8943
2.250,0.1903,0.02955,0.02251,-0.0163,0.9220,0.8997
2.500,0.2462,0.02890,0.02192,-0.0205,0.9009,0.9058
2.750,0.3079,0.02767,0.02076,-0.0248,0.8778,0.9112
3.000,0.3489,0.02650,0.01968,-0.0257,0.8591,0.9168
3.250,0.3935,0.02546,0.01875,-0.0276,0.8439,0.9221
3.500,0.4361,0.02425,0.01767,-0.0288,0.8299,0.9271
3.750,0.4750,0.02292,0.01647,-0.0291,0.8132,0.9318
4.000,0.5184,0.02125,0.01494,-0.0297,0.7921,0.9359
4.250,0.5528,0.01966,0.01347,-0.0287,0.7609,0.9404
4.500,0.5786,0.01837,0.01225,-0.0264,0.7059,0.9461
4.750,0.6189,0.01840,0.01044,-0.0253,0.3854,0.9494
5.000,0.6264,0.01985,0.01096,-0.0223,0.2759,0.9538
5.250,0.6466,0.02076,0.01152,-0.0215,0.2372,0.9584
5.500,0.6708,0.02155,0.01210,-0.0214,0.2155,0.9631
5.750,0.6995,0.02229,0.01273,-0.0220,0.2008,0.9675
6.000,0.7316,0.02319,0.01354,-0.0232,0.1899,0.9716
6.250,0.7665,0.02422,0.01442,-0.0251,0.1809,0.9759
6.500,0.8020,0.02517,0.01550,-0.0269,0.1731,0.9805
7.000,0.8750,0.02753,0.01791,-0.0313,0.1590,0.9897
7.250,0.9077,0.02858,0.01911,-0.0327,0.1530,0.9985
7.500,0.9415,0.03035,0.02080,-0.0346,0.1483,1.0000
7.750,0.9665,0.03158,0.02238,-0.0347,0.1436,1.0000
8.000,0.9934,0.03278,0.02376,-0.0353,0.1377,1.0000
8.250,1.0248,0.03494,0.02584,-0.0371,0.1324,1.0000
8.500,1.0466,0.03663,0.02802,-0.0366,0.1291,1.0000
8.750,1.0692,0.03872,0.03052,-0.0365,0.1255,1.0000
9.000,1.0931,0.04091,0.03299,-0.0368,0.1221,1.0000
9.250,1.1203,0.04330,0.03540,-0.0379,0.1186,1.0000
9.500,1.1335,0.04661,0.03916,-0.0369,0.1157,1.0000
9.750,1.1397,0.04967,0.04282,-0.0349,0.1130,1.0000
10.000,1.1450,0.05301,0.04662,-0.0331,0.1104,1.0000
10.250,1.1542,0.05584,0.04973,-0.0320,0.1074,1.0000
10.500,1.1885,0.05847,0.05209,-0.0346,0.1031,1.0000
10.750,1.1771,0.06275,0.05688,-0.0315,0.1018,1.0000
11.000,1.1592,0.06697,0.06159,-0.0281,0.1011,1.0000
11.250,1.1375,0.07144,0.06641,-0.0250,0.1009,1.0000
11.500,1.1134,0.07633,0.07157,-0.0226,0.1011,1.0000
11.750,1.0892,0.08185,0.07732,-0.0215,0.1015,1.0000
12.000,1.0685,0.08804,0.08367,-0.0217,0.1021,1.0000
