Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e209-il-50000
Airfoil,e209-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,29.3882
Max Cl/Cd alpha,10
Url,http://airfoiltools.com/polar/csv?polar=xf-e209-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.3855,0.10888,0.10183,-0.0178,1.0000,0.3044
-9.500,-0.4970,0.08481,0.07816,-0.0441,1.0000,0.1389
-9.250,-0.5145,0.07783,0.07125,-0.0479,1.0000,0.1326
-9.000,-0.6098,0.06984,0.06321,-0.0518,1.0000,0.1224
-8.750,-0.6099,0.06552,0.05889,-0.0508,1.0000,0.1210
-8.500,-0.6193,0.06136,0.05462,-0.0495,1.0000,0.1194
-8.250,-0.6304,0.05726,0.05034,-0.0479,1.0000,0.1178
-8.000,-0.6396,0.05324,0.04605,-0.0458,1.0000,0.1166
-7.750,-0.6435,0.04963,0.04211,-0.0436,1.0000,0.1165
-7.500,-0.6436,0.04638,0.03849,-0.0413,1.0000,0.1182
-7.250,-0.6414,0.04337,0.03499,-0.0388,1.0000,0.1207
-7.000,-0.6353,0.04048,0.03164,-0.0364,1.0000,0.1233
-6.750,-0.6210,0.03795,0.02912,-0.0346,1.0000,0.1278
-6.500,-0.6092,0.03584,0.02667,-0.0324,1.0000,0.1343
-6.250,-0.5957,0.03387,0.02463,-0.0305,1.0000,0.1433
-6.000,-0.5811,0.03189,0.02243,-0.0285,1.0000,0.1538
-5.750,-0.5669,0.03032,0.02091,-0.0266,1.0000,0.1702
-5.500,-0.5530,0.02879,0.01937,-0.0245,1.0000,0.1935
-5.250,-0.5404,0.02729,0.01815,-0.0224,1.0000,0.2275
-5.000,-0.5295,0.02598,0.01727,-0.0201,1.0000,0.2778
-4.750,-0.5204,0.02511,0.01700,-0.0173,1.0000,0.3477
-4.500,-0.5125,0.02517,0.01755,-0.0136,1.0000,0.4242
-4.250,-0.5046,0.02559,0.01821,-0.0096,1.0000,0.4920
-4.000,-0.4963,0.02605,0.01878,-0.0055,1.0000,0.5446
-3.750,-0.4879,0.02644,0.01922,-0.0015,1.0000,0.5893
-3.500,-0.4798,0.02680,0.01963,0.0028,1.0000,0.6266
-3.250,-0.4713,0.02699,0.01979,0.0065,1.0000,0.6624
-3.000,-0.4597,0.02719,0.01994,0.0097,0.9986,0.6966
-2.750,-0.4270,0.02790,0.02054,0.0100,0.9864,0.7352
-2.500,-0.3959,0.02835,0.02084,0.0099,0.9745,0.7715
-2.250,-0.3663,0.02870,0.02106,0.0100,0.9631,0.8037
-2.000,-0.3331,0.02907,0.02127,0.0095,0.9518,0.8347
-1.750,-0.2894,0.02958,0.02161,0.0070,0.9415,0.8652
-1.500,-0.2371,0.03011,0.02193,0.0025,0.9306,0.8933
-1.250,-0.1581,0.03089,0.02245,-0.0072,0.9207,0.9183
-1.000,-0.0575,0.03156,0.02279,-0.0215,0.9118,0.9404
-0.750,0.0341,0.03181,0.02281,-0.0348,0.9015,0.9593
-0.500,0.1192,0.03184,0.02266,-0.0474,0.8918,0.9784
-0.250,0.2217,0.03146,0.02212,-0.0629,0.8836,0.9963
0.000,0.2360,0.03158,0.02218,-0.0637,0.8713,1.0000
0.250,0.2281,0.03180,0.02236,-0.0608,0.8591,1.0000
0.500,0.2172,0.03195,0.02245,-0.0574,0.8479,1.0000
0.750,0.2179,0.03210,0.02250,-0.0553,0.8382,1.0000
1.000,0.1999,0.03270,0.02293,-0.0501,0.8272,1.0000
1.250,0.2178,0.03340,0.02348,-0.0499,0.8182,1.0000
1.500,0.2408,0.03413,0.02409,-0.0503,0.8092,1.0000
1.750,0.2502,0.03510,0.02496,-0.0489,0.7998,1.0000
2.000,0.2897,0.03578,0.02557,-0.0514,0.7920,1.0000
2.250,0.2882,0.03703,0.02672,-0.0485,0.7825,1.0000
2.500,0.3179,0.03792,0.02757,-0.0496,0.7744,1.0000
2.750,0.3266,0.03914,0.02875,-0.0482,0.7657,1.0000
3.000,0.3470,0.04026,0.02983,-0.0482,0.7575,1.0000
3.250,0.3649,0.04144,0.03099,-0.0479,0.7491,1.0000
3.500,0.3774,0.04280,0.03232,-0.0470,0.7408,1.0000
3.750,0.4038,0.04390,0.03343,-0.0477,0.7325,1.0000
4.000,0.4078,0.04551,0.03504,-0.0460,0.7241,1.0000
4.250,0.4483,0.04641,0.03599,-0.0480,0.7154,1.0000
4.500,0.4394,0.04836,0.03791,-0.0453,0.7067,1.0000
4.750,0.4649,0.04965,0.03924,-0.0457,0.6975,1.0000
5.000,0.4785,0.05117,0.04081,-0.0451,0.6879,1.0000
5.250,0.4871,0.05290,0.04257,-0.0442,0.6784,1.0000
5.500,0.5151,0.05414,0.04389,-0.0446,0.6675,1.0000
5.750,0.5320,0.05565,0.04546,-0.0443,0.6564,1.0000
6.000,0.5361,0.05758,0.04746,-0.0431,0.6453,1.0000
6.250,0.5530,0.05917,0.04912,-0.0426,0.6331,1.0000
