Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e474-il-500000
Airfoil,e474-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,73.509
Max Cl/Cd alpha,9.25
Url,http://airfoiltools.com/polar/csv?polar=xf-e474-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.750,-1.1687,0.08383,0.07970,-0.0271,1.0000,0.0387
-17.500,-1.1976,0.07631,0.07209,-0.0309,1.0000,0.0392
-17.250,-1.2277,0.06882,0.06448,-0.0346,1.0000,0.0396
-17.000,-1.2580,0.06132,0.05684,-0.0383,1.0000,0.0400
-16.750,-1.2848,0.05426,0.04965,-0.0418,1.0000,0.0403
-16.500,-1.3083,0.04767,0.04291,-0.0453,1.0000,0.0412
-16.250,-1.3238,0.04240,0.03750,-0.0479,1.0000,0.0423
-16.000,-1.3311,0.03854,0.03348,-0.0495,1.0000,0.0440
-15.750,-1.3451,0.03441,0.02926,-0.0506,1.0000,0.0457
-15.500,-1.3523,0.03149,0.02626,-0.0505,1.0000,0.0479
-15.250,-1.3529,0.02948,0.02416,-0.0497,1.0000,0.0504
-15.000,-1.3543,0.02762,0.02223,-0.0482,1.0000,0.0530
-14.750,-1.3543,0.02605,0.02061,-0.0464,1.0000,0.0557
-14.500,-1.3477,0.02498,0.01946,-0.0446,1.0000,0.0589
-14.250,-1.3453,0.02375,0.01820,-0.0422,1.0000,0.0622
-14.000,-1.3386,0.02282,0.01724,-0.0399,1.0000,0.0658
-13.750,-1.3286,0.02210,0.01644,-0.0378,1.0000,0.0690
-13.500,-1.3230,0.02122,0.01557,-0.0350,1.0000,0.0729
-13.250,-1.3124,0.02062,0.01493,-0.0325,1.0000,0.0768
-13.000,-1.3034,0.02001,0.01427,-0.0297,1.0000,0.0805
-12.750,-1.2942,0.01943,0.01369,-0.0269,1.0000,0.0846
-12.500,-1.2789,0.01900,0.01321,-0.0249,1.0000,0.0885
-12.250,-1.2664,0.01843,0.01263,-0.0225,1.0000,0.0928
-12.000,-1.2513,0.01798,0.01217,-0.0204,1.0000,0.0973
-11.750,-1.2336,0.01766,0.01177,-0.0187,1.0000,0.1012
-11.500,-1.2200,0.01713,0.01127,-0.0163,1.0000,0.1057
-11.250,-1.2029,0.01679,0.01090,-0.0144,1.0000,0.1102
-11.000,-1.1848,0.01649,0.01053,-0.0127,1.0000,0.1139
-10.750,-1.1696,0.01606,0.01013,-0.0105,1.0000,0.1185
-10.500,-1.1515,0.01578,0.00982,-0.0086,1.0000,0.1230
-10.250,-1.1330,0.01553,0.00951,-0.0069,1.0000,0.1273
-10.000,-1.1162,0.01519,0.00922,-0.0049,1.0000,0.1325
-9.750,-1.0967,0.01501,0.00899,-0.0033,1.0000,0.1370
-9.500,-1.0778,0.01474,0.00868,-0.0015,1.0000,0.1408
-9.250,-1.0600,0.01442,0.00839,0.0004,1.0000,0.1450
-9.000,-1.0403,0.01422,0.00815,0.0020,1.0000,0.1490
-8.750,-1.0194,0.01408,0.00794,0.0034,1.0000,0.1525
-8.500,-1.0007,0.01373,0.00761,0.0052,1.0000,0.1566
-8.250,-0.9807,0.01351,0.00739,0.0067,1.0000,0.1605
-8.000,-0.9595,0.01336,0.00720,0.0081,1.0000,0.1644
-7.750,-0.9377,0.01326,0.00703,0.0094,1.0000,0.1674
-7.500,-0.9182,0.01291,0.00674,0.0110,1.0000,0.1720
-7.250,-0.8969,0.01275,0.00657,0.0123,1.0000,0.1759
-7.000,-0.8749,0.01265,0.00643,0.0136,1.0000,0.1798
-6.750,-0.8529,0.01251,0.00625,0.0148,1.0000,0.1829
-6.500,-0.8322,0.01225,0.00603,0.0162,1.0000,0.1872
-6.250,-0.8103,0.01213,0.00591,0.0174,1.0000,0.1910
-6.000,-0.7741,0.01205,0.00581,0.0158,0.9978,0.1953
-5.750,-0.7248,0.01186,0.00563,0.0114,0.9934,0.2005
-5.500,-0.6823,0.01167,0.00547,0.0085,0.9885,0.2056
-5.250,-0.6398,0.01154,0.00533,0.0056,0.9846,0.2103
-5.000,-0.5972,0.01136,0.00515,0.0027,0.9820,0.2150
-4.750,-0.5622,0.01111,0.00496,0.0013,0.9773,0.2200
-4.500,-0.5226,0.01093,0.00479,-0.0009,0.9727,0.2246
-4.250,-0.4793,0.01080,0.00462,-0.0038,0.9697,0.2289
-4.000,-0.4417,0.01046,0.00438,-0.0057,0.9653,0.2350
-3.750,-0.4035,0.01024,0.00418,-0.0075,0.9591,0.2401
-3.500,-0.3608,0.01003,0.00396,-0.0102,0.9539,0.2448
-3.250,-0.3327,0.00974,0.00374,-0.0099,0.9431,0.2505
-3.000,-0.3016,0.00953,0.00356,-0.0102,0.9314,0.2561
-2.750,-0.2718,0.00937,0.00337,-0.0101,0.9143,0.2609
-2.500,-0.2432,0.00911,0.00314,-0.0098,0.8875,0.2670
-2.250,-0.2149,0.00897,0.00290,-0.0093,0.8337,0.2736
-2.000,-0.1909,0.00907,0.00270,-0.0079,0.7566,0.2797
-1.750,-0.1691,0.00921,0.00261,-0.0063,0.6848,0.2867
-1.500,-0.1464,0.00941,0.00254,-0.0050,0.6180,0.2938
-1.250,-0.1234,0.00951,0.00248,-0.0039,0.5593,0.3026
-1.000,-0.0993,0.00965,0.00244,-0.0029,0.5084,0.3126
-0.750,-0.0750,0.00971,0.00241,-0.0021,0.4665,0.3245
-0.500,-0.0502,0.00977,0.00238,-0.0014,0.4311,0.3379
-0.250,-0.0251,0.00980,0.00237,-0.0007,0.4008,0.3545
0.000,0.0000,0.00982,0.00236,0.0000,0.3754,0.3753
0.250,0.0251,0.00980,0.00237,0.0007,0.3544,0.4007
0.500,0.0502,0.00977,0.00238,0.0014,0.3379,0.4311
0.750,0.0749,0.00971,0.00241,0.0021,0.3245,0.4666
1.000,0.0993,0.00965,0.00244,0.0029,0.3125,0.5086
1.250,0.1234,0.00951,0.00248,0.0039,0.3027,0.5594
1.500,0.1464,0.00941,0.00254,0.0050,0.2938,0.6182
1.750,0.1691,0.00921,0.00261,0.0063,0.2867,0.6848
2.000,0.1909,0.00907,0.00270,0.0079,0.2798,0.7566
2.250,0.2149,0.00897,0.00290,0.0093,0.2736,0.8337
2.500,0.2432,0.00910,0.00314,0.0098,0.2670,0.8878
2.750,0.2718,0.00937,0.00337,0.0101,0.2609,0.9143
