Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-eh0009-il-500000
Airfoil,eh0009-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,59.2982
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-eh0009-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.6899,0.09972,0.09752,0.0041,1.0000,0.0105
-11.000,-0.7091,0.08966,0.08750,-0.0011,1.0000,0.0102
-10.750,-0.7395,0.07394,0.07175,-0.0109,1.0000,0.0096
-10.500,-0.7592,0.06446,0.06215,-0.0194,1.0000,0.0097
-10.250,-0.7776,0.05812,0.05568,-0.0247,1.0000,0.0097
-10.000,-0.8017,0.05284,0.05023,-0.0272,1.0000,0.0098
-9.750,-0.8247,0.04894,0.04617,-0.0261,1.0000,0.0094
-9.500,-0.8900,0.03679,0.03305,-0.0202,1.0000,0.0072
-9.250,-0.8830,0.03437,0.03032,-0.0184,1.0000,0.0071
-9.000,-0.8820,0.03027,0.02580,-0.0161,1.0000,0.0072
-8.750,-0.8731,0.02710,0.02227,-0.0142,1.0000,0.0072
-8.500,-0.8614,0.02412,0.01895,-0.0124,1.0000,0.0074
-8.250,-0.8450,0.02223,0.01689,-0.0111,1.0000,0.0080
-8.000,-0.8252,0.02100,0.01553,-0.0101,1.0000,0.0085
-7.750,-0.8048,0.01981,0.01420,-0.0090,1.0000,0.0092
-7.500,-0.7841,0.01860,0.01284,-0.0079,1.0000,0.0099
-7.250,-0.7623,0.01767,0.01179,-0.0069,1.0000,0.0108
-7.000,-0.7390,0.01714,0.01116,-0.0062,1.0000,0.0118
-6.750,-0.7240,0.01504,0.00891,-0.0042,1.0000,0.0139
-6.500,-0.7026,0.01427,0.00805,-0.0030,1.0000,0.0154
-6.250,-0.6812,0.01356,0.00725,-0.0019,1.0000,0.0171
-6.000,-0.6577,0.01322,0.00687,-0.0010,1.0000,0.0189
-5.750,-0.6401,0.01198,0.00552,0.0009,1.0000,0.0235
-5.500,-0.6180,0.01149,0.00497,0.0020,1.0000,0.0284
-5.250,-0.5970,0.01084,0.00432,0.0033,1.0000,0.0397
-5.000,-0.5768,0.01017,0.00383,0.0046,1.0000,0.0711
-4.750,-0.5563,0.00961,0.00347,0.0058,1.0000,0.1130
-4.500,-0.5357,0.00912,0.00316,0.0070,1.0000,0.1587
-4.250,-0.5151,0.00869,0.00292,0.0081,1.0000,0.2040
-4.000,-0.4943,0.00832,0.00272,0.0093,1.0000,0.2489
-3.750,-0.4736,0.00798,0.00256,0.0104,1.0000,0.2969
-3.500,-0.4419,0.00764,0.00242,0.0092,0.9975,0.3510
-3.250,-0.4042,0.00731,0.00228,0.0068,0.9936,0.4100
-3.000,-0.3684,0.00699,0.00215,0.0049,0.9884,0.4659
-2.750,-0.3303,0.00674,0.00206,0.0026,0.9839,0.5145
-2.500,-0.2936,0.00650,0.00197,0.0006,0.9790,0.5606
-2.250,-0.2574,0.00629,0.00187,-0.0012,0.9731,0.6001
-2.000,-0.2204,0.00610,0.00180,-0.0031,0.9678,0.6393
-1.750,-0.1887,0.00592,0.00174,-0.0037,0.9577,0.6727
-1.500,-0.1578,0.00578,0.00168,-0.0042,0.9467,0.7032
-1.250,-0.1287,0.00566,0.00163,-0.0041,0.9340,0.7311
-1.000,-0.1016,0.00556,0.00159,-0.0036,0.9195,0.7578
-0.750,-0.0757,0.00549,0.00156,-0.0028,0.9034,0.7827
-0.500,-0.0503,0.00544,0.00154,-0.0019,0.8863,0.8057
-0.250,-0.0252,0.00541,0.00153,-0.0010,0.8672,0.8272
0.000,0.0000,0.00540,0.00152,0.0000,0.8475,0.8475
0.250,0.0251,0.00541,0.00153,0.0010,0.8273,0.8672
0.500,0.0502,0.00544,0.00154,0.0019,0.8057,0.8863
0.750,0.0756,0.00549,0.00156,0.0028,0.7828,0.9034
1.000,0.1015,0.00556,0.00159,0.0037,0.7579,0.9195
1.250,0.1286,0.00566,0.00162,0.0042,0.7311,0.9340
1.500,0.1577,0.00578,0.00168,0.0042,0.7030,0.9467
1.750,0.1887,0.00592,0.00174,0.0037,0.6728,0.9578
2.000,0.2203,0.00609,0.00180,0.0031,0.6395,0.9679
2.250,0.2574,0.00629,0.00187,0.0012,0.6004,0.9732
2.500,0.2936,0.00649,0.00197,-0.0006,0.5606,0.9792
2.750,0.3304,0.00674,0.00206,-0.0026,0.5144,0.9840
3.000,0.3685,0.00699,0.00215,-0.0049,0.4658,0.9885
3.250,0.4043,0.00730,0.00227,-0.0068,0.4112,0.9937
3.500,0.4421,0.00763,0.00241,-0.0093,0.3516,0.9977
3.750,0.4732,0.00798,0.00256,-0.0103,0.2970,1.0000
4.000,0.4938,0.00833,0.00272,-0.0092,0.2477,1.0000
