Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-eiffel428-il-100000
Airfoil,eiffel428-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,59.3671
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-eiffel428-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.3400,0.10262,0.09771,-0.0353,1.0000,0.0788
-9.500,-0.3562,0.10216,0.09740,-0.0386,1.0000,0.0801
-9.250,-0.3715,0.10108,0.09647,-0.0404,1.0000,0.0804
-9.000,-0.3361,0.09336,0.08866,-0.0355,1.0000,0.0847
-8.750,-0.3337,0.09082,0.08618,-0.0349,1.0000,0.0873
-8.500,-0.3381,0.08869,0.08415,-0.0344,1.0000,0.0901
-8.250,-0.3503,0.08708,0.08269,-0.0336,1.0000,0.0922
-8.000,-0.3687,0.08599,0.08176,-0.0345,1.0000,0.0941
-7.750,-0.3928,0.08565,0.08155,-0.0330,1.0000,0.0947
-7.500,-0.4153,0.08530,0.08126,-0.0324,1.0000,0.0951
-7.250,-0.4195,0.08186,0.07782,-0.0351,0.9983,0.0962
-7.000,-0.4011,0.07798,0.07403,-0.0302,0.9949,0.0994
-6.750,-0.3598,0.07201,0.06778,-0.0478,0.9841,0.1116
-6.500,-0.3417,0.06906,0.06494,-0.0437,0.9788,0.1171
-6.250,-0.3056,0.06391,0.05963,-0.0537,0.9710,0.1290
-6.000,-0.2762,0.06000,0.05556,-0.0601,0.9611,0.1427
-5.750,-0.2450,0.05653,0.05198,-0.0644,0.9537,0.1575
-5.500,-0.2137,0.05352,0.04895,-0.0667,0.9456,0.1752
-5.250,-0.1767,0.05032,0.04551,-0.0727,0.9352,0.2020
-5.000,-0.1326,0.04657,0.04177,-0.0763,0.9288,0.2235
-4.750,-0.0938,0.04385,0.03885,-0.0804,0.9174,0.2598
-4.000,0.0458,0.02809,0.02045,-0.0953,0.8903,0.1244
-3.750,0.0868,0.02515,0.01706,-0.0972,0.8829,0.1152
-3.500,0.1149,0.02379,0.01526,-0.0966,0.8716,0.1139
-3.250,0.1474,0.02305,0.01409,-0.0966,0.8630,0.1109
-3.000,0.1795,0.02162,0.01247,-0.0968,0.8538,0.1101
-2.750,0.2072,0.02068,0.01136,-0.0962,0.8423,0.1102
-2.500,0.2365,0.01978,0.01033,-0.0958,0.8321,0.1113
-2.250,0.2651,0.01876,0.00940,-0.0955,0.8227,0.1173
-2.000,0.2899,0.01825,0.00889,-0.0946,0.8122,0.1214
-1.750,0.3175,0.01774,0.00832,-0.0939,0.8040,0.1253
-1.500,0.3422,0.01724,0.00788,-0.0929,0.7941,0.1320
-1.250,0.3676,0.01690,0.00757,-0.0921,0.7845,0.1448
-1.000,0.4389,0.01395,0.00704,-0.1004,0.7768,1.0000
-0.750,0.4628,0.01410,0.00692,-0.0992,0.7662,1.0000
-0.500,0.4885,0.01422,0.00680,-0.0984,0.7573,1.0000
-0.250,0.5135,0.01435,0.00677,-0.0976,0.7479,1.0000
0.000,0.5376,0.01450,0.00679,-0.0966,0.7375,1.0000
0.250,0.5637,0.01458,0.00671,-0.0959,0.7282,1.0000
0.500,0.5877,0.01473,0.00678,-0.0949,0.7178,1.0000
0.750,0.6122,0.01490,0.00689,-0.0941,0.7085,1.0000
1.000,0.6382,0.01502,0.00692,-0.0935,0.7002,1.0000
1.250,0.6617,0.01523,0.00711,-0.0926,0.6905,1.0000
1.500,0.6887,0.01535,0.00716,-0.0922,0.6836,1.0000
1.750,0.7116,0.01553,0.00737,-0.0911,0.6726,1.0000
2.000,0.7355,0.01561,0.00742,-0.0901,0.6604,1.0000
2.250,0.7596,0.01562,0.00740,-0.0890,0.6472,1.0000
