Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fg2-il-100000
Airfoil,fg2-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,51.405
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fg2-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.4144,0.10321,0.09831,-0.0219,1.0000,0.0596
-8.500,-0.4215,0.10108,0.09626,-0.0238,1.0000,0.0599
-8.250,-0.4313,0.09905,0.09432,-0.0257,1.0000,0.0602
-8.000,-0.4371,0.09674,0.09201,-0.0298,1.0000,0.0605
-7.750,-0.4176,0.08993,0.08528,-0.0213,1.0000,0.0639
-7.500,-0.4166,0.08702,0.08239,-0.0208,1.0000,0.0657
-7.250,-0.4163,0.08392,0.07934,-0.0213,1.0000,0.0684
-7.000,-0.4161,0.08090,0.07635,-0.0228,1.0000,0.0708
-6.750,-0.4163,0.07843,0.07380,-0.0279,1.0000,0.0737
-6.500,-0.4161,0.07620,0.07137,-0.0307,1.0000,0.0748
-6.250,-0.4097,0.07048,0.06592,-0.0259,1.0000,0.0774
-6.000,-0.4036,0.06764,0.06311,-0.0244,1.0000,0.0807
-5.750,-0.3955,0.06501,0.06032,-0.0261,1.0000,0.0873
-5.500,-0.3901,0.06136,0.05654,-0.0264,1.0000,0.0905
-5.250,-0.3835,0.05843,0.05375,-0.0236,1.0000,0.0954
-5.000,-0.3740,0.05579,0.05081,-0.0243,1.0000,0.1052
-4.750,-0.3663,0.05296,0.04813,-0.0218,1.0000,0.1120
-4.500,-0.3567,0.05017,0.04519,-0.0211,1.0000,0.1221
-4.250,-0.3460,0.04798,0.04278,-0.0201,1.0000,0.1352
-4.000,-0.3356,0.04582,0.04051,-0.0186,1.0000,0.1497
-3.750,-0.3259,0.04331,0.03800,-0.0167,1.0000,0.1654
-3.500,-0.3157,0.04114,0.03585,-0.0148,1.0000,0.1821
