Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fg3-il-500000
Airfoil,fg3-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,90.3574
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-fg3-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.3440,0.10819,0.10604,-0.0304,1.0000,0.0159
-9.500,-0.3480,0.10552,0.10341,-0.0303,1.0000,0.0160
-9.250,-0.3613,0.10348,0.10142,-0.0288,1.0000,0.0160
-9.000,-0.3581,0.09935,0.09732,-0.0297,0.9991,0.0161
-8.750,-0.3440,0.09562,0.09358,-0.0307,0.9977,0.0163
-8.500,-0.3275,0.09196,0.08991,-0.0337,0.9957,0.0167
-8.250,-0.3131,0.08789,0.08585,-0.0383,0.9930,0.0168
-8.000,-0.2973,0.08425,0.08220,-0.0428,0.9893,0.0178
-7.750,-0.2813,0.07964,0.07759,-0.0496,0.9856,0.0181
-7.500,-0.2710,0.07550,0.07345,-0.0548,0.9777,0.0187
-7.250,-0.2497,0.06923,0.06711,-0.0651,0.9696,0.0199
-7.000,-0.2250,0.06276,0.06050,-0.0742,0.9628,0.0202
-6.750,-0.2092,0.05782,0.05540,-0.0775,0.9552,0.0203
-6.500,-0.1882,0.05300,0.05042,-0.0805,0.9508,0.0204
-6.250,-0.1790,0.04768,0.04505,-0.0817,0.9460,0.0208
-6.000,-0.1603,0.04499,0.04231,-0.0827,0.9406,0.0212
-5.750,-0.1338,0.04203,0.03925,-0.0852,0.9372,0.0219
-5.500,-0.1066,0.03883,0.03589,-0.0873,0.9323,0.0231
-5.250,-0.0672,0.03562,0.03212,-0.0889,0.9265,0.0258
-5.000,-0.0388,0.02949,0.02561,-0.0918,0.9226,0.0265
-4.750,-0.0125,0.02726,0.02330,-0.0930,0.9156,0.0271
-4.500,0.0202,0.02545,0.02136,-0.0952,0.9101,0.0284
-4.250,0.0484,0.02394,0.01961,-0.0954,0.9033,0.0312
-4.000,0.0699,0.02197,0.01704,-0.0932,0.8956,0.0339
-3.750,0.0918,0.02009,0.01513,-0.0928,0.8884,0.0350
-3.500,0.1154,0.01901,0.01394,-0.0922,0.8805,0.0366
-3.250,0.1362,0.01825,0.01302,-0.0905,0.8722,0.0395
-3.000,0.1582,0.01703,0.01148,-0.0890,0.8646,0.0446
-2.750,0.1769,0.01618,0.01063,-0.0872,0.8554,0.0471
-2.500,0.2019,0.01642,0.01071,-0.0861,0.8466,0.0532
-2.250,0.2198,0.01469,0.00888,-0.0843,0.8365,0.0590
-2.000,0.2409,0.01455,0.00867,-0.0826,0.8250,0.0653
-1.750,0.2610,0.01357,0.00763,-0.0811,0.8128,0.0760
-1.000,0.3378,0.01092,0.00440,-0.0771,0.7572,0.0474
-0.750,0.3595,0.01065,0.00393,-0.0753,0.7283,0.0440
-0.500,0.3786,0.01053,0.00364,-0.0731,0.6933,0.0435
-0.250,0.3942,0.01038,0.00330,-0.0703,0.6501,0.0437
0.000,0.4069,0.01048,0.00315,-0.0668,0.5958,0.0432
0.250,0.4194,0.01069,0.00310,-0.0634,0.5425,0.0427
0.500,0.4335,0.01073,0.00293,-0.0604,0.5025,0.0425
0.750,0.4500,0.01074,0.00278,-0.0579,0.4733,0.0425
1.000,0.4676,0.01072,0.00262,-0.0557,0.4506,0.0431
1.250,0.4867,0.01073,0.00251,-0.0538,0.4328,0.0440
1.500,0.5070,0.01078,0.00247,-0.0522,0.4179,0.0449
1.750,0.5280,0.01085,0.00245,-0.0508,0.4050,0.0468
2.000,0.5497,0.01091,0.00246,-0.0495,0.3938,0.0496
2.250,0.5713,0.01101,0.00250,-0.0482,0.3843,0.0526
2.500,0.7984,0.00999,0.00350,-0.0950,0.3564,1.0000
2.750,0.8207,0.01014,0.00360,-0.0939,0.3494,1.0000
3.000,0.8419,0.01035,0.00373,-0.0927,0.3434,1.0000
3.250,0.8648,0.01047,0.00385,-0.0917,0.3379,1.0000
3.500,0.8867,0.01065,0.00400,-0.0906,0.3326,1.0000
3.750,0.9082,0.01086,0.00417,-0.0894,0.3276,1.0000
4.000,0.9310,0.01100,0.00432,-0.0884,0.3230,1.0000
4.250,0.9529,0.01119,0.00449,-0.0873,0.3183,1.0000
4.500,0.9738,0.01146,0.00472,-0.0860,0.3139,1.0000
4.750,0.9968,0.01157,0.00489,-0.0851,0.3093,1.0000
5.000,1.0189,0.01175,0.00506,-0.0841,0.3047,1.0000
5.250,1.0396,0.01198,0.00525,-0.0828,0.2981,1.0000
5.500,1.0622,0.01209,0.00542,-0.0819,0.2925,1.0000
5.750,1.0828,0.01231,0.00560,-0.0806,0.2859,1.0000
6.000,1.1047,0.01247,0.00581,-0.0795,0.2811,1.0000
6.250,1.1258,0.01262,0.00597,-0.0783,0.2729,1.0000
6.500,1.1469,0.01280,0.00618,-0.0772,0.2666,1.0000
6.750,1.1674,0.01298,0.00636,-0.0759,0.2577,1.0000
