Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx05h126-il-1000000
Airfoil,fx05h126-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,158.287
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-fx05h126-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.3667,0.08525,0.08257,0.0062,0.5773,0.0141
-8.500,-0.4381,0.08465,0.08182,-0.0008,0.5791,0.0139
-8.250,-0.4395,0.08122,0.07840,-0.0028,0.5783,0.0140
-8.000,-0.4459,0.07782,0.07503,-0.0049,0.5775,0.0141
-7.750,-0.4475,0.07446,0.07166,-0.0072,0.5767,0.0142
-7.500,-0.4448,0.07043,0.06760,-0.0102,0.5760,0.0143
-7.250,-0.4391,0.06656,0.06369,-0.0128,0.5753,0.0145
-6.250,-0.3937,0.04606,0.04258,-0.0201,0.5717,0.0174
-6.000,-0.3955,0.03606,0.03211,-0.0197,0.5713,0.0177
-5.750,-0.3778,0.03372,0.02965,-0.0196,0.5708,0.0180
-5.500,-0.3567,0.03219,0.02803,-0.0194,0.5703,0.0183
-5.250,-0.3351,0.03044,0.02616,-0.0192,0.5696,0.0186
-5.000,-0.3128,0.02870,0.02427,-0.0188,0.5689,0.0191
-4.750,-0.2898,0.02676,0.02214,-0.0183,0.5682,0.0204
-4.500,-0.2625,0.02567,0.02064,-0.0170,0.5674,0.0221
-4.250,-0.2472,0.02052,0.01509,-0.0158,0.5667,0.0232
-4.000,-0.2214,0.01966,0.01418,-0.0156,0.5658,0.0238
-3.750,-0.1979,0.01580,0.00976,-0.0139,0.5650,0.0195
-3.500,-0.1715,0.01426,0.00797,-0.0132,0.5641,0.0191
-3.250,-0.1442,0.01364,0.00728,-0.0130,0.5632,0.0195
-3.000,-0.1167,0.01309,0.00666,-0.0129,0.5624,0.0201
-2.750,-0.0894,0.01246,0.00595,-0.0126,0.5616,0.0204
-2.500,-0.0620,0.01197,0.00541,-0.0124,0.5608,0.0208
-2.250,-0.0345,0.01158,0.00497,-0.0122,0.5600,0.0212
-2.000,-0.0071,0.01125,0.00459,-0.0120,0.5592,0.0216
-1.750,0.0205,0.01098,0.00430,-0.0119,0.5583,0.0218
-1.500,0.0481,0.01083,0.00411,-0.0118,0.5572,0.0221
-1.250,0.0742,0.01034,0.00358,-0.0114,0.5564,0.0229
-1.000,0.1016,0.01005,0.00329,-0.0113,0.5559,0.0242
-0.750,0.1296,0.00985,0.00310,-0.0112,0.5552,0.0253
-0.500,0.1577,0.00970,0.00294,-0.0112,0.5544,0.0264
-0.250,0.1860,0.00959,0.00282,-0.0113,0.5536,0.0275
0.000,0.2142,0.00946,0.00268,-0.0113,0.5527,0.0294
0.250,0.2425,0.00933,0.00257,-0.0113,0.5515,0.0340
0.500,0.2698,0.00905,0.00249,-0.0112,0.5501,0.0914
0.750,0.2923,0.00820,0.00242,-0.0105,0.5488,0.3674
