Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx601001-il-1000000
Airfoil,fx601001-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,116.141
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-fx601001-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.4076,0.10786,0.10618,-0.0298,1.0000,0.0109
-10.500,-0.4059,0.10381,0.10214,-0.0314,1.0000,0.0114
-8.750,-0.5295,0.02770,0.02509,-0.0939,0.9881,0.0078
-8.500,-0.4979,0.02236,0.01918,-0.1006,0.9854,0.0078
-8.250,-0.4640,0.02006,0.01658,-0.1040,0.9840,0.0081
-8.000,-0.4296,0.01763,0.01382,-0.1071,0.9829,0.0082
-7.750,-0.4003,0.01590,0.01184,-0.1085,0.9793,0.0084
-7.500,-0.3685,0.01464,0.01041,-0.1100,0.9762,0.0086
-7.250,-0.3357,0.01390,0.00955,-0.1113,0.9734,0.0089
-7.000,-0.3033,0.01225,0.00770,-0.1131,0.9705,0.0094
-6.750,-0.2744,0.01123,0.00658,-0.1139,0.9653,0.0100
-6.500,-0.2455,0.01063,0.00591,-0.1143,0.9596,0.0105
-6.250,-0.2151,0.01010,0.00531,-0.1150,0.9551,0.0110
-6.000,-0.1881,0.00964,0.00479,-0.1149,0.9476,0.0116
-5.750,-0.1595,0.00925,0.00433,-0.1150,0.9415,0.0123
-5.500,-0.1317,0.00882,0.00381,-0.1151,0.9335,0.0133
-5.250,-0.1033,0.00834,0.00324,-0.1152,0.9261,0.0152
-5.000,-0.0754,0.00805,0.00289,-0.1151,0.9168,0.0169
-4.750,-0.0470,0.00772,0.00253,-0.1152,0.9082,0.0223
-4.500,-0.0189,0.00743,0.00232,-0.1152,0.8989,0.0434
-4.250,0.0093,0.00727,0.00215,-0.1153,0.8890,0.0539
-4.000,0.0375,0.00715,0.00198,-0.1152,0.8791,0.0602
-3.750,0.0656,0.00702,0.00181,-0.1152,0.8688,0.0676
-3.500,0.0939,0.00686,0.00164,-0.1152,0.8580,0.0802
-3.250,0.1227,0.00641,0.00142,-0.1157,0.8480,0.1545
-3.000,0.1512,0.00599,0.00125,-0.1161,0.8380,0.2466
-2.750,0.1797,0.00560,0.00110,-0.1164,0.8274,0.3340
-2.500,0.2081,0.00542,0.00106,-0.1166,0.8169,0.4049
-2.250,0.2363,0.00543,0.00107,-0.1165,0.8052,0.4325
-2.000,0.2643,0.00549,0.00108,-0.1163,0.7915,0.4494
-1.750,0.2923,0.00556,0.00109,-0.1162,0.7762,0.4614
-1.500,0.3203,0.00565,0.00108,-0.1160,0.7601,0.4696
-1.250,0.3482,0.00572,0.00110,-0.1158,0.7439,0.4756
-1.000,0.3762,0.00583,0.00111,-0.1157,0.7283,0.4820
-0.500,0.4316,0.00604,0.00117,-0.1154,0.6893,0.4945
-0.250,0.4592,0.00615,0.00119,-0.1152,0.6688,0.5002
0.000,0.4868,0.00625,0.00122,-0.1150,0.6500,0.5033
0.250,0.5146,0.00635,0.00125,-0.1149,0.6327,0.5064
0.500,0.5425,0.00645,0.00128,-0.1148,0.6174,0.5093
0.750,0.5704,0.00654,0.00132,-0.1148,0.6050,0.5120
1.000,0.5983,0.00659,0.00135,-0.1147,0.5928,0.5147
1.500,0.6542,0.00675,0.00146,-0.1146,0.5701,0.5200
1.750,0.6822,0.00683,0.00152,-0.1146,0.5602,0.5226
2.000,0.7100,0.00694,0.00159,-0.1145,0.5502,0.5251
2.250,0.7380,0.00698,0.00164,-0.1144,0.5398,0.5281
2.500,0.7659,0.00705,0.00171,-0.1144,0.5293,0.5303
2.750,0.7936,0.00714,0.00180,-0.1143,0.5182,0.5322
3.000,0.8213,0.00724,0.00189,-0.1142,0.5058,0.5342
3.250,0.8488,0.00736,0.00198,-0.1141,0.4896,0.5364
3.500,0.8757,0.00754,0.00210,-0.1139,0.4627,0.5384
3.750,0.9021,0.00778,0.00222,-0.1137,0.4269,0.5403
4.000,0.9273,0.00816,0.00242,-0.1133,0.3802,0.5427
4.250,0.9520,0.00862,0.00268,-0.1129,0.3329,0.5449
4.500,0.9767,0.00909,0.00296,-0.1124,0.2875,0.5474
4.750,1.0017,0.00953,0.00323,-0.1120,0.2490,0.5501
5.000,1.0274,0.00988,0.00347,-0.1117,0.2223,0.5527
5.250,1.0529,0.01023,0.00373,-0.1114,0.1969,0.5554
5.500,1.0779,0.01062,0.00404,-0.1110,0.1712,0.5585
5.750,1.1031,0.01101,0.00435,-0.1106,0.1503,0.5620
6.000,1.1277,0.01145,0.00468,-0.1102,0.1229,0.5658
6.250,1.1484,0.01239,0.00530,-0.1093,0.0665,0.5701
6.500,1.1675,0.01355,0.00616,-0.1080,0.0189,0.5755
6.750,1.1917,0.01403,0.00669,-0.1074,0.0142,0.5822
7.000,1.2157,0.01450,0.00722,-0.1068,0.0124,0.5918
7.250,1.2383,0.01517,0.00802,-0.1060,0.0107,0.6067
7.500,1.2626,0.01556,0.00855,-0.1054,0.0103,0.6384
7.750,1.2863,0.01598,0.00919,-0.1049,0.0097,0.7062
8.000,1.3079,0.01623,0.00986,-0.1039,0.0091,0.8548
8.250,1.3263,0.01662,0.01043,-0.1021,0.0085,1.0000
8.500,1.3459,0.01753,0.01140,-0.1009,0.0078,1.0000
8.750,1.3612,0.01886,0.01286,-0.0991,0.0073,1.0000
9.000,1.3824,0.01946,0.01352,-0.0981,0.0071,1.0000
9.250,1.4016,0.02023,0.01435,-0.0969,0.0068,1.0000
9.500,1.4195,0.02109,0.01528,-0.0955,0.0066,1.0000
9.750,1.4362,0.02200,0.01628,-0.0939,0.0063,1.0000
10.000,1.4515,0.02297,0.01733,-0.0922,0.0061,1.0000
10.250,1.4657,0.02395,0.01838,-0.0903,0.0059,1.0000
10.500,1.4767,0.02494,0.01944,-0.0880,0.0057,1.0000
10.750,1.4846,0.02597,0.02055,-0.0852,0.0056,1.0000
11.000,1.4909,0.02714,0.02178,-0.0824,0.0054,1.0000
11.250,1.4944,0.02861,0.02334,-0.0795,0.0053,1.0000
11.500,1.4937,0.03057,0.02541,-0.0765,0.0051,1.0000
11.750,1.4865,0.03347,0.02847,-0.0732,0.0050,1.0000
12.000,1.4773,0.03711,0.03231,-0.0703,0.0048,1.0000
12.250,1.4833,0.03864,0.03395,-0.0689,0.0048,1.0000
12.500,1.4873,0.04056,0.03600,-0.0676,0.0047,1.0000
12.750,1.4902,0.04270,0.03826,-0.0666,0.0046,1.0000
13.000,1.4908,0.04525,0.04094,-0.0657,0.0045,1.0000
13.250,1.4899,0.04811,0.04393,-0.0651,0.0044,1.0000
13.500,1.4878,0.05127,0.04723,-0.0648,0.0043,1.0000
13.750,1.4833,0.05493,0.05104,-0.0648,0.0043,1.0000
14.000,1.4769,0.05905,0.05531,-0.0653,0.0042,1.0000
14.250,1.4684,0.06371,0.06013,-0.0662,0.0042,1.0000
14.500,1.4584,0.06884,0.06542,-0.0676,0.0041,1.0000
14.750,1.4472,0.07444,0.07118,-0.0696,0.0041,1.0000
15.000,1.4343,0.08067,0.07758,-0.0721,0.0041,1.0000
15.250,1.4197,0.08750,0.08458,-0.0751,0.0041,1.0000
15.500,1.4047,0.09480,0.09205,-0.0788,0.0041,1.0000
15.750,1.3879,0.10287,0.10029,-0.0831,0.0041,1.0000
16.000,1.3693,0.11176,0.10935,-0.0881,0.0041,1.0000
16.250,1.3523,0.12069,0.11845,-0.0934,0.0041,1.0000
16.500,1.3311,0.13109,0.12902,-0.0998,0.0041,1.0000
16.750,1.3114,0.14149,0.13958,-0.1065,0.0041,1.0000
