Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx62k153-il-50000
Airfoil,fx62k153-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,26.9182
Max Cl/Cd alpha,10.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fx62k153-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.4400,0.12200,0.11652,-0.0115,1.0001,0.3283
-7.500,-0.4488,0.12033,0.11492,-0.0091,1.0001,0.3446
-7.250,-0.4607,0.11889,0.11356,-0.0065,1.0001,0.3606
-7.000,-0.4423,0.11511,0.10975,-0.0044,1.0001,0.3795
-6.750,-0.4361,0.11262,0.10729,-0.0021,1.0001,0.3988
-6.500,-0.4489,0.11152,0.10626,0.0012,1.0001,0.4199
-6.250,-0.4350,0.10837,0.10312,0.0033,1.0001,0.4414
-6.000,-0.4485,0.10758,0.10241,0.0071,1.0001,0.4656
-5.000,-0.5491,0.06307,0.05664,-0.0522,1.0001,0.1614
-4.750,-0.5061,0.05612,0.04863,-0.0591,1.0001,0.1313
-4.500,-0.4646,0.05163,0.04307,-0.0636,1.0001,0.1189
-4.250,-0.4322,0.04866,0.03956,-0.0658,1.0001,0.1188
-4.000,-0.3997,0.04641,0.03669,-0.0675,1.0001,0.1199
-3.750,-0.3707,0.04417,0.03414,-0.0681,1.0001,0.1206
-3.500,-0.3457,0.04240,0.03232,-0.0680,1.0001,0.1246
-3.250,-0.3202,0.04139,0.03106,-0.0677,1.0001,0.1327
-3.000,-0.2988,0.04038,0.03006,-0.0660,1.0001,0.1393
-2.750,-0.2780,0.03985,0.02943,-0.0641,1.0001,0.1501
-2.500,-0.2576,0.03918,0.02894,-0.0625,1.0001,0.1687
-2.250,-0.2230,0.03819,0.02836,-0.0645,1.0001,0.2157
-1.750,-0.2410,0.04028,0.03320,-0.0406,1.0001,0.7638
-1.500,-0.2590,0.04068,0.03354,-0.0283,1.0001,0.8091
-1.250,-0.2736,0.04055,0.03331,-0.0174,1.0001,0.8521
-1.000,-0.1803,0.04176,0.03379,-0.0201,1.0001,0.9999
-0.750,-0.1777,0.04140,0.03326,-0.0180,1.0001,0.9999
-0.500,-0.1749,0.04104,0.03275,-0.0160,1.0001,0.9999
-0.250,-0.1719,0.04070,0.03227,-0.0140,1.0001,0.9999
0.000,-0.1683,0.04037,0.03182,-0.0121,1.0001,0.9999
0.250,-0.1641,0.04007,0.03140,-0.0103,1.0001,0.9999
0.500,-0.1580,0.03988,0.03107,-0.0089,1.0001,0.9999
0.750,-0.1477,0.03989,0.03095,-0.0083,1.0001,0.9999
1.000,-0.1331,0.04015,0.03107,-0.0086,1.0001,0.9999
1.250,-0.1150,0.04063,0.03141,-0.0095,1.0001,0.9999
1.500,-0.0942,0.04131,0.03195,-0.0109,1.0001,0.9999
1.750,-0.0716,0.04216,0.03267,-0.0127,1.0001,0.9999
2.000,-0.0479,0.04314,0.03353,-0.0148,1.0001,0.9999
2.250,-0.0234,0.04424,0.03453,-0.0170,1.0001,0.9999
2.500,0.0015,0.04544,0.03563,-0.0193,1.0001,0.9999
2.750,0.0266,0.04673,0.03684,-0.0217,1.0001,0.9999
3.000,0.0517,0.04810,0.03816,-0.0242,1.0001,0.9999
3.250,0.0766,0.04956,0.03955,-0.0267,1.0001,0.9999
3.500,0.1027,0.05116,0.04111,-0.0294,0.9993,0.9999
3.750,0.1428,0.05378,0.04368,-0.0349,0.9932,0.9999
4.000,0.1884,0.05697,0.04682,-0.0414,0.9855,0.9999
4.250,0.2229,0.05922,0.04907,-0.0457,0.9747,0.9999
4.500,0.2552,0.06136,0.05122,-0.0496,0.9628,0.9999
4.750,0.2854,0.06343,0.05331,-0.0531,0.9502,0.9999
5.000,0.3143,0.06549,0.05541,-0.0562,0.9374,0.9999
5.250,0.3428,0.06762,0.05758,-0.0593,0.9241,0.9999
5.500,0.3709,0.06981,0.05983,-0.0623,0.9108,0.9999
5.750,0.3987,0.07203,0.06212,-0.0652,0.8970,0.9999
6.000,0.4260,0.07428,0.06445,-0.0680,0.8826,0.9999
6.250,0.4528,0.07654,0.06679,-0.0707,0.8675,0.9999
6.500,0.4801,0.07885,0.06922,-0.0734,0.8515,0.9999
6.750,0.5101,0.08133,0.07180,-0.0764,0.8346,0.9999
7.000,0.5523,0.08461,0.07520,-0.0810,0.8164,0.9999
7.250,0.6053,0.08407,0.07478,-0.0828,0.7562,0.9999
7.500,0.6598,0.08347,0.07431,-0.0849,0.7128,0.9999
7.750,0.6773,0.08472,0.07572,-0.0852,0.6924,0.9999
8.000,0.7175,0.08577,0.07694,-0.0876,0.6730,0.9999
8.250,0.7453,0.08700,0.07835,-0.0887,0.6543,0.9999
8.500,0.7662,0.08827,0.07981,-0.0893,0.6347,0.9999
8.750,0.8184,0.08802,0.07980,-0.0915,0.6144,0.9999
9.000,0.8349,0.08925,0.08119,-0.0913,0.5938,0.9999
9.250,0.8685,0.08939,0.08159,-0.0918,0.5738,0.9999
9.500,0.9211,0.08744,0.07994,-0.0923,0.5536,0.9999
9.750,0.9381,0.08804,0.08075,-0.0915,0.5308,0.9999
10.000,1.0248,0.08062,0.07384,-0.0908,0.5106,0.9999
10.250,1.0455,0.07981,0.07329,-0.0888,0.4853,0.9999
10.500,1.2404,0.05250,0.04690,-0.0837,0.4471,0.9999
10.750,1.2840,0.04770,0.04168,-0.0795,0.3701,0.9999
11.000,1.2879,0.04899,0.04240,-0.0758,0.3113,0.9999
11.250,1.2952,0.05102,0.04388,-0.0731,0.2633,0.9999
11.500,1.3068,0.05327,0.04578,-0.0713,0.2263,0.9999
11.750,1.3246,0.05553,0.04784,-0.0701,0.1966,0.9999
12.000,1.3553,0.05773,0.04983,-0.0698,0.1709,0.9999
12.250,1.3777,0.06053,0.05273,-0.0693,0.1535,0.9999
12.500,1.4049,0.06384,0.05619,-0.0691,0.1394,0.9999
12.750,1.4232,0.06740,0.05994,-0.0686,0.1284,0.9999
13.000,1.4315,0.07130,0.06418,-0.0672,0.1216,0.9999
13.250,1.4329,0.07555,0.06865,-0.0657,0.1156,0.9999
13.500,1.4125,0.07972,0.07324,-0.0630,0.1136,0.9999
13.750,1.3927,0.08422,0.07811,-0.0610,0.1117,0.9999
14.000,1.3725,0.08908,0.08329,-0.0594,0.1102,0.9999
14.250,1.3460,0.09455,0.08908,-0.0584,0.1102,0.9999
14.500,1.3130,0.10082,0.09568,-0.0584,0.1115,0.9999
14.750,1.2798,0.10780,0.10292,-0.0595,0.1132,0.9999
15.000,1.2482,0.11548,0.11080,-0.0618,0.1148,0.9999
15.250,1.2198,0.12373,0.11915,-0.0650,0.1163,0.9999
15.500,1.1954,0.13249,0.12801,-0.0690,0.1174,0.9999
