Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx6617a2-il-1000000
Airfoil,fx6617a2-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,131.819
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-fx6617a2-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.250,-0.7174,0.08076,0.07844,-0.0652,1.0000,0.0076
-16.000,-0.7465,0.07184,0.06932,-0.0703,1.0000,0.0074
-15.750,-0.7539,0.06698,0.06437,-0.0731,1.0000,0.0073
-15.500,-0.7832,0.05924,0.05643,-0.0772,1.0000,0.0074
-15.250,-0.7960,0.05444,0.05150,-0.0795,1.0000,0.0074
-15.000,-0.8116,0.04976,0.04670,-0.0813,1.0000,0.0076
-14.750,-0.8204,0.04623,0.04305,-0.0824,1.0000,0.0077
-14.500,-0.8124,0.04256,0.03926,-0.0862,0.9921,0.0078
-14.250,-0.7303,0.03668,0.03305,-0.1081,0.9220,0.0080
-14.000,-0.6861,0.03392,0.02963,-0.1179,0.8050,0.0082
-13.750,-0.6838,0.03258,0.02806,-0.1169,0.7633,0.0083
-13.500,-0.6771,0.03147,0.02678,-0.1162,0.7343,0.0085
-13.250,-0.6742,0.02995,0.02509,-0.1154,0.7127,0.0086
-13.000,-0.6731,0.02830,0.02327,-0.1143,0.6955,0.0086
-12.750,-0.6656,0.02714,0.02198,-0.1135,0.6811,0.0089
-12.500,-0.6587,0.02593,0.02064,-0.1125,0.6691,0.0089
-12.250,-0.6506,0.02484,0.01943,-0.1115,0.6585,0.0091
-12.000,-0.6431,0.02369,0.01817,-0.1104,0.6492,0.0092
-11.750,-0.6325,0.02281,0.01718,-0.1095,0.6413,0.0094
-11.500,-0.6251,0.02172,0.01599,-0.1081,0.6343,0.0095
-11.250,-0.6175,0.02075,0.01491,-0.1066,0.6276,0.0096
-11.000,-0.6193,0.01939,0.01346,-0.1039,0.6225,0.0098
-10.750,-0.6143,0.01865,0.01265,-0.1011,0.6173,0.0100
-10.500,-0.6036,0.01821,0.01213,-0.0990,0.6119,0.0102
-10.250,-0.5851,0.01784,0.01173,-0.0979,0.6078,0.0105
-10.000,-0.5675,0.01739,0.01124,-0.0968,0.6036,0.0108
-9.750,-0.5476,0.01707,0.01086,-0.0959,0.5995,0.0113
-9.500,-0.5283,0.01668,0.01039,-0.0949,0.5957,0.0117
-9.250,-0.5073,0.01629,0.00995,-0.0941,0.5928,0.0122
-9.000,-0.4889,0.01572,0.00933,-0.0930,0.5896,0.0129
-8.750,-0.4674,0.01537,0.00895,-0.0923,0.5864,0.0135
-8.500,-0.4440,0.01515,0.00870,-0.0918,0.5832,0.0143
-8.250,-0.4196,0.01500,0.00849,-0.0914,0.5800,0.0153
-8.000,-0.3925,0.01496,0.00841,-0.0914,0.5777,0.0160
-7.750,-0.3765,0.01407,0.00749,-0.0900,0.5753,0.0175
-7.500,-0.3523,0.01381,0.00721,-0.0896,0.5725,0.0187
-7.250,-0.3282,0.01354,0.00689,-0.0892,0.5699,0.0196
-7.000,-0.3033,0.01335,0.00665,-0.0889,0.5672,0.0201
-6.750,-0.2833,0.01276,0.00597,-0.0879,0.5646,0.0214
-6.500,-0.2593,0.01240,0.00560,-0.0875,0.5629,0.0224
-6.250,-0.2343,0.01212,0.00530,-0.0872,0.5610,0.0232
-6.000,-0.2090,0.01186,0.00501,-0.0869,0.5590,0.0239
-5.750,-0.1833,0.01164,0.00475,-0.0866,0.5569,0.0247
-5.500,-0.1573,0.01146,0.00453,-0.0865,0.5547,0.0252
-5.250,-0.1328,0.01116,0.00416,-0.0860,0.5524,0.0266
-5.000,-0.1073,0.01098,0.00395,-0.0858,0.5496,0.0283
-4.750,-0.0809,0.01080,0.00375,-0.0856,0.5480,0.0296
-4.500,-0.0541,0.01063,0.00356,-0.0855,0.5465,0.0308
