Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx73cl3152-il-1000000
Airfoil,fx73cl3152-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,129.313
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-fx73cl3152-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,0.1808,0.09133,0.08874,-0.1260,0.8303,0.0262
-10.000,-0.1325,0.03891,0.03604,-0.1553,0.8336,0.0253
-9.750,-0.1609,0.02589,0.02259,-0.1746,0.8253,0.0254
-9.500,-0.1389,0.02000,0.01628,-0.1854,0.8174,0.0257
-9.250,-0.1144,0.01854,0.01468,-0.1870,0.8099,0.0260
-9.000,-0.0883,0.01772,0.01380,-0.1878,0.8002,0.0263
-8.750,-0.0620,0.01708,0.01307,-0.1882,0.7891,0.0266
-8.500,-0.0361,0.01647,0.01233,-0.1884,0.7724,0.0270
-8.250,-0.0116,0.01584,0.01150,-0.1883,0.7420,0.0273
-8.000,0.0101,0.01543,0.01078,-0.1876,0.6941,0.0277
-7.750,0.0328,0.01503,0.01011,-0.1870,0.6564,0.0280
-7.500,0.0568,0.01467,0.00952,-0.1865,0.6274,0.0283
-7.250,0.0820,0.01430,0.00897,-0.1862,0.6040,0.0286
-7.000,0.1077,0.01402,0.00851,-0.1859,0.5833,0.0289
-6.750,0.1330,0.01349,0.00780,-0.1856,0.5650,0.0293
-6.500,0.1583,0.01301,0.00719,-0.1854,0.5486,0.0298
-6.250,0.1847,0.01277,0.00686,-0.1851,0.5343,0.0303
-6.000,0.2115,0.01257,0.00658,-0.1848,0.5225,0.0309
-5.750,0.2379,0.01240,0.00630,-0.1844,0.5110,0.0314
-5.500,0.2651,0.01219,0.00601,-0.1842,0.5021,0.0321
-5.250,0.2917,0.01206,0.00577,-0.1838,0.4925,0.0327
-5.000,0.3192,0.01191,0.00554,-0.1835,0.4860,0.0330
-4.750,0.3455,0.01153,0.00510,-0.1832,0.4790,0.0342
-4.500,0.3722,0.01143,0.00494,-0.1828,0.4721,0.0350
-4.250,0.3999,0.01130,0.00478,-0.1826,0.4674,0.0359
-4.000,0.4270,0.01120,0.00461,-0.1822,0.4621,0.0368
-3.750,0.4537,0.01112,0.00444,-0.1818,0.4564,0.0376
-3.500,0.4805,0.01090,0.00420,-0.1814,0.4525,0.0389
-3.250,0.5081,0.01080,0.00408,-0.1812,0.4494,0.0402
-3.000,0.5354,0.01073,0.00396,-0.1808,0.4459,0.0414
-2.750,0.5622,0.01063,0.00381,-0.1804,0.4424,0.0429
-2.500,0.5888,0.01058,0.00373,-0.1800,0.4386,0.0448
-2.250,0.6154,0.01058,0.00369,-0.1795,0.4349,0.0467
