Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx75vg166-il-50000
Airfoil,fx75vg166-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,20.5508
Max Cl/Cd alpha,11.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fx75vg166-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4444,0.12627,0.12059,-0.0142,1.0000,0.3491
-9.250,-0.4583,0.12447,0.11886,-0.0121,1.0000,0.3626
-9.000,-0.4751,0.12309,0.11755,-0.0097,1.0000,0.3778
-8.750,-0.4534,0.11927,0.11368,-0.0085,1.0000,0.3872
-8.500,-0.4560,0.11686,0.11130,-0.0064,1.0000,0.4015
-8.250,-0.4647,0.11469,0.10919,-0.0042,1.0000,0.4154
-8.000,-0.4754,0.11278,0.10732,-0.0016,1.0000,0.4305
-7.750,-0.5565,0.08773,0.08289,-0.0239,1.0000,0.2125
-7.500,-0.6213,0.08184,0.07699,-0.0219,1.0000,0.2031
-7.250,-0.6948,0.07834,0.07339,-0.0167,1.0000,0.2065
-7.000,-0.7908,0.07597,0.07001,-0.0134,1.0000,0.1677
-6.750,-0.8124,0.06944,0.06260,-0.0108,1.0000,0.1432
-6.500,-0.8041,0.06561,0.05854,-0.0090,1.0000,0.1365
-6.250,-0.8007,0.06162,0.05413,-0.0069,1.0000,0.1320
-6.000,-0.7968,0.05827,0.04973,-0.0041,1.0000,0.1248
-5.750,-0.7836,0.05501,0.04623,-0.0026,1.0000,0.1236
-5.500,-0.7691,0.05203,0.04291,-0.0011,1.0000,0.1218
-5.250,-0.7527,0.04929,0.03976,0.0005,1.0000,0.1206
-5.000,-0.7353,0.04709,0.03714,0.0020,1.0000,0.1213
-4.750,-0.7168,0.04528,0.03483,0.0035,1.0000,0.1241
-4.500,-0.6967,0.04328,0.03254,0.0048,1.0000,0.1268
-4.250,-0.6750,0.04154,0.03071,0.0058,1.0000,0.1302
-4.000,-0.6534,0.04034,0.02936,0.0069,1.0000,0.1366
-3.750,-0.6298,0.03918,0.02810,0.0080,1.0000,0.1446
-3.500,-0.1956,0.05034,0.04197,-0.0329,1.0000,1.0000
-3.250,-0.1919,0.04990,0.04131,-0.0311,1.0000,1.0000
-3.000,-0.1876,0.04953,0.04076,-0.0293,1.0000,1.0000
-2.750,-0.1828,0.04925,0.04029,-0.0275,1.0000,1.0000
-2.500,-0.1773,0.04902,0.03988,-0.0256,1.0000,1.0000
-2.250,-0.1715,0.04885,0.03955,-0.0237,1.0000,1.0000
-2.000,-0.1654,0.04873,0.03927,-0.0218,1.0000,1.0000
-1.750,-0.1590,0.04866,0.03904,-0.0200,1.0000,1.0000
-1.500,-0.1522,0.04863,0.03886,-0.0181,1.0000,1.0000
