Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx76mp160-il-200000
Airfoil,fx76mp160-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,76.282
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-fx76mp160-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.000,0.1034,0.10547,0.10108,-0.1490,0.9232,0.0736
-11.750,0.1119,0.10284,0.09844,-0.1510,0.9197,0.0757
-11.500,0.0894,0.09890,0.09452,-0.1579,0.9152,0.0783
-11.250,0.1167,0.09601,0.09160,-0.1578,0.9133,0.0789
-11.000,0.1379,0.09348,0.08903,-0.1593,0.9112,0.0798
-10.750,0.1533,0.09115,0.08667,-0.1608,0.9088,0.0812
-10.500,0.1578,0.08913,0.08467,-0.1609,0.9054,0.0830
-10.000,0.1449,0.08259,0.07818,-0.1656,0.8975,0.0874
-9.750,-0.0927,0.04744,0.04282,-0.1810,0.8815,0.0559
-9.500,-0.1094,0.04534,0.04063,-0.1797,0.8772,0.0556
-9.250,-0.1345,0.04358,0.03875,-0.1764,0.8723,0.0554
-9.000,-0.1581,0.04239,0.03746,-0.1716,0.8660,0.0552
-8.750,-0.1686,0.03929,0.03399,-0.1703,0.8613,0.0551
-8.500,-0.1643,0.03612,0.03034,-0.1703,0.8584,0.0552
-8.250,-0.1941,0.03667,0.03084,-0.1617,0.8497,0.0552
-8.000,-0.1926,0.03505,0.02887,-0.1593,0.8455,0.0555
-7.750,-0.1720,0.03300,0.02646,-0.1598,0.8432,0.0565
-7.500,-0.1406,0.03206,0.02551,-0.1612,0.8419,0.0580
-7.250,-0.1084,0.03091,0.02418,-0.1627,0.8406,0.0603
-7.000,-0.1686,0.03290,0.02628,-0.1483,0.8281,0.0591
-6.750,-0.1419,0.03176,0.02482,-0.1489,0.8260,0.0615
-6.500,-0.1079,0.03038,0.02324,-0.1507,0.8246,0.0643
-6.250,-0.0686,0.02936,0.02208,-0.1530,0.8236,0.0684
