Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx77080-il-200000
Airfoil,fx77080-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,41.9784
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-fx77080-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.5721,0.07729,0.07387,-0.0107,1.0000,0.0620
-9.750,-0.8243,0.05667,0.05258,-0.0267,1.0000,0.0359
-9.500,-0.8410,0.05144,0.04712,-0.0255,1.0000,0.0353
-9.250,-0.8519,0.04649,0.04185,-0.0237,1.0000,0.0347
-9.000,-0.8576,0.04172,0.03666,-0.0216,1.0000,0.0342
-8.750,-0.8572,0.03746,0.03191,-0.0192,1.0000,0.0342
-8.500,-0.8509,0.03382,0.02780,-0.0169,1.0000,0.0341
-8.250,-0.8399,0.03086,0.02439,-0.0148,1.0000,0.0347
-8.000,-0.8245,0.02883,0.02194,-0.0128,1.0000,0.0361
-7.750,-0.8096,0.02625,0.01897,-0.0110,1.0000,0.0377
-7.500,-0.7912,0.02422,0.01685,-0.0097,1.0000,0.0398
-7.250,-0.7710,0.02281,0.01529,-0.0084,1.0000,0.0420
-7.000,-0.7499,0.02151,0.01380,-0.0070,1.0000,0.0444
-6.750,-0.7282,0.02058,0.01266,-0.0057,1.0000,0.0475
-6.500,-0.7086,0.01883,0.01093,-0.0043,1.0000,0.0516
-6.250,-0.6872,0.01791,0.00993,-0.0030,1.0000,0.0562
-6.000,-0.6669,0.01678,0.00876,-0.0015,1.0000,0.0617
-5.750,-0.6454,0.01610,0.00805,-0.0002,1.0000,0.0695
-5.500,-0.6253,0.01521,0.00720,0.0013,1.0000,0.0797
-5.250,-0.6041,0.01457,0.00659,0.0027,1.0000,0.0957
-5.000,-0.5835,0.01391,0.00605,0.0041,1.0000,0.1182
-4.750,-0.5620,0.01343,0.00563,0.0053,1.0000,0.1434
-4.500,-0.5403,0.01302,0.00525,0.0065,1.0000,0.1652
-4.250,-0.5185,0.01262,0.00489,0.0077,1.0000,0.1851
-4.000,-0.4972,0.01221,0.00457,0.0090,1.0000,0.2057
-3.750,-0.4757,0.01183,0.00427,0.0102,1.0000,0.2292
-3.500,-0.4549,0.01140,0.00398,0.0115,1.0000,0.2594
-3.250,-0.4349,0.01093,0.00373,0.0130,1.0000,0.3017
-3.000,-0.4165,0.01038,0.00351,0.0148,1.0000,0.3658
-2.750,-0.3994,0.00982,0.00335,0.0169,1.0000,0.4521
-2.500,-0.3837,0.00928,0.00327,0.0194,1.0000,0.5503
-2.250,-0.3681,0.00883,0.00325,0.0222,1.0000,0.6493
-2.000,-0.3500,0.00850,0.00331,0.0248,1.0000,0.7422
-1.750,-0.3244,0.00834,0.00342,0.0260,1.0000,0.8275
-1.500,-0.2801,0.00838,0.00356,0.0234,1.0000,0.9000
-1.250,-0.2206,0.00853,0.00368,0.0174,1.0000,0.9411
-1.000,-0.1609,0.00869,0.00377,0.0112,1.0000,0.9640
-0.750,-0.1051,0.00881,0.00384,0.0056,1.0000,0.9804
-0.500,-0.0477,0.00886,0.00384,-0.0004,1.0000,0.9925
-0.250,-0.0050,0.00886,0.00382,-0.0038,1.0000,1.0000
0.000,0.0000,0.00883,0.00379,0.0000,1.0000,1.0000
0.250,0.0051,0.00886,0.00382,0.0038,1.0000,1.0000
0.500,0.0474,0.00886,0.00384,0.0005,0.9926,1.0000
0.750,0.1056,0.00881,0.00383,-0.0057,0.9801,1.0000
1.000,0.1623,0.00868,0.00376,-0.0114,0.9634,1.0000
1.250,0.2216,0.00853,0.00368,-0.0175,0.9400,1.0000
1.500,0.2801,0.00838,0.00356,-0.0233,0.9005,1.0000
1.750,0.3244,0.00834,0.00342,-0.0260,0.8277,1.0000
2.000,0.3500,0.00851,0.00331,-0.0247,0.7406,1.0000
2.250,0.3680,0.00884,0.00325,-0.0221,0.6482,1.0000
2.500,0.3837,0.00928,0.00326,-0.0194,0.5489,1.0000
2.750,0.3995,0.00981,0.00335,-0.0168,0.4525,1.0000
3.000,0.4164,0.01039,0.00351,-0.0147,0.3644,1.0000
3.250,0.4349,0.01093,0.00373,-0.0130,0.3008,1.0000
