Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx77w343-il-1000000
Airfoil,fx77w343-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,86.785
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-fx77w343-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.0997,0.09446,0.08748,-0.0141,0.4731,0.0206
-19.500,-1.0944,0.09180,0.08476,-0.0148,0.4700,0.0207
-19.250,-1.0885,0.08924,0.08213,-0.0154,0.4667,0.0208
-19.000,-1.0812,0.08686,0.07970,-0.0159,0.4652,0.0209
-18.750,-1.0752,0.08431,0.07710,-0.0164,0.4638,0.0210
-18.500,-1.0665,0.08213,0.07488,-0.0169,0.4623,0.0211
-18.250,-1.0579,0.07993,0.07263,-0.0173,0.4607,0.0212
-18.000,-1.0504,0.07762,0.07025,-0.0177,0.4590,0.0213
-17.750,-1.0402,0.07565,0.06824,-0.0180,0.4573,0.0214
-17.500,-1.0298,0.07371,0.06625,-0.0183,0.4555,0.0216
-17.250,-1.0202,0.07165,0.06414,-0.0186,0.4535,0.0218
-17.000,-1.0098,0.06971,0.06216,-0.0188,0.4513,0.0220
-16.750,-0.9982,0.06791,0.06032,-0.0191,0.4490,0.0223
-16.500,-0.9875,0.06602,0.05839,-0.0193,0.4467,0.0226
-16.250,-0.9763,0.06422,0.05658,-0.0194,0.4461,0.0230
-16.000,-0.9641,0.06255,0.05490,-0.0195,0.4455,0.0234
-15.750,-0.9524,0.06082,0.05316,-0.0196,0.4447,0.0238
-15.500,-0.9403,0.05914,0.05147,-0.0197,0.4438,0.0243
-15.250,-0.9260,0.05769,0.05002,-0.0198,0.4428,0.0247
-15.000,-0.9109,0.05634,0.04872,-0.0199,0.4417,0.0278
-14.750,-0.8952,0.05504,0.04740,-0.0200,0.4405,0.0300
-14.500,-0.8804,0.05365,0.04598,-0.0201,0.4393,0.0309
-14.250,-0.8644,0.05238,0.04468,-0.0202,0.4381,0.0315
-14.000,-0.8476,0.05123,0.04350,-0.0203,0.4367,0.0320
-13.750,-0.8316,0.05000,0.04225,-0.0203,0.4353,0.0325
-13.500,-0.8155,0.04878,0.04100,-0.0204,0.4337,0.0331
-13.250,-0.7994,0.04754,0.03973,-0.0205,0.4319,0.0338
-13.000,-0.7819,0.04648,0.03864,-0.0205,0.4298,0.0344
-12.750,-0.7636,0.04550,0.03764,-0.0207,0.4277,0.0349
-12.500,-0.7456,0.04449,0.03660,-0.0207,0.4271,0.0353
-12.250,-0.7277,0.04345,0.03554,-0.0208,0.4267,0.0356
-12.000,-0.7115,0.04230,0.03438,-0.0207,0.4263,0.0360
-11.750,-0.6959,0.04115,0.03322,-0.0206,0.4259,0.0364
-11.500,-0.6795,0.04007,0.03214,-0.0204,0.4254,0.0369
-11.250,-0.6628,0.03903,0.03109,-0.0203,0.4248,0.0374
-11.000,-0.6464,0.03798,0.03002,-0.0201,0.4243,0.0378
-10.750,-0.6300,0.03693,0.02896,-0.0200,0.4236,0.0383
-10.500,-0.6121,0.03603,0.02805,-0.0199,0.4230,0.0387
-10.250,-0.5937,0.03518,0.02718,-0.0198,0.4223,0.0391
-10.000,-0.5753,0.03434,0.02633,-0.0196,0.4217,0.0394
-9.750,-0.5571,0.03352,0.02549,-0.0194,0.4210,0.0397
-9.500,-0.5420,0.03255,0.02451,-0.0190,0.4204,0.0401
-9.250,-0.5283,0.03150,0.02345,-0.0185,0.4198,0.0408
-9.000,-0.5125,0.03060,0.02254,-0.0180,0.4192,0.0413
-8.750,-0.4969,0.02969,0.02163,-0.0175,0.4185,0.0419
-8.500,-0.4816,0.02877,0.02070,-0.0170,0.4180,0.0424
-8.250,-0.4668,0.02784,0.01975,-0.0164,0.4174,0.0430
-8.000,-0.4509,0.02699,0.01889,-0.0158,0.4168,0.0435
-7.750,-0.4359,0.02611,0.01799,-0.0151,0.4163,0.0442
-7.500,-0.4254,0.02508,0.01696,-0.0138,0.4157,0.0453
-7.250,-0.4280,0.02403,0.01590,-0.0104,0.4153,0.0462
-7.000,-0.4124,0.02316,0.01505,-0.0101,0.4147,0.0478
-6.750,-0.3925,0.02227,0.01423,-0.0107,0.4140,0.0574
-6.500,-0.3653,0.02177,0.01372,-0.0118,0.4133,0.0614
-6.250,-0.3372,0.02122,0.01316,-0.0133,0.4125,0.0633
-6.000,-0.3071,0.02078,0.01271,-0.0150,0.4116,0.0652
-5.750,-0.2758,0.02045,0.01236,-0.0168,0.4107,0.0667
-5.500,-0.2437,0.02007,0.01199,-0.0190,0.4094,0.0682
-5.250,-0.2103,0.01965,0.01157,-0.0212,0.4088,0.0700
-5.000,-0.1760,0.01925,0.01117,-0.0235,0.4085,0.0718
-4.750,-0.1418,0.01887,0.01081,-0.0258,0.4082,0.0750
-4.500,-0.1074,0.01839,0.01043,-0.0282,0.4078,0.0888
-4.250,-0.0732,0.01813,0.01020,-0.0301,0.4074,0.1017
-4.000,-0.0388,0.01788,0.00997,-0.0321,0.4069,0.1073
-3.750,-0.0033,0.01739,0.00963,-0.0348,0.4063,0.1351
-3.500,0.0317,0.01713,0.00941,-0.0369,0.4056,0.1514
-3.250,0.0685,0.01658,0.00906,-0.0399,0.4049,0.1953
-3.000,0.1057,0.01604,0.00872,-0.0429,0.4042,0.2412
-2.750,0.1438,0.01545,0.00837,-0.0461,0.4035,0.2951
-2.500,0.1822,0.01487,0.00803,-0.0494,0.4027,0.3568
-2.250,0.2210,0.01429,0.00771,-0.0527,0.4020,0.4230
-2.000,0.2564,0.01415,0.00764,-0.0548,0.4014,0.4462
-1.750,0.2924,0.01396,0.00756,-0.0570,0.4008,0.4748
-1.500,0.3274,0.01389,0.00753,-0.0588,0.4002,0.4960
-1.250,0.3623,0.01384,0.00753,-0.0607,0.3996,0.5088
-1.000,0.3976,0.01374,0.00756,-0.0627,0.3990,0.5358
-0.750,0.4318,0.01379,0.00761,-0.0642,0.3984,0.5554
-0.500,0.4660,0.01383,0.00770,-0.0659,0.3978,0.5665
-0.250,0.4998,0.01391,0.00776,-0.0674,0.3972,0.5734
0.000,0.5336,0.01401,0.00788,-0.0689,0.3965,0.5800
0.250,0.5671,0.01415,0.00804,-0.0703,0.3958,0.5860
0.500,0.6005,0.01431,0.00819,-0.0718,0.3949,0.5909
0.750,0.6336,0.01452,0.00839,-0.0732,0.3939,0.5952
1.000,0.6663,0.01480,0.00868,-0.0745,0.3928,0.5993
1.250,0.6986,0.01520,0.00907,-0.0758,0.3914,0.6036
1.500,0.7320,0.01530,0.00916,-0.0773,0.3911,0.6082
1.750,0.7654,0.01540,0.00924,-0.0787,0.3908,0.6109
2.000,0.7984,0.01548,0.00935,-0.0801,0.3904,0.6134
2.250,0.8313,0.01558,0.00947,-0.0815,0.3899,0.6154
2.500,0.8642,0.01568,0.00958,-0.0829,0.3893,0.6173
2.750,0.8970,0.01578,0.00970,-0.0842,0.3886,0.6193
3.000,0.9296,0.01591,0.00984,-0.0856,0.3879,0.6216
3.250,0.9622,0.01606,0.00999,-0.0869,0.3872,0.6241
3.500,0.9947,0.01620,0.01012,-0.0883,0.3864,0.6262
3.750,1.0273,0.01632,0.01025,-0.0897,0.3856,0.6275
4.000,1.0597,0.01645,0.01036,-0.0910,0.3847,0.6285
4.250,1.0921,0.01653,0.01044,-0.0924,0.3838,0.6297
4.500,1.1243,0.01654,0.01047,-0.0938,0.3829,0.6326
4.750,1.1560,0.01666,0.01060,-0.0951,0.3819,0.6347
5.000,1.1874,0.01680,0.01077,-0.0963,0.3810,0.6367
5.250,1.2186,0.01696,0.01094,-0.0974,0.3800,0.6386
5.500,1.2496,0.01712,0.01111,-0.0986,0.3789,0.6402
5.750,1.2802,0.01733,0.01130,-0.0998,0.3774,0.6419
6.000,1.3101,0.01763,0.01158,-0.1008,0.3754,0.6434
6.250,1.3401,0.01791,0.01187,-0.1019,0.3739,0.6447
6.500,1.3713,0.01796,0.01194,-0.1032,0.3734,0.6457
6.750,1.4022,0.01803,0.01203,-0.1045,0.3727,0.6465
7.000,1.4330,0.01809,0.01211,-0.1057,0.3717,0.6473
7.250,1.4636,0.01816,0.01221,-0.1069,0.3705,0.6479
7.500,1.4939,0.01825,0.01230,-0.1081,0.3689,0.6484
