Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx78pk188-il-200000
Airfoil,fx78pk188-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,38.1387
Max Cl/Cd alpha,10.5
Url,http://airfoiltools.com/polar/csv?polar=xf-fx78pk188-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.500,-0.1729,0.11063,0.10681,-0.0959,0.8434,0.0778
-13.250,-0.3827,0.07576,0.07153,-0.1251,0.8538,0.0440
-13.000,-0.4089,0.07018,0.06584,-0.1266,0.8520,0.0431
-12.750,-0.4365,0.06514,0.06067,-0.1272,0.8502,0.0419
-12.500,-0.5384,0.05578,0.05064,-0.1234,0.8477,0.0370
-12.250,-0.5586,0.05383,0.04843,-0.1204,0.8453,0.0364
-12.000,-0.5725,0.05158,0.04597,-0.1176,0.8431,0.0363
-11.750,-0.5820,0.04978,0.04396,-0.1147,0.8410,0.0361
-11.500,-0.5946,0.04679,0.04071,-0.1113,0.8391,0.0363
-11.250,-0.6023,0.04413,0.03777,-0.1080,0.8374,0.0364
-11.000,-0.6023,0.04109,0.03447,-0.1057,0.8356,0.0368
-10.750,-0.5914,0.03913,0.03246,-0.1049,0.8336,0.0383
-10.500,-0.5791,0.03802,0.03130,-0.1037,0.8317,0.0398
-10.250,-0.5719,0.03715,0.03030,-0.1015,0.8298,0.0416
-10.000,-0.5632,0.03590,0.02880,-0.0993,0.8280,0.0432
-9.750,-0.5495,0.03455,0.02715,-0.0977,0.8265,0.0444
-9.500,-0.5399,0.03407,0.02640,-0.0953,0.8249,0.0455
-9.250,-0.4903,0.03075,0.02304,-0.1001,0.8243,0.0498
-9.000,-0.4656,0.02990,0.02208,-0.1001,0.8230,0.0524
-8.750,-0.4405,0.02916,0.02118,-0.0999,0.8218,0.0549
-8.500,-0.4154,0.02862,0.02049,-0.1000,0.8202,0.0564
-8.250,-0.3669,0.02712,0.01907,-0.1034,0.8195,0.0603
-8.000,-0.3440,0.02671,0.01868,-0.1033,0.8180,0.0631
-7.750,-0.3224,0.02634,0.01828,-0.1028,0.8164,0.0657
-7.500,-0.3036,0.02605,0.01794,-0.1019,0.8148,0.0680
-7.250,-0.2904,0.02552,0.01744,-0.1003,0.8130,0.0712
-7.000,-0.2797,0.02514,0.01709,-0.0983,0.8111,0.0754
-6.750,-0.2681,0.02486,0.01677,-0.0962,0.8094,0.0805
-6.500,-0.2634,0.02447,0.01641,-0.0931,0.8080,0.0865
-6.250,-0.2578,0.02427,0.01620,-0.0900,0.8068,0.0962
-6.000,-0.2794,0.02517,0.01720,-0.0832,0.8030,0.1013
-5.750,-0.3039,0.02612,0.01818,-0.0752,0.7990,0.1057
-5.500,-0.3229,0.02663,0.01876,-0.0680,0.7965,0.1180
-5.250,-0.3373,0.02631,0.01876,-0.0615,0.7943,0.1687
-5.000,-0.3498,0.02510,0.01826,-0.0554,0.7925,0.3014
-4.750,-0.3840,0.02664,0.01967,-0.0457,0.7898,0.2802
-4.500,-0.4200,0.02807,0.02091,-0.0357,0.7867,0.2522
-4.250,-0.4383,0.02759,0.02105,-0.0292,0.7865,0.3734
-4.000,-0.4553,0.02693,0.02146,-0.0220,0.7853,0.5579
-3.750,-0.4513,0.02803,0.02295,-0.0174,0.7856,0.6606
