Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-giiid-il-200000
Airfoil,giiid-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,59.2493
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-giiid-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.4839,0.11434,0.11109,-0.0045,1.0000,0.0501
-10.750,-0.4954,0.10948,0.10627,-0.0085,1.0000,0.0508
-10.500,-0.5041,0.10442,0.10124,-0.0118,1.0000,0.0510
-10.250,-0.5118,0.09901,0.09585,-0.0151,1.0000,0.0511
-10.000,-0.5153,0.09261,0.08950,-0.0143,1.0000,0.0522
-9.750,-0.5048,0.08999,0.08687,-0.0120,1.0000,0.0536
-9.500,-0.5036,0.08617,0.08306,-0.0123,1.0000,0.0548
-9.250,-0.5077,0.08152,0.07844,-0.0138,1.0000,0.0560
-9.000,-0.5162,0.07614,0.07308,-0.0164,1.0000,0.0570
-8.750,-0.5325,0.06951,0.06649,-0.0211,1.0000,0.0574
-8.500,-0.5548,0.06330,0.06025,-0.0252,1.0000,0.0572
-8.250,-0.5736,0.05849,0.05538,-0.0260,1.0000,0.0576
-8.000,-0.5859,0.05365,0.05045,-0.0261,1.0000,0.0588
-7.750,-0.5971,0.04856,0.04513,-0.0260,1.0000,0.0617
-7.500,-0.6177,0.04238,0.03841,-0.0243,1.0000,0.0647
-7.250,-0.6058,0.03818,0.03432,-0.0238,1.0000,0.0663
-7.000,-0.6543,0.03872,0.03347,-0.0165,1.0000,0.0412
-6.750,-0.6417,0.03356,0.02797,-0.0142,1.0000,0.0341
-6.500,-0.6294,0.02977,0.02368,-0.0117,1.0000,0.0336
-6.250,-0.6143,0.02758,0.02117,-0.0096,1.0000,0.0352
-6.000,-0.6010,0.02507,0.01827,-0.0068,1.0000,0.0352
-5.750,-0.5884,0.02310,0.01598,-0.0039,1.0000,0.0356
-5.500,-0.5747,0.02155,0.01417,-0.0013,1.0000,0.0365
-5.250,-0.5590,0.02045,0.01285,0.0009,1.0000,0.0381
-5.000,-0.5417,0.01898,0.01118,0.0027,1.0000,0.0408
-4.750,-0.5094,0.01751,0.00969,0.0015,0.9968,0.0444
-4.500,-0.4723,0.01643,0.00852,-0.0004,0.9926,0.0495
-4.250,-0.4375,0.01532,0.00744,-0.0022,0.9872,0.0596
-4.000,-0.4006,0.01425,0.00639,-0.0043,0.9828,0.0787
-3.750,-0.3682,0.01328,0.00571,-0.0058,0.9763,0.1320
-3.500,-0.3328,0.01237,0.00523,-0.0081,0.9712,0.2153
-3.250,-0.3041,0.01110,0.00475,-0.0093,0.9650,0.3818
-3.000,-0.2860,0.00971,0.00486,-0.0070,0.9578,0.7219
-2.750,-0.2555,0.00977,0.00507,-0.0064,0.9522,0.8119
-2.500,-0.2259,0.00996,0.00524,-0.0057,0.9451,0.8530
-2.250,-0.1915,0.01019,0.00540,-0.0059,0.9404,0.8798
-2.000,-0.1629,0.01043,0.00554,-0.0052,0.9323,0.8993
-1.750,-0.1271,0.01066,0.00567,-0.0059,0.9271,0.9140
-1.500,-0.0934,0.01087,0.00580,-0.0064,0.9199,0.9271
-1.250,-0.0501,0.01107,0.00589,-0.0088,0.9146,0.9367
-1.000,-0.0027,0.01122,0.00596,-0.0123,0.9096,0.9464
-0.750,0.0506,0.01140,0.00607,-0.0168,0.9043,0.9607
-0.500,0.0962,0.01142,0.00601,-0.0202,0.8982,0.9725
-0.250,0.1316,0.01135,0.00590,-0.0220,0.8888,0.9783
0.000,0.1637,0.01128,0.00578,-0.0230,0.8789,0.9838
0.250,0.1982,0.01114,0.00558,-0.0244,0.8665,0.9885
0.500,0.2301,0.01104,0.00542,-0.0252,0.8522,0.9941
0.750,0.2655,0.01087,0.00520,-0.0267,0.8380,0.9984
1.000,0.2917,0.01077,0.00507,-0.0266,0.8245,1.0000
1.250,0.3138,0.01070,0.00497,-0.0256,0.8126,1.0000
1.500,0.3369,0.01062,0.00489,-0.0248,0.8001,1.0000
1.750,0.3601,0.01055,0.00482,-0.0241,0.7875,1.0000
2.000,0.3835,0.01048,0.00477,-0.0233,0.7747,1.0000
2.250,0.4071,0.01041,0.00470,-0.0226,0.7617,1.0000
2.500,0.4307,0.01033,0.00464,-0.0218,0.7480,1.0000
2.750,0.4544,0.01025,0.00458,-0.0210,0.7336,1.0000
3.000,0.4782,0.01018,0.00454,-0.0202,0.7179,1.0000
3.250,0.5019,0.01012,0.00449,-0.0193,0.7011,1.0000
3.500,0.5256,0.01008,0.00448,-0.0184,0.6808,1.0000
3.750,0.5489,0.01007,0.00446,-0.0174,0.6588,1.0000
4.000,0.5721,0.01010,0.00451,-0.0164,0.6320,1.0000
4.250,0.5946,0.01018,0.00454,-0.0153,0.5962,1.0000
4.500,0.6156,0.01039,0.00457,-0.0138,0.5409,1.0000
4.750,0.6351,0.01081,0.00468,-0.0123,0.4608,1.0000
5.000,0.6527,0.01150,0.00493,-0.0107,0.3695,1.0000
5.250,0.6707,0.01222,0.00537,-0.0093,0.3104,1.0000
5.500,0.6898,0.01282,0.00579,-0.0081,0.2679,1.0000
5.750,0.7091,0.01336,0.00621,-0.0068,0.2282,1.0000
6.000,0.7274,0.01401,0.00666,-0.0055,0.1765,1.0000
6.250,0.7395,0.01550,0.00752,-0.0033,0.0821,1.0000
6.500,0.7527,0.01689,0.00874,-0.0010,0.0592,1.0000
6.750,0.7694,0.01782,0.00973,0.0008,0.0501,1.0000
7.000,0.7845,0.01904,0.01099,0.0029,0.0452,1.0000
7.250,0.8021,0.02010,0.01212,0.0047,0.0417,1.0000
7.500,0.8195,0.02138,0.01340,0.0062,0.0386,1.0000
7.750,0.8372,0.02334,0.01541,0.0077,0.0355,1.0000
8.000,0.8582,0.02468,0.01692,0.0090,0.0336,1.0000
8.250,0.8790,0.02642,0.01888,0.0102,0.0319,1.0000
8.500,0.8983,0.02788,0.02047,0.0113,0.0296,1.0000
8.750,0.9156,0.03030,0.02296,0.0123,0.0272,1.0000
9.000,0.9284,0.03484,0.02793,0.0139,0.0265,1.0000
