Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-giiif-il-50000
Airfoil,giiif-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,32.2233
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-giiif-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.5712,0.10951,0.10287,0.0045,1.0000,0.2083
-8.750,-0.5812,0.10703,0.10049,0.0021,1.0000,0.2184
-8.500,-0.5734,0.10284,0.09633,0.0027,1.0000,0.2316
-8.250,-0.5704,0.09906,0.09255,0.0027,1.0000,0.2452
-8.000,-0.5731,0.09566,0.08923,0.0021,1.0000,0.2597
-7.750,-0.5638,0.09149,0.08510,0.0036,1.0000,0.2783
-7.500,-0.5642,0.08836,0.08204,0.0043,1.0000,0.3006
-7.250,-0.5586,0.08495,0.07868,0.0065,1.0000,0.3281
-6.500,-0.4822,0.07652,0.07016,0.0270,1.0000,0.5502
-6.250,-0.4261,0.07214,0.06560,0.0313,1.0000,0.6559
-6.000,-0.3829,0.06825,0.06162,0.0335,1.0000,0.7601
-5.000,-0.4804,0.04364,0.03528,-0.0208,1.0000,0.1607
-4.750,-0.4588,0.03968,0.03072,-0.0197,1.0000,0.1393
-4.500,-0.4374,0.03656,0.02708,-0.0182,1.0000,0.1301
-4.250,-0.4157,0.03364,0.02361,-0.0166,1.0000,0.1256
-4.000,-0.3946,0.03144,0.02103,-0.0152,1.0000,0.1315
-3.750,-0.3715,0.02923,0.01830,-0.0137,1.0000,0.1370
-3.500,-0.3469,0.02700,0.01589,-0.0126,1.0000,0.1433
-3.250,-0.3224,0.02525,0.01392,-0.0114,1.0000,0.1613
-3.000,-0.1128,0.01806,0.00926,-0.0321,1.0000,1.0000
-2.750,-0.0948,0.01782,0.00862,-0.0310,1.0000,1.0000
-2.500,-0.0790,0.01760,0.00813,-0.0296,1.0000,1.0000
-2.250,-0.0656,0.01743,0.00775,-0.0278,1.0000,1.0000
-2.000,-0.0557,0.01730,0.00747,-0.0254,1.0000,1.0000
-1.750,-0.0497,0.01723,0.00728,-0.0224,1.0000,1.0000
-1.500,-0.0467,0.01720,0.00711,-0.0189,1.0000,1.0000
-1.250,-0.0459,0.01720,0.00702,-0.0150,1.0000,1.0000
-1.000,-0.0447,0.01724,0.00695,-0.0113,1.0000,1.0000
-0.750,-0.0414,0.01731,0.00689,-0.0079,1.0000,1.0000
-0.500,-0.0350,0.01741,0.00685,-0.0050,1.0000,1.0000
-0.250,-0.0251,0.01755,0.00686,-0.0028,1.0000,1.0000
0.000,-0.0122,0.01773,0.00692,-0.0011,1.0000,1.0000
0.250,0.0027,0.01796,0.00701,0.0002,1.0000,1.0000
0.500,0.0190,0.01822,0.00717,0.0012,1.0000,1.0000
0.750,0.0363,0.01852,0.00739,0.0020,1.0000,1.0000
1.000,0.0543,0.01885,0.00766,0.0026,1.0000,1.0000
1.250,0.0728,0.01923,0.00799,0.0031,1.0000,1.0000
1.500,0.0916,0.01964,0.00837,0.0035,1.0000,1.0000
1.750,0.1107,0.02009,0.00881,0.0038,1.0000,1.0000
2.000,0.1298,0.02059,0.00931,0.0040,1.0000,1.0000
2.250,0.1490,0.02113,0.00988,0.0041,1.0000,1.0000
2.500,0.1681,0.02172,0.01051,0.0041,1.0000,1.0000
2.750,0.1871,0.02237,0.01125,0.0040,1.0000,1.0000
3.000,0.2058,0.02308,0.01204,0.0039,1.0000,1.0000
3.250,0.2449,0.02416,0.01328,-0.0003,0.9905,1.0000
3.500,0.3100,0.02560,0.01501,-0.0093,0.9692,1.0000
3.750,0.3659,0.02673,0.01652,-0.0160,0.9444,1.0000
4.000,0.4235,0.02771,0.01790,-0.0224,0.9170,1.0000
4.250,0.4872,0.02840,0.01911,-0.0289,0.8864,1.0000
4.500,0.5639,0.02794,0.01946,-0.0349,0.8424,1.0000
4.750,0.6414,0.02252,0.01480,-0.0287,0.7463,1.0000
5.000,0.6551,0.02033,0.01286,-0.0190,0.6451,1.0000
5.250,0.6425,0.02232,0.01209,-0.0073,0.2616,1.0000
5.500,0.6554,0.02523,0.01408,-0.0047,0.1788,1.0000
5.750,0.6796,0.02741,0.01600,-0.0034,0.1444,1.0000
6.000,0.7111,0.02994,0.01841,-0.0028,0.1271,1.0000
6.250,0.7412,0.03253,0.02116,-0.0022,0.1172,1.0000
6.500,0.7658,0.03513,0.02415,-0.0011,0.1080,1.0000
6.750,0.7907,0.03825,0.02759,-0.0001,0.1047,1.0000
7.000,0.8122,0.04177,0.03172,0.0013,0.1046,1.0000
7.250,0.8290,0.04572,0.03639,0.0030,0.1071,1.0000
7.500,0.8417,0.04988,0.04114,0.0046,0.1088,1.0000
7.750,0.8508,0.05420,0.04596,0.0059,0.1100,1.0000
8.000,0.8577,0.05883,0.05098,0.0070,0.1120,1.0000
8.250,0.8582,0.06398,0.05666,0.0078,0.1190,1.0000
8.500,0.8623,0.07007,0.06303,0.0078,0.1298,1.0000
8.750,0.8364,0.07707,0.07049,0.0056,0.1452,1.0000
9.000,0.7152,0.07232,0.06611,0.0119,0.1467,1.0000
