Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-giiik-il-200000
Airfoil,giiik-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,58.0302
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-giiik-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.5550,0.08786,0.08427,-0.0080,1.0000,0.0425
-8.250,-0.5556,0.08344,0.07989,-0.0118,1.0000,0.0434
-8.000,-0.5577,0.07868,0.07512,-0.0165,1.0000,0.0442
-7.750,-0.5558,0.07401,0.07039,-0.0204,1.0000,0.0456
-7.500,-0.5535,0.06944,0.06552,-0.0260,1.0000,0.0482
-7.250,-0.5500,0.06697,0.06264,-0.0270,1.0000,0.0488
-7.000,-0.5459,0.05980,0.05550,-0.0276,1.0000,0.0497
-6.750,-0.5340,0.05610,0.05187,-0.0273,1.0000,0.0506
-6.500,-0.5218,0.05322,0.04897,-0.0268,1.0000,0.0517
-6.250,-0.5093,0.05049,0.04617,-0.0262,1.0000,0.0533
-6.000,-0.4965,0.04779,0.04334,-0.0254,1.0000,0.0558
-5.750,-0.4799,0.04885,0.04365,-0.0228,1.0000,0.0609
-5.500,-0.4743,0.04197,0.03685,-0.0222,1.0000,0.0626
-5.250,-0.4610,0.03940,0.03433,-0.0209,1.0000,0.0643
-5.000,-0.4477,0.03744,0.03231,-0.0193,1.0000,0.0670
-4.750,-0.4297,0.03992,0.03411,-0.0158,1.0000,0.0747
-4.500,-0.4220,0.03343,0.02783,-0.0153,1.0000,0.0779
-4.250,-0.4074,0.03187,0.02628,-0.0137,1.0000,0.0828
-4.000,-0.3932,0.03020,0.02432,-0.0119,1.0000,0.0927
-3.750,-0.3768,0.02867,0.02278,-0.0105,1.0000,0.0982
-3.500,-0.3606,0.02708,0.02104,-0.0092,1.0000,0.1098
-3.250,-0.3404,0.02568,0.01952,-0.0087,0.9994,0.1248
-3.000,-0.2888,0.02222,0.01477,-0.0077,0.9964,0.0615
-2.750,-0.2501,0.01993,0.01234,-0.0098,0.9931,0.0596
-2.500,-0.2116,0.01797,0.01021,-0.0116,0.9890,0.0578
-2.250,-0.1707,0.01672,0.00883,-0.0139,0.9851,0.0582
-2.000,-0.1314,0.01627,0.00825,-0.0160,0.9789,0.0609
-1.750,-0.0929,0.01471,0.00675,-0.0181,0.9744,0.0630
-1.500,-0.0531,0.01390,0.00605,-0.0207,0.9691,0.0677
-1.250,-0.0150,0.01332,0.00550,-0.0228,0.9618,0.0722
-1.000,0.0279,0.01263,0.00485,-0.0259,0.9573,0.0779
-0.750,0.0622,0.01223,0.00447,-0.0271,0.9475,0.0889
-0.500,0.0908,0.01022,0.00398,-0.0281,0.9395,0.4909
-0.250,0.1150,0.00932,0.00459,-0.0235,0.9332,0.9467
0.000,0.2033,0.00935,0.00450,-0.0345,0.9353,0.9897
0.250,0.2579,0.00915,0.00422,-0.0397,0.9251,1.0000
0.500,0.2810,0.00904,0.00406,-0.0385,0.9048,1.0000
0.750,0.3027,0.00895,0.00391,-0.0370,0.8846,1.0000
1.000,0.3240,0.00886,0.00374,-0.0352,0.8642,1.0000
1.250,0.3451,0.00882,0.00363,-0.0336,0.8409,1.0000
1.500,0.3669,0.00879,0.00351,-0.0320,0.8188,1.0000
1.750,0.3894,0.00879,0.00345,-0.0307,0.7954,1.0000
2.000,0.4121,0.00882,0.00337,-0.0293,0.7714,1.0000
2.250,0.4346,0.00887,0.00331,-0.0279,0.7418,1.0000
2.500,0.4572,0.00895,0.00327,-0.0265,0.7100,1.0000
2.750,0.4804,0.00907,0.00328,-0.0254,0.6788,1.0000
3.000,0.5036,0.00921,0.00331,-0.0242,0.6462,1.0000
3.250,0.5267,0.00938,0.00337,-0.0231,0.6111,1.0000
3.500,0.5494,0.00961,0.00345,-0.0219,0.5741,1.0000
3.750,0.5719,0.00989,0.00356,-0.0208,0.5338,1.0000
4.000,0.5939,0.01024,0.00371,-0.0196,0.4905,1.0000
4.250,0.6157,0.01061,0.00392,-0.0184,0.4431,1.0000
4.500,0.6372,0.01104,0.00413,-0.0172,0.3833,1.0000
4.750,0.6572,0.01168,0.00440,-0.0160,0.3062,1.0000
5.000,0.6765,0.01252,0.00483,-0.0147,0.2287,1.0000
5.250,0.6962,0.01343,0.00540,-0.0136,0.1702,1.0000
5.500,0.7168,0.01429,0.00602,-0.0126,0.1362,1.0000
5.750,0.7381,0.01509,0.00669,-0.0116,0.1158,1.0000
6.000,0.7597,0.01589,0.00742,-0.0106,0.1021,1.0000
