Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe422-il-500000
Airfoil,goe422-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,97.3608
Max Cl/Cd alpha,3
Url,http://airfoiltools.com/polar/csv?polar=xf-goe422-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,0.0001,0.10300,0.10028,-0.1019,0.9070,0.0403
-10.750,0.0057,0.10045,0.09770,-0.1024,0.8938,0.0411
-10.500,-0.0191,0.09264,0.08982,-0.1089,0.8788,0.0434
-10.250,-0.0081,0.09067,0.08780,-0.1083,0.8674,0.0436
-10.000,0.0029,0.08881,0.08586,-0.1080,0.8572,0.0438
-9.750,0.0140,0.08688,0.08388,-0.1082,0.8476,0.0441
-9.500,0.0239,0.08478,0.08171,-0.1087,0.8395,0.0445
-9.250,0.0328,0.08245,0.07934,-0.1096,0.8316,0.0451
-9.000,0.0012,0.07185,0.06869,-0.1211,0.8231,0.0484
-8.750,0.0130,0.07011,0.06694,-0.1206,0.8170,0.0487
-8.500,0.0247,0.06837,0.06517,-0.1208,0.8109,0.0489
-8.250,-0.1323,0.02472,0.01939,-0.1510,0.8004,0.0385
-8.000,-0.1130,0.02306,0.01745,-0.1506,0.7951,0.0386
-7.750,-0.0922,0.02151,0.01562,-0.1502,0.7904,0.0387
-7.500,-0.0697,0.02001,0.01390,-0.1500,0.7856,0.0390
-7.250,-0.0460,0.01900,0.01282,-0.1496,0.7810,0.0394
-7.000,-0.0208,0.01835,0.01212,-0.1494,0.7761,0.0398
-6.750,0.0052,0.01780,0.01149,-0.1492,0.7716,0.0404
-6.500,0.0318,0.01723,0.01079,-0.1491,0.7671,0.0409
-6.250,0.0573,0.01658,0.01006,-0.1488,0.7626,0.0413
-6.000,0.0834,0.01598,0.00936,-0.1485,0.7576,0.0418
-5.750,0.1099,0.01545,0.00872,-0.1482,0.7530,0.0422
-5.500,0.1373,0.01501,0.00815,-0.1481,0.7485,0.0427
-5.250,0.1640,0.01463,0.00770,-0.1479,0.7438,0.0432
-5.000,0.1898,0.01400,0.00705,-0.1475,0.7386,0.0438
-4.750,0.2163,0.01358,0.00662,-0.1473,0.7334,0.0446
-4.500,0.2438,0.01330,0.00628,-0.1471,0.7277,0.0455
-4.250,0.2697,0.01298,0.00597,-0.1467,0.7208,0.0465
-4.000,0.2964,0.01272,0.00564,-0.1463,0.7137,0.0477
-3.750,0.3231,0.01241,0.00528,-0.1460,0.7075,0.0490
-3.500,0.3493,0.01212,0.00504,-0.1457,0.7013,0.0505
-3.250,0.3763,0.01191,0.00480,-0.1454,0.6954,0.0522
-3.000,0.4036,0.01174,0.00455,-0.1452,0.6896,0.0542
-2.750,0.4298,0.01149,0.00436,-0.1449,0.6830,0.0569
-2.500,0.4567,0.01132,0.00415,-0.1446,0.6764,0.0607
-2.250,0.4838,0.01120,0.00401,-0.1444,0.6703,0.0664
-2.000,0.5104,0.01104,0.00394,-0.1441,0.6634,0.0759
-1.750,0.5375,0.01099,0.00390,-0.1438,0.6565,0.0880
-1.500,0.5644,0.01095,0.00386,-0.1436,0.6496,0.0988
-1.250,0.5908,0.01087,0.00378,-0.1433,0.6418,0.1077
-1.000,0.6172,0.01085,0.00370,-0.1430,0.6344,0.1158
-0.750,0.6435,0.01076,0.00366,-0.1427,0.6263,0.1246
-0.500,0.6695,0.01071,0.00359,-0.1423,0.6187,0.1347
-0.250,0.6956,0.01065,0.00357,-0.1420,0.6110,0.1489
0.000,0.7210,0.01051,0.00357,-0.1416,0.6029,0.1952
0.250,0.7458,0.01028,0.00364,-0.1412,0.5953,0.3065
0.750,0.7907,0.00948,0.00387,-0.1395,0.5788,0.6716
1.000,0.8119,0.00936,0.00402,-0.1379,0.5694,0.7995
1.250,0.8325,0.00932,0.00410,-0.1362,0.5600,0.8605
1.500,0.8794,0.00936,0.00422,-0.1400,0.5482,1.0000
1.750,0.9021,0.00952,0.00429,-0.1390,0.5394,1.0000
2.000,0.9245,0.00969,0.00437,-0.1380,0.5301,1.0000
2.250,0.9473,0.00986,0.00447,-0.1370,0.5218,1.0000
2.500,0.9699,0.01003,0.00457,-0.1361,0.5129,1.0000
2.750,0.9921,0.01024,0.00470,-0.1350,0.5047,1.0000
3.000,1.0145,0.01042,0.00483,-0.1340,0.4957,1.0000
