Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hs1430-il-1000000
Airfoil,hs1430-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,29.1573
Max Cl/Cd alpha,10.25
Url,http://airfoiltools.com/polar/csv?polar=xf-hs1430-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.1461,0.05031,0.04522,-0.1368,0.9781,0.1062
-19.500,-1.1404,0.04806,0.04293,-0.1373,0.9770,0.1074
-19.250,-1.1325,0.04609,0.04091,-0.1378,0.9759,0.1086
-19.000,-1.1230,0.04449,0.03927,-0.1378,0.9747,0.1098
-18.750,-1.1151,0.04288,0.03760,-0.1375,0.9728,0.1107
-18.500,-1.1035,0.04152,0.03619,-0.1374,0.9709,0.1117
-18.250,-1.1019,0.03937,0.03402,-0.1369,0.9692,0.1133
-18.000,-1.0931,0.03779,0.03242,-0.1366,0.9676,0.1148
-17.750,-1.0822,0.03636,0.03097,-0.1363,0.9660,0.1161
-17.500,-1.0705,0.03503,0.02959,-0.1360,0.9644,0.1174
-17.250,-1.0554,0.03393,0.02845,-0.1357,0.9621,0.1186
-17.000,-1.0414,0.03293,0.02741,-0.1352,0.9596,0.1197
-16.750,-1.0279,0.03190,0.02633,-0.1346,0.9564,0.1206
-16.500,-1.0189,0.03056,0.02498,-0.1337,0.9538,0.1225
-16.250,-1.0073,0.02938,0.02378,-0.1329,0.9511,0.1241
-16.000,-0.9919,0.02842,0.02280,-0.1323,0.9486,0.1256
-15.750,-0.9757,0.02762,0.02198,-0.1318,0.9461,0.1271
-15.500,-0.9592,0.02684,0.02116,-0.1312,0.9432,0.1284
-15.250,-0.9406,0.02617,0.02046,-0.1308,0.9404,0.1295
-15.000,-0.9249,0.02533,0.01959,-0.1301,0.9379,0.1310
-14.750,-0.9106,0.02444,0.01868,-0.1292,0.9353,0.1327
-14.500,-0.8936,0.02379,0.01804,-0.1284,0.9316,0.1343
-14.250,-0.8753,0.02320,0.01743,-0.1278,0.9275,0.1359
-14.000,-0.8560,0.02262,0.01682,-0.1272,0.9237,0.1374
-13.750,-0.8350,0.02214,0.01630,-0.1268,0.9196,0.1388
-13.500,-0.8128,0.02171,0.01582,-0.1266,0.9164,0.1398
-13.250,-0.7966,0.02101,0.01508,-0.1255,0.9131,0.1415
-13.000,-0.7794,0.02046,0.01455,-0.1245,0.9085,0.1432
-12.750,-0.7598,0.02000,0.01408,-0.1237,0.9012,0.1447
-12.500,-0.7397,0.01960,0.01366,-0.1230,0.8883,0.1462
-12.250,-0.7194,0.01921,0.01317,-0.1221,0.8690,0.1477
-12.000,-0.7010,0.01898,0.01273,-0.1207,0.8277,0.1489
-11.750,-0.6856,0.01898,0.01243,-0.1187,0.7745,0.1499
-11.500,-0.6681,0.01890,0.01217,-0.1171,0.7429,0.1506
-11.250,-0.6575,0.01848,0.01164,-0.1145,0.7173,0.1526
-11.000,-0.6422,0.01818,0.01126,-0.1127,0.6978,0.1544
-10.750,-0.6247,0.01791,0.01092,-0.1112,0.6826,0.1559
-10.500,-0.6076,0.01770,0.01063,-0.1095,0.6672,0.1574
-10.250,-0.5905,0.01751,0.01034,-0.1078,0.6480,0.1587
-10.000,-0.5717,0.01733,0.01009,-0.1064,0.6346,0.1600
-9.750,-0.5529,0.01720,0.00987,-0.1049,0.6187,0.1611
-9.500,-0.5351,0.01707,0.00964,-0.1032,0.6015,0.1621
-9.250,-0.5242,0.01681,0.00931,-0.1002,0.5807,0.1643
-9.000,-0.5351,0.01759,0.00936,-0.0927,0.4054,0.1655
-8.750,-0.5387,0.01809,0.00936,-0.0866,0.2633,0.1668
