Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hs1606-il-100000
Airfoil,hs1606-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,68.4695
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-hs1606-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.3567,0.10276,0.09798,-0.0301,1.0000,0.0669
-7.750,-0.3710,0.10245,0.09781,-0.0288,1.0000,0.0675
-7.500,-0.3826,0.10198,0.09746,-0.0293,1.0000,0.0678
-7.250,-0.3904,0.10113,0.09670,-0.0310,1.0000,0.0681
-7.000,-0.3928,0.09969,0.09530,-0.0339,1.0000,0.0683
-6.750,-0.3863,0.09264,0.08830,-0.0214,1.0000,0.0719
-6.500,-0.3891,0.09066,0.08637,-0.0199,1.0000,0.0740
-6.250,-0.3910,0.08861,0.08436,-0.0197,1.0000,0.0764
-6.000,-0.3892,0.08652,0.08232,-0.0224,1.0000,0.0796
-5.750,-0.3664,0.08438,0.08008,-0.0379,1.0000,0.0817
-5.500,-0.3725,0.07990,0.07571,-0.0301,1.0000,0.0830
-5.250,-0.3683,0.07686,0.07270,-0.0275,1.0000,0.0848
-5.000,-0.3578,0.07387,0.06971,-0.0281,1.0000,0.0878
-4.750,-0.3118,0.06942,0.06501,-0.0447,1.0000,0.0955
-4.500,-0.3075,0.06563,0.06130,-0.0414,1.0000,0.0967
-4.250,-0.2948,0.06253,0.05821,-0.0407,1.0000,0.0993
-3.750,-0.2299,0.05428,0.04963,-0.0525,1.0000,0.1108
-3.500,-0.1600,0.04243,0.03718,-0.0665,1.0000,0.0606
-3.250,-0.0727,0.02911,0.02228,-0.0818,1.0000,0.0470
-3.000,-0.0259,0.02500,0.01722,-0.0858,1.0000,0.0479
-2.750,0.0117,0.02297,0.01459,-0.0875,1.0000,0.0535
-2.500,0.0438,0.02199,0.01353,-0.0886,1.0000,0.0748
-2.250,0.0589,0.02373,0.01558,-0.0868,1.0000,0.1387
-2.000,0.0820,0.02411,0.01575,-0.0863,1.0000,0.1635
-1.750,0.1084,0.02382,0.01527,-0.0865,1.0000,0.1781
-1.500,0.1356,0.02345,0.01474,-0.0869,1.0000,0.1905
-1.250,0.1630,0.02316,0.01429,-0.0873,1.0000,0.2045
-1.000,0.1893,0.02298,0.01409,-0.0876,1.0000,0.2224
-0.750,0.2161,0.02280,0.01386,-0.0880,1.0000,0.2403
-0.500,0.2485,0.02268,0.01368,-0.0895,0.9983,0.2638
-0.250,0.2926,0.02255,0.01358,-0.0932,0.9945,0.2926
0.000,0.3315,0.02241,0.01355,-0.0960,0.9890,0.3220
0.250,0.3776,0.02235,0.01358,-0.1000,0.9842,0.3603
0.500,0.4232,0.02202,0.01363,-0.1040,0.9755,0.4316
0.750,0.4631,0.02093,0.01355,-0.1060,0.9647,1.0000
1.000,0.5120,0.02114,0.01356,-0.1101,0.9544,1.0000
1.250,0.5516,0.02136,0.01368,-0.1125,0.9448,1.0000
1.500,0.5866,0.02161,0.01388,-0.1141,0.9347,1.0000
1.750,0.6259,0.02177,0.01403,-0.1164,0.9255,1.0000
2.000,0.6704,0.02178,0.01409,-0.1195,0.9172,1.0000
2.250,0.7052,0.02185,0.01420,-0.1207,0.9059,1.0000
2.500,0.7413,0.02182,0.01424,-0.1220,0.8943,1.0000
2.750,0.7803,0.02164,0.01416,-0.1235,0.8829,1.0000
3.000,0.8244,0.02120,0.01391,-0.1257,0.8729,1.0000
3.250,0.8679,0.02055,0.01341,-0.1274,0.8626,1.0000
3.500,0.9031,0.02001,0.01303,-0.1274,0.8490,1.0000
3.750,0.9377,0.01938,0.01262,-0.1271,0.8347,1.0000
4.000,0.9646,0.01887,0.01228,-0.1253,0.8143,1.0000
4.250,0.9955,0.01760,0.01115,-0.1229,0.7873,1.0000
4.500,1.0210,0.01643,0.01004,-0.1195,0.7477,1.0000
4.750,1.0424,0.01581,0.00949,-0.1163,0.6930,1.0000
5.000,1.0647,0.01555,0.00906,-0.1134,0.6149,1.0000
5.250,1.0827,0.01616,0.00901,-0.1102,0.5059,1.0000
5.500,1.0939,0.01754,0.00969,-0.1067,0.3846,1.0000
5.750,1.0926,0.02060,0.01112,-0.1020,0.1604,1.0000
6.000,1.1032,0.02287,0.01284,-0.0991,0.1149,1.0000
6.250,1.1189,0.02444,0.01437,-0.0970,0.0986,1.0000
6.500,1.1344,0.02622,0.01608,-0.0949,0.0888,1.0000
6.750,1.1561,0.02775,0.01773,-0.0935,0.0830,1.0000
7.000,1.1807,0.02978,0.01968,-0.0927,0.0781,1.0000
7.250,1.2101,0.03232,0.02230,-0.0925,0.0744,1.0000
7.500,1.2348,0.03414,0.02436,-0.0917,0.0690,1.0000
7.750,1.2620,0.03682,0.02723,-0.0912,0.0663,1.0000
8.000,1.2883,0.04046,0.03112,-0.0907,0.0647,1.0000
8.250,1.3084,0.04530,0.03645,-0.0894,0.0633,1.0000
8.500,1.3188,0.04726,0.03913,-0.0861,0.0607,1.0000
8.750,1.3292,0.05157,0.04402,-0.0832,0.0606,1.0000
9.000,1.3340,0.05615,0.04917,-0.0799,0.0606,1.0000
9.250,1.3323,0.06020,0.05376,-0.0762,0.0590,1.0000
9.500,1.3265,0.06475,0.05879,-0.0725,0.0586,1.0000
9.750,1.3185,0.07037,0.06475,-0.0693,0.0608,1.0000
10.000,1.2166,0.06560,0.06044,-0.0533,0.0608,1.0000
10.250,1.1967,0.07006,0.06508,-0.0494,0.0616,1.0000
10.500,1.1413,0.07539,0.07093,-0.0441,0.0710,1.0000
10.750,1.1145,0.08083,0.07651,-0.0425,0.0731,1.0000
11.000,1.0925,0.08648,0.08226,-0.0417,0.0744,1.0000
11.250,1.0831,0.09292,0.08874,-0.0414,0.0755,1.0000
11.500,0.9961,0.10149,0.09758,-0.0473,0.0800,1.0000
