Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-kc135d-il-50000
Airfoil,kc135d-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,36.2395
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-kc135d-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.4739,0.10955,0.10273,-0.0184,1.0000,0.1872
-9.000,-0.4663,0.10577,0.09899,-0.0178,1.0000,0.2006
-8.750,-0.4657,0.10269,0.09598,-0.0178,1.0000,0.2151
-8.500,-0.4544,0.09873,0.09207,-0.0160,1.0000,0.2364
-8.250,-0.4562,0.09616,0.08958,-0.0154,1.0000,0.2564
-8.000,-0.4476,0.09290,0.08634,-0.0134,1.0000,0.2823
-7.750,-0.4423,0.09007,0.08357,-0.0114,1.0000,0.3109
-7.500,-0.4452,0.08794,0.08154,-0.0091,1.0000,0.3426
-7.250,-0.4213,0.08479,0.07838,-0.0044,1.0000,0.3973
-7.000,-0.3950,0.08191,0.07549,0.0009,1.0000,0.4678
-6.750,-0.3640,0.07900,0.07254,0.0062,1.0000,0.5538
-6.500,-0.3057,0.07376,0.06717,0.0086,1.0000,0.6618
-6.250,-0.2629,0.06899,0.06234,0.0083,1.0000,0.7456
-5.000,-0.2876,0.05816,0.05206,0.0133,1.0000,0.7018
-3.750,-0.4223,0.03933,0.03204,-0.0160,1.0000,0.2852
-3.500,-0.3870,0.03672,0.02851,-0.0175,1.0000,0.2244
-3.250,-0.3562,0.03507,0.02599,-0.0169,1.0000,0.1850
-3.000,-0.3284,0.03383,0.02398,-0.0156,1.0000,0.1589
-2.750,-0.3031,0.03219,0.02188,-0.0143,1.0000,0.1443
-2.500,-0.2786,0.03028,0.01973,-0.0132,1.0000,0.1357
-2.250,-0.2542,0.02944,0.01836,-0.0118,1.0000,0.1315
-2.000,-0.2303,0.02795,0.01674,-0.0109,1.0000,0.1330
-1.750,-0.2060,0.02712,0.01562,-0.0096,1.0000,0.1312
-1.500,-0.1811,0.02616,0.01453,-0.0085,1.0000,0.1310
-1.250,-0.1569,0.02517,0.01353,-0.0075,1.0000,0.1332
-1.000,-0.1357,0.02451,0.01281,-0.0064,1.0000,0.1417
-0.750,-0.1153,0.02391,0.01215,-0.0053,1.0000,0.1513
-0.500,-0.0941,0.02344,0.01158,-0.0044,1.0000,0.1627
-0.250,-0.0715,0.02288,0.01106,-0.0040,1.0000,0.1901
0.000,-0.0281,0.02025,0.01101,-0.0055,1.0000,1.0000
0.250,-0.0097,0.02061,0.01087,-0.0043,1.0000,1.0000
0.500,0.0084,0.02100,0.01091,-0.0034,1.0000,1.0000
0.750,0.0265,0.02142,0.01106,-0.0027,1.0000,1.0000
1.000,0.0445,0.02188,0.01128,-0.0021,1.0000,1.0000
1.250,0.0625,0.02237,0.01159,-0.0015,1.0000,1.0000
1.500,0.0805,0.02289,0.01197,-0.0010,1.0000,1.0000
1.750,0.0984,0.02346,0.01242,-0.0006,1.0000,1.0000
2.000,0.1162,0.02406,0.01292,-0.0002,1.0000,1.0000
2.250,0.1339,0.02471,0.01349,0.0001,1.0000,1.0000
2.500,0.1513,0.02541,0.01414,0.0004,1.0000,1.0000
2.750,0.1952,0.02677,0.01549,-0.0047,0.9873,1.0000
3.000,0.2536,0.02834,0.01710,-0.0121,0.9650,1.0000
3.250,0.3152,0.02977,0.01862,-0.0196,0.9414,1.0000
3.500,0.3629,0.03068,0.01965,-0.0241,0.9168,1.0000
3.750,0.4120,0.03147,0.02064,-0.0284,0.8917,1.0000
4.000,0.4631,0.03209,0.02147,-0.0326,0.8668,1.0000
4.250,0.5189,0.03241,0.02207,-0.0369,0.8411,1.0000
4.500,0.5752,0.03229,0.02234,-0.0406,0.8133,1.0000
4.750,0.6280,0.03176,0.02220,-0.0429,0.7821,1.0000
5.000,0.6838,0.03053,0.02145,-0.0442,0.7488,1.0000
5.250,0.7388,0.02863,0.02000,-0.0440,0.7122,1.0000
5.500,0.7806,0.02687,0.01857,-0.0417,0.6675,1.0000
5.750,0.8188,0.02515,0.01708,-0.0387,0.6155,1.0000
6.000,0.8448,0.02437,0.01630,-0.0351,0.5573,1.0000
6.250,0.8625,0.02380,0.01545,-0.0305,0.4903,1.0000
6.500,0.8698,0.02412,0.01531,-0.0256,0.4147,1.0000
6.750,0.8755,0.02533,0.01604,-0.0214,0.3391,1.0000
7.000,0.8740,0.02785,0.01771,-0.0167,0.2372,1.0000
7.250,0.8867,0.03089,0.02020,-0.0138,0.1638,1.0000
7.500,0.9085,0.03312,0.02225,-0.0124,0.1335,1.0000
7.750,0.9388,0.03588,0.02499,-0.0121,0.1180,1.0000
8.000,0.9619,0.03849,0.02781,-0.0111,0.1062,1.0000
8.250,0.9853,0.04199,0.03161,-0.0102,0.1008,1.0000
8.500,1.0019,0.04572,0.03593,-0.0085,0.0987,1.0000
8.750,1.0126,0.04953,0.04031,-0.0064,0.0968,1.0000
9.000,1.0199,0.05318,0.04439,-0.0044,0.0946,1.0000
9.250,1.0347,0.05686,0.04810,-0.0035,0.0911,1.0000
9.500,1.0254,0.06104,0.05294,-0.0005,0.0923,1.0000
9.750,1.0083,0.06577,0.05819,0.0023,0.0943,1.0000
10.000,0.9883,0.07049,0.06325,0.0044,0.0961,1.0000
10.250,0.9653,0.07486,0.06782,0.0063,0.0977,1.0000
10.500,0.9424,0.07947,0.07255,0.0071,0.0993,1.0000
10.750,0.9250,0.08460,0.07774,0.0066,0.1010,1.0000
11.000,0.9151,0.09003,0.08321,0.0056,0.1023,1.0000
11.250,0.8359,0.10643,0.09954,-0.0089,0.1194,1.0000
11.500,0.8561,0.10818,0.10133,-0.0053,0.1157,1.0000
