Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-l188tip-il-200000
Airfoil,l188tip-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,79.258
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-l188tip-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.4239,0.10388,0.10024,-0.0418,1.0000,0.0617
-9.750,-0.4361,0.10128,0.09769,-0.0410,1.0000,0.0634
-9.500,-0.4613,0.09788,0.09438,-0.0417,1.0000,0.0653
-9.250,-0.4155,0.09142,0.08828,-0.0361,1.0000,0.0678
-9.000,-0.4141,0.08949,0.08637,-0.0338,1.0000,0.0687
-8.750,-0.4069,0.08590,0.08278,-0.0349,0.9984,0.0703
-8.500,-0.4041,0.08096,0.07784,-0.0380,0.9960,0.0723
-8.250,-0.4106,0.07462,0.07150,-0.0429,0.9933,0.0745
-8.000,-0.5630,0.07384,0.07049,-0.0465,0.9947,0.0686
-7.750,-0.5460,0.07084,0.06747,-0.0484,0.9911,0.0704
-7.500,-0.5335,0.06570,0.06218,-0.0533,0.9861,0.0733
-7.250,-0.5676,0.04163,0.03633,-0.0600,0.9762,0.0485
-7.000,-0.5430,0.03726,0.03146,-0.0613,0.9732,0.0466
-6.750,-0.5177,0.03408,0.02761,-0.0621,0.9698,0.0474
-6.500,-0.4979,0.03078,0.02389,-0.0618,0.9650,0.0479
-6.250,-0.4692,0.02824,0.02110,-0.0629,0.9619,0.0488
-6.000,-0.4356,0.02674,0.01944,-0.0646,0.9595,0.0504
-5.750,-0.3990,0.02565,0.01816,-0.0667,0.9576,0.0533
-5.500,-0.3770,0.02470,0.01692,-0.0656,0.9517,0.0554
-5.250,-0.3461,0.02311,0.01516,-0.0665,0.9484,0.0577
-5.000,-0.3114,0.02229,0.01434,-0.0682,0.9456,0.0612
-4.750,-0.2734,0.02173,0.01361,-0.0702,0.9435,0.0659
-4.500,-0.2421,0.02066,0.01259,-0.0712,0.9404,0.0705
-4.250,-0.2190,0.02028,0.01218,-0.0704,0.9340,0.0760
-4.000,-0.1853,0.01949,0.01144,-0.0718,0.9308,0.0831
-3.750,-0.1482,0.01891,0.01085,-0.0738,0.9286,0.0932
-3.500,-0.1092,0.01833,0.01033,-0.0763,0.9269,0.1072
-3.250,-0.0928,0.01807,0.01011,-0.0742,0.9186,0.1206
-3.000,-0.0592,0.01747,0.00967,-0.0756,0.9152,0.1499
-2.750,-0.0229,0.01660,0.00925,-0.0779,0.9130,0.2296
-2.500,0.0093,0.01506,0.00913,-0.0795,0.9114,0.5547
-2.250,0.0236,0.01501,0.00939,-0.0766,0.9030,0.6556
-2.000,0.0544,0.01493,0.00944,-0.0767,0.8992,0.7180
-1.750,0.0886,0.01483,0.00938,-0.0774,0.8968,0.7611
-1.500,0.1222,0.01470,0.00927,-0.0779,0.8947,0.7946
-1.250,0.1362,0.01482,0.00946,-0.0750,0.8854,0.8200
-1.000,0.1665,0.01466,0.00934,-0.0748,0.8821,0.8479
-0.750,0.1982,0.01448,0.00920,-0.0748,0.8797,0.8763
-0.500,0.2194,0.01461,0.00938,-0.0730,0.8727,0.9067
-0.250,0.2602,0.01463,0.00942,-0.0748,0.8695,0.9450
0.000,0.3180,0.01464,0.00940,-0.0804,0.8685,0.9725
0.250,0.3690,0.01452,0.00924,-0.0852,0.8666,0.9823
0.500,0.4204,0.01433,0.00901,-0.0901,0.8648,0.9888
0.750,0.4706,0.01411,0.00876,-0.0948,0.8631,0.9960
1.000,0.4878,0.01421,0.00886,-0.0937,0.8533,1.0000
