Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-lds2-il-50000
Airfoil,lds2-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,33.9879
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-lds2-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.3788,0.11221,0.10490,-0.0185,1.0000,0.3004
-9.500,-0.3817,0.10971,0.10248,-0.0185,1.0000,0.3119
-9.250,-0.3993,0.10924,0.10212,-0.0184,1.0000,0.3248
-9.000,-0.3803,0.10500,0.09789,-0.0174,1.0000,0.3397
-8.750,-0.2916,0.09527,0.08883,-0.0208,1.0000,0.3567
-8.500,-0.2661,0.09037,0.08391,-0.0204,1.0000,0.3652
-8.250,-0.2724,0.08762,0.08126,-0.0194,1.0000,0.3752
-8.000,-0.2884,0.08610,0.07987,-0.0177,1.0000,0.3881
-7.750,-0.2721,0.08151,0.07529,-0.0173,1.0000,0.3918
-7.500,-0.3452,0.08660,0.07985,-0.0123,1.0000,0.4109
-6.750,-0.5582,0.06345,0.05700,-0.0316,1.0000,0.1800
-6.500,-0.5694,0.05833,0.05160,-0.0308,1.0000,0.1620
-6.250,-0.5773,0.05366,0.04642,-0.0295,1.0000,0.1484
-6.000,-0.5757,0.04992,0.04234,-0.0277,1.0000,0.1423
-5.750,-0.5725,0.04673,0.03835,-0.0257,1.0000,0.1357
-5.500,-0.5618,0.04391,0.03526,-0.0240,1.0000,0.1346
-5.250,-0.5492,0.04127,0.03229,-0.0224,1.0000,0.1333
-5.000,-0.5342,0.03886,0.02952,-0.0208,1.0000,0.1316
-4.750,-0.5171,0.03661,0.02688,-0.0193,1.0000,0.1307
-4.500,-0.4986,0.03480,0.02466,-0.0179,1.0000,0.1323
-4.250,-0.4792,0.03334,0.02276,-0.0165,1.0000,0.1355
-4.000,-0.4586,0.03171,0.02094,-0.0153,1.0000,0.1389
-3.750,-0.4373,0.03032,0.01949,-0.0142,1.0000,0.1433
-3.500,-0.4162,0.02931,0.01828,-0.0129,1.0000,0.1512
-3.250,-0.3956,0.02816,0.01724,-0.0117,1.0000,0.1613
-3.000,-0.3746,0.02716,0.01628,-0.0104,1.0000,0.1755
-2.750,-0.3531,0.02618,0.01537,-0.0094,1.0000,0.2000
-2.500,-0.3336,0.02464,0.01445,-0.0084,1.0000,0.2628
-2.250,-0.3374,0.02257,0.01498,0.0004,1.0000,0.6993
-2.000,-0.1313,0.02606,0.01804,-0.0205,1.0000,1.0000
-1.750,-0.1576,0.02504,0.01702,-0.0157,1.0000,1.0000
-1.500,-0.1792,0.02409,0.01598,-0.0110,1.0000,1.0000
-1.250,-0.1802,0.02377,0.01540,-0.0086,1.0000,1.0000
-1.000,-0.1712,0.02382,0.01517,-0.0071,1.0000,1.0000
-0.750,-0.1584,0.02403,0.01510,-0.0061,1.0000,1.0000
-0.500,-0.1438,0.02434,0.01517,-0.0052,1.0000,1.0000
-0.250,-0.1282,0.02471,0.01532,-0.0044,1.0000,1.0000
0.000,-0.1120,0.02514,0.01555,-0.0038,1.0000,1.0000
0.250,-0.0955,0.02561,0.01583,-0.0032,1.0000,1.0000
0.500,-0.0787,0.02613,0.01619,-0.0026,1.0000,1.0000
0.750,-0.0456,0.02717,0.01705,-0.0052,0.9941,1.0000
1.000,-0.0077,0.02834,0.01806,-0.0087,0.9850,1.0000
1.250,0.0255,0.02935,0.01896,-0.0113,0.9761,1.0000
1.500,0.0576,0.03038,0.01989,-0.0137,0.9667,1.0000
1.750,0.0910,0.03150,0.02092,-0.0162,0.9570,1.0000
2.000,0.1297,0.03281,0.02215,-0.0196,0.9461,1.0000
2.250,0.1613,0.03380,0.02311,-0.0217,0.9331,1.0000
