Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-lwk80100-il-200000
Airfoil,lwk80100-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,43.9981
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-lwk80100-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.6531,0.08752,0.08408,-0.0210,1.0000,0.0579
-10.000,-0.6732,0.07911,0.07568,-0.0286,1.0000,0.0576
-9.750,-0.6939,0.07334,0.06985,-0.0320,1.0000,0.0580
-9.500,-0.7153,0.06881,0.06525,-0.0329,1.0000,0.0581
-9.250,-0.7075,0.04239,0.03846,-0.0340,1.0000,0.0399
-9.000,-0.7211,0.03720,0.03315,-0.0317,1.0000,0.0382
-8.750,-0.8180,0.04242,0.03702,-0.0215,1.0000,0.0315
-8.500,-0.8068,0.04054,0.03482,-0.0192,1.0000,0.0308
-8.250,-0.7973,0.03744,0.03141,-0.0170,1.0000,0.0304
-8.000,-0.7908,0.03400,0.02756,-0.0142,1.0000,0.0307
-7.750,-0.7827,0.02967,0.02281,-0.0118,1.0000,0.0314
-7.500,-0.7678,0.02792,0.02101,-0.0104,1.0000,0.0338
-7.250,-0.7517,0.02628,0.01919,-0.0085,1.0000,0.0352
-7.000,-0.7363,0.02456,0.01726,-0.0063,1.0000,0.0368
-6.750,-0.7243,0.02317,0.01566,-0.0034,1.0000,0.0386
-6.500,-0.7146,0.02223,0.01451,-0.0001,1.0000,0.0403
-6.250,-0.7030,0.02052,0.01267,0.0026,1.0000,0.0432
-6.000,-0.6921,0.01994,0.01212,0.0052,1.0000,0.0474
-5.750,-0.6783,0.01937,0.01141,0.0076,1.0000,0.0521
-5.500,-0.6529,0.01803,0.01010,0.0075,0.9978,0.0585
-5.250,-0.6209,0.01717,0.00916,0.0062,0.9938,0.0677
-5.000,-0.5881,0.01643,0.00839,0.0047,0.9902,0.0788
-4.750,-0.5588,0.01558,0.00757,0.0039,0.9859,0.0930
-4.500,-0.5294,0.01466,0.00681,0.0028,0.9820,0.1161
-4.250,-0.5036,0.01375,0.00617,0.0025,0.9772,0.1609
-4.000,-0.4833,0.01224,0.00556,0.0027,0.9720,0.3254
-3.750,-0.4738,0.01079,0.00541,0.0057,0.9662,0.5863
-3.500,-0.4501,0.01083,0.00580,0.0073,0.9615,0.7035
-3.250,-0.4182,0.01109,0.00605,0.0070,0.9583,0.7498
-3.000,-0.3831,0.01135,0.00626,0.0060,0.9561,0.7759
-2.750,-0.3626,0.01160,0.00644,0.0079,0.9503,0.7954
-2.500,-0.3325,0.01185,0.00663,0.0079,0.9468,0.8138
-2.250,-0.2981,0.01204,0.00678,0.0070,0.9444,0.8283
-2.000,-0.2620,0.01228,0.00696,0.0059,0.9426,0.8431
-1.750,-0.2381,0.01254,0.00722,0.0074,0.9381,0.8585
-1.500,-0.2097,0.01279,0.00746,0.0081,0.9345,0.8733
-1.250,-0.1771,0.01295,0.00760,0.0076,0.9317,0.8857
-1.000,-0.1357,0.01310,0.00771,0.0053,0.9300,0.8934
-0.750,-0.0983,0.01311,0.00769,0.0034,0.9278,0.9003
-0.500,-0.0685,0.01321,0.00778,0.0029,0.9231,0.9059
-0.250,-0.0442,0.01318,0.00772,0.0034,0.9178,0.9133
0.000,0.0000,0.01318,0.00772,0.0000,0.9155,0.9155
0.250,0.0442,0.01318,0.00772,-0.0034,0.9133,0.9178
0.500,0.0686,0.01321,0.00778,-0.0029,0.9059,0.9230
0.750,0.0984,0.01312,0.00769,-0.0034,0.9004,0.9278
1.000,0.1357,0.01309,0.00771,-0.0053,0.8933,0.9300
1.250,0.1776,0.01293,0.00757,-0.0076,0.8853,0.9315
1.500,0.2100,0.01278,0.00746,-0.0081,0.8732,0.9345
1.750,0.2382,0.01255,0.00723,-0.0074,0.8587,0.9382
2.000,0.2624,0.01227,0.00695,-0.0059,0.8429,0.9426
2.250,0.2982,0.01204,0.00676,-0.0070,0.8280,0.9444
2.500,0.3328,0.01184,0.00661,-0.0079,0.8134,0.9468
2.750,0.3628,0.01161,0.00644,-0.0079,0.7954,0.9503
3.000,0.3832,0.01136,0.00627,-0.0060,0.7764,0.9561
3.250,0.4185,0.01109,0.00606,-0.0070,0.7501,0.9583
3.500,0.4504,0.01084,0.00582,-0.0073,0.7059,0.9615
3.750,0.4743,0.01078,0.00543,-0.0058,0.5908,0.9661
4.000,0.4837,0.01221,0.00555,-0.0027,0.3297,0.9720
4.250,0.5040,0.01373,0.00616,-0.0025,0.1641,0.9772
4.500,0.5298,0.01462,0.00677,-0.0029,0.1190,0.9820
4.750,0.5601,0.01543,0.00747,-0.0040,0.0949,0.9857
5.000,0.5886,0.01638,0.00834,-0.0048,0.0797,0.9902
5.250,0.6212,0.01714,0.00914,-0.0063,0.0676,0.9939
5.500,0.6533,0.01796,0.01002,-0.0076,0.0579,0.9978
5.750,0.6783,0.01923,0.01130,-0.0075,0.0511,1.0000
