Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-m12-il-1000000
Airfoil,m12-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,98.7933
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-m12-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.500,-1.0633,0.04907,0.04644,-0.0536,1.0000,0.0183
-14.250,-1.0731,0.04494,0.04217,-0.0557,1.0000,0.0184
-14.000,-1.0774,0.04209,0.03921,-0.0562,1.0000,0.0185
-13.750,-1.0781,0.03996,0.03699,-0.0557,1.0000,0.0187
-13.500,-1.0779,0.03814,0.03507,-0.0545,1.0000,0.0188
-13.250,-1.0776,0.03650,0.03333,-0.0527,1.0000,0.0190
-13.000,-1.0753,0.03516,0.03188,-0.0505,1.0000,0.0192
-12.750,-1.0713,0.03402,0.03065,-0.0480,1.0000,0.0195
-12.500,-1.0633,0.03280,0.02932,-0.0461,1.0000,0.0198
-12.250,-1.0532,0.03157,0.02795,-0.0443,1.0000,0.0201
-12.000,-1.0417,0.03037,0.02660,-0.0426,1.0000,0.0205
-11.750,-1.0280,0.02935,0.02543,-0.0411,1.0000,0.0208
-11.500,-1.0119,0.02858,0.02453,-0.0397,1.0000,0.0210
-11.250,-1.0074,0.02595,0.02161,-0.0372,1.0000,0.0214
-11.000,-0.9932,0.02452,0.02009,-0.0357,1.0000,0.0218
-10.750,-0.9747,0.02384,0.01938,-0.0345,1.0000,0.0221
-10.500,-0.9557,0.02335,0.01885,-0.0332,1.0000,0.0224
-10.250,-0.9372,0.02287,0.01833,-0.0318,1.0000,0.0227
-10.000,-0.9193,0.02235,0.01776,-0.0302,1.0000,0.0231
-9.750,-0.9028,0.02169,0.01702,-0.0284,1.0000,0.0234
-9.500,-0.8878,0.02099,0.01624,-0.0262,1.0000,0.0238
-9.250,-0.8687,0.02027,0.01542,-0.0248,0.9995,0.0242
-9.000,-0.8372,0.01951,0.01455,-0.0260,0.9977,0.0246
-8.750,-0.8041,0.01908,0.01402,-0.0274,0.9958,0.0250
-8.500,-0.7720,0.01818,0.01299,-0.0288,0.9941,0.0255
-8.250,-0.7436,0.01648,0.01119,-0.0296,0.9913,0.0261
-8.000,-0.7115,0.01572,0.01041,-0.0309,0.9882,0.0265
-7.750,-0.6788,0.01511,0.00978,-0.0322,0.9848,0.0270
-7.500,-0.6479,0.01460,0.00924,-0.0331,0.9797,0.0275
-7.250,-0.6181,0.01414,0.00874,-0.0336,0.9728,0.0281
-7.000,-0.5902,0.01363,0.00818,-0.0337,0.9641,0.0285
-6.750,-0.5635,0.01316,0.00765,-0.0334,0.9543,0.0290
-6.500,-0.5386,0.01275,0.00719,-0.0328,0.9423,0.0294
-6.250,-0.5137,0.01240,0.00677,-0.0321,0.9301,0.0297
-6.000,-0.4885,0.01210,0.00640,-0.0314,0.9182,0.0300
-5.750,-0.4637,0.01173,0.00596,-0.0307,0.9065,0.0303
-5.500,-0.4407,0.01100,0.00516,-0.0298,0.8943,0.0312
-5.250,-0.4153,0.01063,0.00474,-0.0293,0.8828,0.0318
-5.000,-0.3895,0.01034,0.00440,-0.0288,0.8718,0.0324
-4.750,-0.3633,0.01009,0.00409,-0.0284,0.8604,0.0330
-4.500,-0.3366,0.00985,0.00381,-0.0281,0.8491,0.0337
-4.250,-0.3099,0.00964,0.00355,-0.0278,0.8381,0.0344
-3.750,-0.2556,0.00928,0.00309,-0.0274,0.8153,0.0357
-3.500,-0.2288,0.00904,0.00278,-0.0271,0.8042,0.0371
-3.250,-0.2018,0.00885,0.00256,-0.0269,0.7931,0.0390
-3.000,-0.1742,0.00870,0.00238,-0.0267,0.7818,0.0407
-2.750,-0.1465,0.00858,0.00222,-0.0266,0.7710,0.0425
-2.500,-0.1193,0.00841,0.00204,-0.0264,0.7603,0.0493
-2.250,-0.0925,0.00812,0.00189,-0.0262,0.7494,0.0817
-2.000,-0.0656,0.00789,0.00178,-0.0261,0.7389,0.1180
-1.500,-0.0111,0.00753,0.00160,-0.0259,0.7176,0.1872
-1.250,0.0149,0.00718,0.00150,-0.0257,0.7073,0.2698
-1.000,0.0401,0.00676,0.00141,-0.0253,0.6965,0.3780
-0.750,0.0641,0.00617,0.00132,-0.0248,0.6856,0.5284
0.000,0.1363,0.00522,0.00130,-0.0222,0.6510,0.8358
0.250,0.1626,0.00521,0.00134,-0.0216,0.6368,0.8716
0.500,0.1891,0.00525,0.00138,-0.0211,0.6212,0.8962
0.750,0.2156,0.00532,0.00143,-0.0205,0.6064,0.9154
1.000,0.2414,0.00541,0.00151,-0.0198,0.5936,0.9340
1.250,0.2671,0.00553,0.00159,-0.0190,0.5808,0.9485
1.500,0.2938,0.00564,0.00165,-0.0185,0.5676,0.9583
1.750,0.3217,0.00577,0.00174,-0.0183,0.5554,0.9672
2.000,0.3536,0.00591,0.00184,-0.0190,0.5431,0.9730
2.250,0.3909,0.00609,0.00196,-0.0210,0.5299,0.9778
2.500,0.4242,0.00626,0.00207,-0.0221,0.5178,0.9827
2.750,0.4609,0.00636,0.00213,-0.0241,0.5052,0.9835
3.000,0.4963,0.00647,0.00219,-0.0258,0.4928,0.9845
3.250,0.5312,0.00658,0.00226,-0.0275,0.4808,0.9856
3.500,0.5655,0.00670,0.00233,-0.0290,0.4671,0.9869
3.750,0.5991,0.00684,0.00240,-0.0304,0.4484,0.9885
4.000,0.6319,0.00701,0.00249,-0.0316,0.4273,0.9904
4.250,0.6635,0.00721,0.00258,-0.0326,0.4035,0.9924
4.500,0.6955,0.00740,0.00269,-0.0336,0.3807,0.9940
4.750,0.7292,0.00760,0.00280,-0.0351,0.3599,0.9949
5.000,0.7624,0.00781,0.00292,-0.0365,0.3347,0.9961
5.250,0.7949,0.00807,0.00307,-0.0378,0.3084,0.9973
5.500,0.8269,0.00837,0.00325,-0.0390,0.2800,0.9986
5.750,0.8584,0.00872,0.00346,-0.0401,0.2502,0.9997
6.000,0.8830,0.00903,0.00366,-0.0398,0.2253,1.0000
6.250,0.9043,0.00934,0.00387,-0.0387,0.2039,1.0000
6.500,0.9252,0.00966,0.00409,-0.0375,0.1809,1.0000
6.750,0.9445,0.01009,0.00437,-0.0361,0.1513,1.0000
7.000,0.9623,0.01061,0.00471,-0.0344,0.1194,1.0000
7.250,0.9798,0.01113,0.00508,-0.0327,0.0935,1.0000
7.500,0.9979,0.01158,0.00543,-0.0310,0.0748,1.0000
7.750,1.0157,0.01204,0.00580,-0.0293,0.0607,1.0000
8.000,1.0343,0.01244,0.00615,-0.0276,0.0522,1.0000
8.250,1.0538,0.01278,0.00648,-0.0262,0.0471,1.0000
8.500,1.0726,0.01320,0.00687,-0.0246,0.0429,1.0000
8.750,1.0929,0.01351,0.00721,-0.0234,0.0406,1.0000
9.000,1.1130,0.01387,0.00756,-0.0221,0.0383,1.0000
9.250,1.1318,0.01435,0.00804,-0.0206,0.0358,1.0000
9.500,1.1526,0.01471,0.00844,-0.0195,0.0344,1.0000
9.750,1.1738,0.01506,0.00881,-0.0185,0.0330,1.0000
10.000,1.1939,0.01549,0.00925,-0.0174,0.0314,1.0000
10.250,1.2109,0.01616,0.00994,-0.0159,0.0294,1.0000
10.500,1.2321,0.01650,0.01033,-0.0150,0.0287,1.0000
10.750,1.2522,0.01692,0.01078,-0.0139,0.0275,1.0000
11.000,1.2712,0.01739,0.01126,-0.0128,0.0263,1.0000
11.250,1.2859,0.01809,0.01198,-0.0110,0.0249,1.0000
11.500,1.3011,0.01863,0.01257,-0.0092,0.0241,1.0000
11.750,1.3168,0.01910,0.01310,-0.0075,0.0233,1.0000
12.000,1.3318,0.01965,0.01369,-0.0058,0.0224,1.0000
12.250,1.3456,0.02032,0.01437,-0.0041,0.0216,1.0000
12.500,1.3547,0.02130,0.01540,-0.0020,0.0207,1.0000
12.750,1.3658,0.02222,0.01638,-0.0003,0.0200,1.0000
13.000,1.3803,0.02296,0.01718,0.0009,0.0194,1.0000
13.250,1.3936,0.02381,0.01809,0.0020,0.0188,1.0000
13.500,1.4060,0.02477,0.01908,0.0032,0.0181,1.0000
13.750,1.4160,0.02595,0.02030,0.0044,0.0175,1.0000
14.000,1.4187,0.02777,0.02219,0.0059,0.0169,1.0000
14.250,1.4269,0.02924,0.02375,0.0068,0.0165,1.0000
14.500,1.4365,0.03065,0.02523,0.0075,0.0161,1.0000
14.750,1.4445,0.03225,0.02691,0.0081,0.0157,1.0000
15.000,1.4516,0.03401,0.02874,0.0086,0.0154,1.0000
15.250,1.4578,0.03589,0.03069,0.0090,0.0150,1.0000
15.500,1.4622,0.03802,0.03289,0.0093,0.0146,1.0000
15.750,1.4637,0.04053,0.03547,0.0094,0.0143,1.0000
16.000,1.4601,0.04365,0.03867,0.0094,0.0140,1.0000
16.250,1.4507,0.04755,0.04268,0.0092,0.0137,1.0000
16.500,1.4490,0.05070,0.04593,0.0087,0.0135,1.0000
16.750,1.4492,0.05370,0.04903,0.0082,0.0133,1.0000
17.000,1.4478,0.05699,0.05242,0.0075,0.0131,1.0000
17.250,1.4450,0.06056,0.05609,0.0066,0.0129,1.0000
17.500,1.4408,0.06438,0.06001,0.0056,0.0127,1.0000
17.750,1.4350,0.06849,0.06421,0.0043,0.0125,1.0000
18.000,1.4279,0.07289,0.06871,0.0029,0.0124,1.0000
18.250,1.4195,0.07755,0.07348,0.0013,0.0122,1.0000
18.500,1.4097,0.08247,0.07850,-0.0004,0.0121,1.0000
18.750,1.3991,0.08761,0.08374,-0.0024,0.0120,1.0000
19.000,1.3873,0.09305,0.08928,-0.0045,0.0119,1.0000
19.250,1.3746,0.09866,0.09499,-0.0068,0.0118,1.0000
