Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ma409sm-il-100000
Airfoil,ma409sm-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,64.2337
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-ma409sm-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.4176,0.09826,0.09331,-0.0247,1.0000,0.0888
-7.750,-0.4335,0.09740,0.09260,-0.0263,1.0000,0.0904
-7.500,-0.4428,0.09575,0.09106,-0.0344,1.0000,0.0912
-7.250,-0.4298,0.09011,0.08542,-0.0260,1.0000,0.0933
-7.000,-0.4227,0.08710,0.08243,-0.0241,1.0000,0.0962
-6.750,-0.4210,0.08436,0.07975,-0.0247,1.0000,0.0997
-6.500,-0.4206,0.08137,0.07676,-0.0421,1.0000,0.1048
-6.250,-0.4174,0.07730,0.07279,-0.0334,1.0000,0.1063
-6.000,-0.4109,0.07453,0.07005,-0.0300,1.0000,0.1091
-5.750,-0.3983,0.07097,0.06644,-0.0373,1.0000,0.1173
-5.500,-0.3893,0.06661,0.06209,-0.0390,1.0000,0.1202
-5.250,-0.3664,0.06305,0.05829,-0.0471,1.0000,0.1320
-5.000,-0.3589,0.05910,0.05445,-0.0444,1.0000,0.1338
-4.750,-0.3477,0.05634,0.05172,-0.0424,1.0000,0.1373
-4.500,-0.2847,0.03937,0.03366,-0.0621,1.0000,0.0751
-4.250,-0.2506,0.03294,0.02658,-0.0665,1.0000,0.0697
-4.000,-0.2159,0.02837,0.02124,-0.0693,1.0000,0.0696
-3.750,-0.1794,0.02445,0.01647,-0.0713,1.0000,0.0689
-3.500,-0.1471,0.02219,0.01372,-0.0722,1.0000,0.0729
-3.250,-0.1165,0.02070,0.01194,-0.0728,1.0000,0.0840
-3.000,-0.0848,0.01921,0.01025,-0.0734,1.0000,0.0973
-2.750,-0.0552,0.01828,0.00926,-0.0738,1.0000,0.1222
-2.500,-0.0257,0.01747,0.00843,-0.0742,1.0000,0.1585
-2.250,0.0032,0.01677,0.00791,-0.0747,1.0000,0.2052
-2.000,0.0308,0.01638,0.00762,-0.0750,1.0000,0.2575
-1.750,0.0576,0.01602,0.00748,-0.0751,1.0000,0.3093
-1.500,0.0849,0.01572,0.00736,-0.0754,1.0000,0.3697
-1.250,0.1126,0.01531,0.00724,-0.0756,1.0000,0.4453
-1.000,0.1427,0.01460,0.00713,-0.0762,1.0000,0.5859
-0.750,0.1501,0.01372,0.00704,-0.0716,1.0000,1.0000
-0.500,0.1757,0.01403,0.00708,-0.0717,1.0000,1.0000
-0.250,0.2004,0.01437,0.00723,-0.0718,1.0000,1.0000
0.000,0.2246,0.01475,0.00745,-0.0717,1.0000,1.0000
0.250,0.2482,0.01518,0.00776,-0.0717,1.0000,1.0000
0.500,0.2714,0.01565,0.00814,-0.0717,1.0000,1.0000
0.750,0.3006,0.01617,0.00859,-0.0730,0.9973,1.0000
1.000,0.3494,0.01665,0.00901,-0.0778,0.9868,1.0000
1.250,0.3968,0.01705,0.00938,-0.0822,0.9754,1.0000
1.500,0.4431,0.01736,0.00969,-0.0863,0.9634,1.0000
1.750,0.4885,0.01755,0.00992,-0.0900,0.9506,1.0000
2.000,0.5328,0.01762,0.01005,-0.0932,0.9370,1.0000
2.250,0.5764,0.01757,0.01009,-0.0960,0.9229,1.0000
2.500,0.6196,0.01738,0.01005,-0.0986,0.9084,1.0000
2.750,0.6633,0.01704,0.00984,-0.1008,0.8938,1.0000
3.000,0.7053,0.01656,0.00952,-0.1025,0.8787,1.0000
3.250,0.7455,0.01598,0.00915,-0.1035,0.8628,1.0000
3.500,0.7786,0.01553,0.00887,-0.1031,0.8416,1.0000
3.750,0.8151,0.01496,0.00845,-0.1031,0.8205,1.0000
4.000,0.8458,0.01461,0.00823,-0.1021,0.7924,1.0000
4.250,0.8734,0.01442,0.00814,-0.1007,0.7571,1.0000
4.500,0.8981,0.01416,0.00786,-0.0980,0.7001,1.0000
4.750,0.9179,0.01429,0.00769,-0.0947,0.6201,1.0000
5.000,0.9366,0.01482,0.00790,-0.0919,0.5403,1.0000
5.250,0.9513,0.01572,0.00830,-0.0888,0.4342,1.0000
5.500,0.9490,0.01894,0.00953,-0.0838,0.1413,1.0000
5.750,0.9608,0.02144,0.01147,-0.0809,0.0848,1.0000
6.000,0.9772,0.02320,0.01326,-0.0786,0.0723,1.0000
6.250,0.9954,0.02502,0.01503,-0.0769,0.0630,1.0000
6.500,1.0177,0.02682,0.01682,-0.0756,0.0573,1.0000
6.750,1.0448,0.03016,0.02004,-0.0752,0.0540,1.0000
7.000,1.0722,0.03250,0.02266,-0.0742,0.0529,1.0000
7.250,1.0980,0.03539,0.02592,-0.0731,0.0524,1.0000
7.500,1.1190,0.03787,0.02889,-0.0713,0.0503,1.0000
7.750,1.1375,0.04087,0.03237,-0.0694,0.0488,1.0000
8.000,1.1532,0.04496,0.03704,-0.0672,0.0502,1.0000
8.250,1.1656,0.04972,0.04223,-0.0650,0.0522,1.0000
8.500,1.1711,0.05495,0.04841,-0.0609,0.0604,1.0000
11.000,0.8373,0.12592,0.12184,-0.0582,0.1578,1.0000
11.250,0.7868,0.13142,0.12723,-0.0652,0.1509,1.0000
