Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-mh30-il-200000
Airfoil,mh30-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,67.0546
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-mh30-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.250,-0.4858,0.08492,0.08161,-0.0311,1.0000,0.0371
-8.000,-0.4888,0.08004,0.07673,-0.0359,1.0000,0.0371
-7.750,-0.4985,0.07292,0.06967,-0.0377,1.0000,0.0381
-7.500,-0.4933,0.07039,0.06719,-0.0356,1.0000,0.0391
-7.250,-0.4891,0.06717,0.06397,-0.0361,1.0000,0.0401
-7.000,-0.4851,0.06361,0.06039,-0.0374,1.0000,0.0412
-6.750,-0.4818,0.05976,0.05650,-0.0386,1.0000,0.0426
-6.500,-0.4785,0.05584,0.05243,-0.0395,1.0000,0.0444
-6.250,-0.4747,0.05175,0.04816,-0.0400,1.0000,0.0472
-6.000,-0.4776,0.04703,0.04289,-0.0399,1.0000,0.0510
-5.750,-0.4688,0.04380,0.03973,-0.0384,1.0000,0.0525
-5.500,-0.4590,0.04149,0.03740,-0.0368,1.0000,0.0546
-5.250,-0.4482,0.03892,0.03463,-0.0353,1.0000,0.0581
-5.000,-0.4379,0.03569,0.03099,-0.0341,1.0000,0.0653
-4.750,-0.4128,0.02777,0.02184,-0.0304,1.0000,0.0259
-4.500,-0.3953,0.02394,0.01773,-0.0291,1.0000,0.0225
-4.250,-0.3745,0.02121,0.01455,-0.0276,1.0000,0.0207
-4.000,-0.3517,0.01898,0.01190,-0.0262,1.0000,0.0196
-3.750,-0.3287,0.01732,0.00999,-0.0249,1.0000,0.0193
-3.500,-0.3058,0.01603,0.00856,-0.0237,1.0000,0.0198
-3.250,-0.2834,0.01499,0.00743,-0.0225,1.0000,0.0214
-3.000,-0.2612,0.01419,0.00652,-0.0215,1.0000,0.0237
-2.750,-0.2332,0.01246,0.00511,-0.0216,0.9986,0.0935
-2.500,-0.1984,0.01119,0.00487,-0.0241,0.9944,0.3314
-2.250,-0.1651,0.01049,0.00486,-0.0256,0.9888,0.5147
-2.000,-0.1342,0.00987,0.00504,-0.0259,0.9832,0.7213
-1.750,-0.0999,0.00958,0.00514,-0.0261,0.9785,0.8753
-1.500,-0.0228,0.00951,0.00494,-0.0360,0.9814,1.0000
-1.250,0.0168,0.00954,0.00478,-0.0387,0.9738,1.0000
-1.000,0.0640,0.00960,0.00468,-0.0429,0.9690,1.0000
-0.750,0.1031,0.00960,0.00457,-0.0453,0.9610,1.0000
-0.500,0.1516,0.00956,0.00443,-0.0496,0.9563,1.0000
-0.250,0.1936,0.00950,0.00429,-0.0525,0.9486,1.0000
0.000,0.2413,0.00935,0.00410,-0.0564,0.9428,1.0000
0.250,0.2775,0.00922,0.00395,-0.0579,0.9322,1.0000
0.500,0.3112,0.00909,0.00380,-0.0587,0.9212,1.0000
0.750,0.3410,0.00898,0.00366,-0.0586,0.9091,1.0000
1.000,0.3673,0.00889,0.00354,-0.0578,0.8956,1.0000
1.250,0.3916,0.00880,0.00344,-0.0565,0.8807,1.0000
1.500,0.4152,0.00873,0.00336,-0.0551,0.8649,1.0000
1.750,0.4389,0.00865,0.00326,-0.0536,0.8482,1.0000
2.000,0.4618,0.00863,0.00321,-0.0521,0.8281,1.0000
2.250,0.4857,0.00859,0.00314,-0.0507,0.8076,1.0000
2.500,0.5094,0.00860,0.00312,-0.0494,0.7826,1.0000
2.750,0.5333,0.00863,0.00315,-0.0481,0.7551,1.0000
3.000,0.5573,0.00872,0.00317,-0.0469,0.7236,1.0000
3.250,0.5812,0.00886,0.00321,-0.0457,0.6880,1.0000
3.500,0.6048,0.00908,0.00330,-0.0445,0.6486,1.0000
3.750,0.6280,0.00937,0.00344,-0.0433,0.6064,1.0000
4.000,0.6511,0.00971,0.00368,-0.0422,0.5610,1.0000
4.250,0.6738,0.01010,0.00391,-0.0411,0.5137,1.0000
4.500,0.6962,0.01053,0.00418,-0.0400,0.4637,1.0000
4.750,0.7183,0.01103,0.00450,-0.0390,0.4122,1.0000
5.000,0.7403,0.01158,0.00486,-0.0380,0.3613,1.0000
5.250,0.7623,0.01216,0.00527,-0.0370,0.3120,1.0000
5.500,0.7841,0.01279,0.00574,-0.0361,0.2626,1.0000
5.750,0.8056,0.01350,0.00633,-0.0353,0.2151,1.0000
6.000,0.8272,0.01423,0.00689,-0.0344,0.1677,1.0000
6.250,0.8479,0.01512,0.00755,-0.0335,0.1232,1.0000
6.500,0.8673,0.01626,0.00848,-0.0324,0.0841,1.0000
6.750,0.8850,0.01773,0.00985,-0.0307,0.0578,1.0000
7.000,0.9035,0.01915,0.01132,-0.0292,0.0444,1.0000
7.250,0.9223,0.02049,0.01270,-0.0278,0.0332,1.0000
7.500,0.9416,0.02169,0.01398,-0.0267,0.0200,1.0000
7.750,0.9573,0.02373,0.01610,-0.0249,0.0158,1.0000
8.000,0.9729,0.02696,0.01959,-0.0229,0.0140,1.0000
8.250,0.9912,0.02942,0.02237,-0.0214,0.0134,1.0000
8.500,1.0070,0.03238,0.02571,-0.0196,0.0131,1.0000
8.750,1.0187,0.03572,0.02947,-0.0176,0.0131,1.0000
9.000,1.0253,0.03943,0.03363,-0.0153,0.0132,1.0000
9.250,1.0265,0.04335,0.03807,-0.0128,0.0134,1.0000
9.500,1.0217,0.04746,0.04256,-0.0102,0.0137,1.0000
9.750,1.0112,0.05149,0.04691,-0.0075,0.0139,1.0000
10.000,0.9950,0.05501,0.05067,-0.0045,0.0140,1.0000
10.250,0.9758,0.05894,0.05480,-0.0027,0.0142,1.0000
10.500,0.9565,0.06329,0.05933,-0.0025,0.0143,1.0000
