Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-mh32-il-100000
Airfoil,mh32-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,53.8927
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-mh32-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.3364,0.09505,0.09051,-0.0266,1.0000,0.0849
-8.750,-0.3509,0.09205,0.08759,-0.0304,1.0000,0.0876
-8.500,-0.3616,0.08880,0.08442,-0.0334,1.0000,0.0880
-8.250,-0.3348,0.08395,0.07955,-0.0287,1.0000,0.0951
-8.000,-0.3411,0.08064,0.07631,-0.0304,1.0000,0.0993
-7.750,-0.3552,0.07743,0.07320,-0.0330,1.0000,0.1007
-7.500,-0.4474,0.08273,0.07831,-0.0398,1.0000,0.0889
-7.250,-0.4236,0.08041,0.07602,-0.0304,1.0000,0.0960
-7.000,-0.4283,0.07709,0.07277,-0.0326,1.0000,0.0977
-6.750,-0.4508,0.07344,0.06901,-0.0414,1.0000,0.1015
-6.500,-0.4388,0.07007,0.06584,-0.0354,1.0000,0.1051
-6.250,-0.4052,0.05782,0.05401,-0.0307,1.0000,0.1180
-6.000,-0.4064,0.05538,0.05161,-0.0287,1.0000,0.1251
-5.750,-0.4388,0.06151,0.05728,-0.0339,1.0000,0.1243
-5.500,-0.4375,0.05822,0.05394,-0.0338,1.0000,0.1330
-5.250,-0.4334,0.05520,0.05084,-0.0337,1.0000,0.1455
-5.000,-0.4264,0.05230,0.04784,-0.0334,1.0000,0.1584
-4.750,-0.4170,0.04951,0.04491,-0.0328,1.0000,0.1719
-4.500,-0.3757,0.03525,0.02887,-0.0380,1.0000,0.0594
-4.250,-0.3519,0.03153,0.02418,-0.0365,1.0000,0.0493
-4.000,-0.3307,0.02804,0.02038,-0.0358,1.0000,0.0473
-3.750,-0.3072,0.02540,0.01724,-0.0348,1.0000,0.0467
-3.500,-0.2826,0.02340,0.01484,-0.0338,1.0000,0.0472
-3.250,-0.2580,0.02138,0.01257,-0.0329,1.0000,0.0515
-3.000,-0.2349,0.02038,0.01143,-0.0319,1.0000,0.0611
-2.750,-0.2118,0.01891,0.00999,-0.0309,1.0000,0.0743
-2.500,-0.1893,0.01740,0.00878,-0.0300,1.0000,0.1181
-2.250,-0.1677,0.01508,0.00805,-0.0295,1.0000,0.3875
-2.000,-0.1539,0.01410,0.00823,-0.0263,1.0000,0.6685
-1.750,-0.1162,0.01348,0.00805,-0.0269,1.0000,1.0000
-1.500,-0.0957,0.01371,0.00794,-0.0265,1.0000,1.0000
-1.250,-0.0529,0.01419,0.00804,-0.0302,0.9932,1.0000
-1.000,-0.0047,0.01466,0.00819,-0.0349,0.9835,1.0000
-0.750,0.0407,0.01506,0.00832,-0.0390,0.9732,1.0000
-0.500,0.0860,0.01543,0.00848,-0.0429,0.9628,1.0000
-0.250,0.1331,0.01576,0.00863,-0.0471,0.9529,1.0000
0.000,0.1797,0.01601,0.00873,-0.0511,0.9425,1.0000
0.250,0.2216,0.01618,0.00880,-0.0541,0.9306,1.0000
0.500,0.2642,0.01630,0.00885,-0.0570,0.9188,1.0000
0.750,0.3084,0.01634,0.00884,-0.0601,0.9072,1.0000
1.000,0.3559,0.01627,0.00875,-0.0637,0.8965,1.0000
1.250,0.4038,0.01607,0.00854,-0.0670,0.8864,1.0000
1.500,0.4432,0.01588,0.00835,-0.0686,0.8739,1.0000
1.750,0.4783,0.01568,0.00818,-0.0692,0.8603,1.0000
2.000,0.5095,0.01551,0.00802,-0.0691,0.8453,1.0000
2.250,0.5374,0.01537,0.00790,-0.0683,0.8285,1.0000
2.500,0.5660,0.01517,0.00773,-0.0675,0.8119,1.0000
2.750,0.5947,0.01495,0.00757,-0.0666,0.7951,1.0000
3.000,0.6224,0.01474,0.00737,-0.0655,0.7773,1.0000
3.250,0.6474,0.01464,0.00729,-0.0641,0.7560,1.0000
3.500,0.6735,0.01452,0.00717,-0.0628,0.7346,1.0000
3.750,0.6994,0.01444,0.00713,-0.0615,0.7115,1.0000
4.000,0.7240,0.01447,0.00715,-0.0601,0.6855,1.0000
4.250,0.7486,0.01456,0.00721,-0.0588,0.6582,1.0000
4.500,0.7730,0.01472,0.00731,-0.0574,0.6294,1.0000
4.750,0.7963,0.01497,0.00753,-0.0561,0.5979,1.0000
5.000,0.8194,0.01527,0.00784,-0.0547,0.5652,1.0000
5.250,0.8421,0.01563,0.00812,-0.0533,0.5317,1.0000
