Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n11h9-il-50000
Airfoil,n11h9-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,24.4758
Max Cl/Cd alpha,10.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n11h9-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.4091,0.12967,0.12392,0.0010,1.0000,0.0929
-10.250,-0.4067,0.12785,0.12217,-0.0028,1.0000,0.0952
-10.000,-0.4077,0.12679,0.12120,-0.0074,1.0000,0.0961
-9.750,-0.3866,0.11964,0.11407,-0.0073,1.0000,0.0992
-9.500,-0.3742,0.11564,0.11011,-0.0091,1.0000,0.1035
-9.250,-0.3691,0.11307,0.10760,-0.0127,1.0000,0.1077
-9.000,-0.3709,0.11185,0.10648,-0.0180,1.0000,0.1095
-8.750,-0.3546,0.10630,0.10098,-0.0186,1.0000,0.1130
-8.500,-0.3448,0.10290,0.09762,-0.0207,1.0000,0.1196
-8.250,-0.3471,0.10129,0.09611,-0.0247,1.0000,0.1222
-8.000,-0.3626,0.10107,0.09602,-0.0266,1.0000,0.1231
-7.750,-0.3833,0.10114,0.09618,-0.0245,1.0000,0.1233
-7.500,-0.4043,0.10117,0.09629,-0.0221,1.0000,0.1234
-7.250,-0.4235,0.10113,0.09628,-0.0203,1.0000,0.1236
-7.000,-0.4081,0.09493,0.09015,-0.0159,0.9996,0.1314
-6.750,-0.4005,0.09340,0.08854,-0.0245,0.9878,0.1373
-6.500,-0.3786,0.08764,0.08280,-0.0250,0.9820,0.1469
-6.250,-0.3660,0.08451,0.07960,-0.0305,0.9738,0.1551
-6.000,-0.3561,0.08271,0.07767,-0.0344,0.9659,0.1672
-5.750,-0.3352,0.07820,0.07316,-0.0367,0.9605,0.1812
-5.500,-0.3256,0.07489,0.06985,-0.0369,0.9542,0.1943
-5.250,0.0552,0.04816,0.04307,-0.0373,0.9831,1.0000
-5.000,0.0843,0.04541,0.04029,-0.0436,0.9746,1.0000
-4.750,0.1147,0.04277,0.03759,-0.0501,0.9669,1.0000
-4.500,0.1418,0.04056,0.03534,-0.0558,0.9598,0.9966
-4.250,-0.1266,0.05332,0.04860,-0.0157,0.9394,0.7287
-4.000,0.0316,0.04533,0.04034,-0.0347,0.9391,0.8672
-3.750,-0.2995,0.05780,0.05293,-0.0221,0.9208,0.4367
-3.500,-0.3038,0.05568,0.05091,-0.0160,0.9178,0.4817
-3.250,-0.3128,0.05408,0.04937,-0.0105,0.9148,0.5132
-3.000,-0.3144,0.05177,0.04719,-0.0040,0.9120,0.5532
-2.750,-0.3136,0.04989,0.04534,-0.0001,0.9098,0.5818
-2.500,-0.3125,0.04817,0.04357,0.0022,0.9081,0.6046
-2.250,-0.3036,0.04604,0.04149,0.0053,0.9060,0.6309
-2.000,-0.2951,0.04445,0.03975,0.0050,0.9049,0.6325
-1.750,-0.2756,0.04296,0.03804,0.0022,0.9040,0.6221
-1.500,-0.2376,0.04192,0.03654,-0.0052,0.9024,0.5812
-1.250,-0.1446,0.04368,0.03663,-0.0240,0.8985,0.3907
-1.000,-0.0874,0.04426,0.03610,-0.0291,0.8960,0.2660
-0.750,-0.0457,0.04475,0.03565,-0.0299,0.8939,0.1972
-0.500,-0.0247,0.04386,0.03449,-0.0289,0.8933,0.1742
-0.250,-0.0029,0.04355,0.03381,-0.0279,0.8932,0.1587
