Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n13-il-50000
Airfoil,n13-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,28.9693
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n13-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.7324,0.08406,0.07670,-0.0379,1.0000,0.1412
-10.500,-0.7455,0.07879,0.07142,-0.0381,1.0000,0.1399
-10.250,-0.7687,0.07393,0.06654,-0.0371,1.0000,0.1383
-10.000,-0.7963,0.06978,0.06235,-0.0343,1.0000,0.1366
-9.750,-0.8227,0.06548,0.05790,-0.0312,1.0000,0.1350
-9.500,-0.8452,0.06134,0.05355,-0.0276,1.0000,0.1341
-9.250,-0.8598,0.05754,0.04944,-0.0239,1.0000,0.1346
-9.000,-0.8701,0.05404,0.04561,-0.0200,1.0000,0.1369
-8.750,-0.8794,0.05069,0.04180,-0.0158,1.0000,0.1395
-8.500,-0.8767,0.04752,0.03840,-0.0127,1.0000,0.1446
-8.250,-0.8695,0.04506,0.03573,-0.0098,1.0000,0.1523
-8.000,-0.8629,0.04240,0.03281,-0.0067,1.0000,0.1599
-7.750,-0.8564,0.04028,0.03030,-0.0034,1.0000,0.1695
-7.500,-0.8404,0.03812,0.02813,-0.0015,1.0000,0.1809
-7.250,-0.8263,0.03606,0.02593,0.0008,1.0000,0.1928
-7.000,-0.8104,0.03390,0.02353,0.0030,1.0000,0.2050
-6.750,-0.7930,0.03205,0.02162,0.0049,1.0000,0.2217
-6.500,-0.7741,0.03014,0.01966,0.0067,1.0000,0.2425
-6.250,-0.7540,0.02837,0.01804,0.0084,1.0000,0.2696
-6.000,-0.7378,0.02702,0.01685,0.0107,1.0000,0.3026
-5.750,-0.7215,0.02587,0.01578,0.0131,1.0000,0.3365
-5.500,-0.7051,0.02485,0.01505,0.0156,1.0000,0.3747
-5.250,-0.6921,0.02392,0.01443,0.0187,1.0000,0.4248
-5.000,-0.6801,0.02307,0.01404,0.0225,1.0000,0.4908
-4.750,-0.6686,0.02272,0.01415,0.0273,1.0000,0.5675
-4.500,-0.6530,0.02290,0.01461,0.0322,1.0000,0.6399
-4.250,-0.6312,0.02320,0.01497,0.0360,1.0000,0.6979
-4.000,-0.6001,0.02374,0.01543,0.0381,1.0000,0.7444
-3.750,-0.5573,0.02463,0.01613,0.0382,1.0000,0.7837
-3.500,-0.5040,0.02580,0.01704,0.0363,1.0000,0.8189
-3.250,-0.3777,0.02850,0.01918,0.0235,1.0000,0.8579
-3.000,-0.2954,0.02929,0.01962,0.0152,1.0000,0.8934
-2.750,-0.2109,0.02932,0.01934,0.0052,1.0000,0.9259
