Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n63012a-il-100000
Airfoil,n63012a-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,41.25
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-n63012a-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.6451,0.10393,0.09898,0.0008,1.0000,0.1695
-10.000,-0.7116,0.06091,0.05593,-0.0347,1.0000,0.0882
-9.750,-0.7390,0.05556,0.05044,-0.0336,1.0000,0.0844
-9.500,-0.7820,0.04933,0.04370,-0.0300,1.0000,0.0758
-9.250,-0.8475,0.05545,0.04925,-0.0237,1.0000,0.0739
-9.000,-0.8659,0.05060,0.04324,-0.0191,1.0000,0.0659
-8.750,-0.8555,0.04768,0.03993,-0.0173,1.0000,0.0656
-8.500,-0.8453,0.04389,0.03581,-0.0156,1.0000,0.0658
-8.250,-0.8314,0.04062,0.03218,-0.0140,1.0000,0.0659
-8.000,-0.8145,0.03794,0.02913,-0.0124,1.0000,0.0656
-7.750,-0.7959,0.03474,0.02560,-0.0112,1.0000,0.0659
-7.500,-0.7740,0.03158,0.02225,-0.0104,1.0000,0.0670
-7.250,-0.7514,0.02947,0.02008,-0.0097,1.0000,0.0698
-7.000,-0.7290,0.02793,0.01843,-0.0087,1.0000,0.0740
-6.750,-0.7053,0.02642,0.01669,-0.0076,1.0000,0.0775
-6.500,-0.6811,0.02436,0.01475,-0.0069,1.0000,0.0822
-6.250,-0.6602,0.02319,0.01353,-0.0056,1.0000,0.0900
-6.000,-0.6425,0.02176,0.01228,-0.0039,1.0000,0.1002
-5.750,-0.6277,0.02048,0.01113,-0.0017,1.0000,0.1139
-5.500,-0.6162,0.01916,0.01003,0.0010,1.0000,0.1381
-5.250,-0.6115,0.01722,0.00876,0.0045,1.0000,0.2086
-5.000,-0.6175,0.01497,0.00823,0.0099,1.0000,0.4738
-4.750,-0.6054,0.01487,0.00841,0.0135,1.0000,0.5696
-4.500,-0.5896,0.01502,0.00858,0.0163,1.0000,0.6188
