Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n64212ma-il-50000
Airfoil,n64212ma-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,29.9132
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-n64212ma-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.3344,0.10021,0.09332,-0.0145,1.0000,0.3162
-8.250,-0.3280,0.09785,0.09104,-0.0131,1.0000,0.3404
-8.000,-0.3343,0.09668,0.08999,-0.0117,1.0000,0.3661
-7.750,-0.3022,0.09285,0.08618,-0.0092,1.0000,0.4006
-7.500,-0.2846,0.09053,0.08392,-0.0067,1.0000,0.4402
-7.250,-0.2659,0.08825,0.08170,-0.0041,1.0000,0.4828
-7.000,-0.2455,0.08566,0.07918,-0.0020,1.0000,0.5242
-6.750,-0.2282,0.08311,0.07670,-0.0002,1.0000,0.5623
-6.500,-0.2397,0.08398,0.07771,0.0043,1.0000,0.5986
-6.250,-0.2022,0.07953,0.07328,0.0042,1.0000,0.6421
-6.000,-0.1658,0.07478,0.06856,0.0032,1.0000,0.6801
-5.750,-0.1631,0.07368,0.06758,0.0060,1.0000,0.7155
-5.500,-0.1600,0.07240,0.06642,0.0082,1.0000,0.7372
-5.250,-0.1562,0.06974,0.06387,0.0089,1.0000,0.7386
-4.250,-0.2517,0.06668,0.06138,0.0247,1.0000,0.6754
-4.000,-0.3513,0.06731,0.06226,0.0328,1.0000,0.6047
-3.750,-0.4199,0.06593,0.06105,0.0378,1.0000,0.5642
-3.500,-0.4344,0.04374,0.03682,-0.0153,1.0000,0.2880
-3.250,-0.3954,0.04185,0.03399,-0.0184,1.0000,0.2320
-3.000,-0.3665,0.04001,0.03159,-0.0190,1.0000,0.2043
-2.750,-0.3403,0.03885,0.02993,-0.0189,1.0000,0.1893
-2.500,-0.3157,0.03747,0.02815,-0.0187,1.0000,0.1796
-2.250,-0.2917,0.03684,0.02712,-0.0181,1.0000,0.1731
-2.000,-0.2694,0.03540,0.02557,-0.0176,1.0000,0.1682
-1.750,-0.2462,0.03445,0.02436,-0.0170,1.0000,0.1627
-1.500,-0.2230,0.03411,0.02364,-0.0162,1.0000,0.1582
-1.250,-0.2013,0.03363,0.02299,-0.0154,1.0000,0.1566
-1.000,-0.1801,0.03302,0.02230,-0.0146,1.0000,0.1572
-0.750,-0.1597,0.03226,0.02159,-0.0137,1.0000,0.1588
-0.500,-0.1397,0.03178,0.02117,-0.0126,1.0000,0.1608
-0.250,-0.1201,0.03151,0.02091,-0.0113,1.0000,0.1622
0.000,-0.1003,0.03135,0.02075,-0.0102,1.0000,0.1643
0.250,-0.0802,0.03128,0.02067,-0.0094,1.0000,0.1680
0.500,-0.0192,0.03192,0.02134,-0.0159,0.9818,0.1819
0.750,0.0367,0.03223,0.02171,-0.0216,0.9628,0.2035
1.000,0.0778,0.03062,0.02258,-0.0231,0.9423,0.7182
1.250,0.1423,0.03098,0.02316,-0.0245,0.9110,1.0000
1.500,0.2287,0.03155,0.02327,-0.0326,0.8756,1.0000
1.750,0.2731,0.03165,0.02320,-0.0347,0.8513,1.0000
2.000,0.3248,0.03167,0.02310,-0.0377,0.8298,1.0000
2.250,0.3815,0.03134,0.02272,-0.0408,0.8082,1.0000
2.500,0.4373,0.03058,0.02195,-0.0431,0.7850,1.0000
2.750,0.4809,0.02964,0.02102,-0.0431,0.7604,1.0000
3.000,0.5220,0.02835,0.01975,-0.0421,0.7326,1.0000
3.250,0.5662,0.02667,0.01811,-0.0409,0.7038,1.0000
3.500,0.6038,0.02488,0.01634,-0.0384,0.6678,1.0000
3.750,0.6363,0.02286,0.01422,-0.0346,0.6105,1.0000
4.000,0.6545,0.02188,0.01271,-0.0296,0.5021,1.0000
4.250,0.6707,0.02251,0.01237,-0.0264,0.4138,1.0000
4.500,0.6916,0.02373,0.01291,-0.0250,0.3733,1.0000
4.750,0.7196,0.02496,0.01376,-0.0249,0.3492,1.0000
5.000,0.7487,0.02608,0.01475,-0.0250,0.3337,1.0000
5.250,0.7796,0.02723,0.01572,-0.0254,0.3235,1.0000
5.500,0.8081,0.02834,0.01685,-0.0256,0.3157,1.0000
5.750,0.8385,0.02954,0.01794,-0.0260,0.3097,1.0000
6.000,0.8665,0.03086,0.01929,-0.0263,0.3053,1.0000
6.250,0.8914,0.03218,0.02079,-0.0261,0.3015,1.0000
6.500,0.9162,0.03359,0.02235,-0.0260,0.2980,1.0000
6.750,0.9407,0.03507,0.02396,-0.0259,0.2947,1.0000
7.000,0.9653,0.03664,0.02560,-0.0259,0.2917,1.0000
7.250,0.9904,0.03840,0.02740,-0.0259,0.2889,1.0000
7.500,1.0092,0.04036,0.02959,-0.0254,0.2868,1.0000
