Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca001034a08cli02-il-1000000
Airfoil,naca001034a08cli02-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,93.5772
Max Cl/Cd alpha,2.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca001034a08cli02-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.5151,0.08454,0.08297,-0.0388,1.0000,0.0076
-9.250,-0.5209,0.07915,0.07760,-0.0422,1.0000,0.0076
-9.000,-0.5366,0.07293,0.07142,-0.0473,1.0000,0.0074
-8.750,-0.4733,0.05542,0.05397,-0.0523,0.9984,0.0084
-8.500,-0.4919,0.04899,0.04743,-0.0577,0.9955,0.0081
-8.250,-0.4981,0.04337,0.04167,-0.0600,0.9916,0.0082
-8.000,-0.4939,0.03818,0.03632,-0.0614,0.9883,0.0085
-7.750,-0.4791,0.03430,0.03226,-0.0625,0.9863,0.0088
-7.500,-0.4664,0.02973,0.02746,-0.0635,0.9846,0.0089
-7.250,-0.4523,0.02528,0.02277,-0.0643,0.9831,0.0090
-7.000,-0.4422,0.02161,0.01885,-0.0632,0.9784,0.0090
-6.750,-0.4282,0.01815,0.01511,-0.0625,0.9746,0.0090
-6.500,-0.4121,0.01493,0.01158,-0.0617,0.9715,0.0090
-6.250,-0.3964,0.01225,0.00860,-0.0604,0.9678,0.0091
-6.000,-0.4112,0.01780,0.01323,-0.0572,0.9692,0.0070
-5.750,-0.3900,0.01579,0.01096,-0.0556,0.9649,0.0074
-5.500,-0.3648,0.01464,0.00965,-0.0550,0.9615,0.0080
-5.250,-0.3389,0.01360,0.00849,-0.0546,0.9587,0.0084
-5.000,-0.3132,0.01270,0.00749,-0.0542,0.9560,0.0086
-4.500,-0.2680,0.01079,0.00538,-0.0522,0.9477,0.0096
-4.250,-0.2461,0.00980,0.00429,-0.0510,0.9441,0.0102
-4.000,-0.2219,0.00927,0.00369,-0.0503,0.9404,0.0115
-3.750,-0.1967,0.00894,0.00332,-0.0498,0.9362,0.0131
-3.500,-0.1709,0.00863,0.00295,-0.0495,0.9323,0.0144
-3.250,-0.1448,0.00831,0.00254,-0.0491,0.9289,0.0167
-3.000,-0.1192,0.00800,0.00219,-0.0487,0.9244,0.0232
-2.750,-0.0968,0.00722,0.00184,-0.0479,0.9195,0.1474
-2.500,-0.0768,0.00620,0.00156,-0.0469,0.9151,0.3671
-2.250,-0.0549,0.00557,0.00143,-0.0461,0.9097,0.5101
-2.000,-0.0320,0.00510,0.00132,-0.0452,0.9046,0.6243
-1.750,-0.0078,0.00483,0.00128,-0.0445,0.8997,0.7030
-1.500,0.0165,0.00463,0.00126,-0.0437,0.8939,0.7639
-1.250,0.0431,0.00454,0.00121,-0.0434,0.8891,0.7908
-1.000,0.0700,0.00448,0.00118,-0.0432,0.8836,0.8076
-0.750,0.0970,0.00442,0.00114,-0.0431,0.8780,0.8237
-0.500,0.1241,0.00437,0.00111,-0.0429,0.8727,0.8418
-0.250,0.1508,0.00431,0.00110,-0.0427,0.8662,0.8603
0.000,0.1778,0.00428,0.00109,-0.0425,0.8603,0.8776
0.250,0.2046,0.00425,0.00111,-0.0422,0.8530,0.8944
0.500,0.2316,0.00425,0.00112,-0.0420,0.8461,0.9103
0.750,0.2586,0.00425,0.00115,-0.0418,0.8374,0.9248
1.000,0.2859,0.00428,0.00118,-0.0417,0.8282,0.9372
1.250,0.3137,0.00432,0.00122,-0.0416,0.8171,0.9477
1.500,0.3414,0.00438,0.00126,-0.0416,0.8049,0.9573
1.750,0.3704,0.00445,0.00131,-0.0418,0.7928,0.9651
2.000,0.4007,0.00453,0.00137,-0.0424,0.7790,0.9713
2.250,0.4324,0.00467,0.00145,-0.0434,0.7497,0.9763
2.500,0.4604,0.00492,0.00153,-0.0434,0.7021,0.9825
2.750,0.4938,0.00533,0.00165,-0.0450,0.6272,0.9847
3.000,0.5249,0.00592,0.00183,-0.0462,0.5288,0.9876
3.250,0.5538,0.00664,0.00210,-0.0470,0.4144,0.9911
3.500,0.5792,0.00774,0.00249,-0.0474,0.2498,0.9946
3.750,0.6052,0.00922,0.00308,-0.0482,0.0484,0.9968
4.000,0.6383,0.00971,0.00346,-0.0497,0.0205,0.9987
4.250,0.6685,0.01024,0.00407,-0.0504,0.0147,1.0000
4.500,0.6891,0.01046,0.00433,-0.0491,0.0137,1.0000
4.750,0.7088,0.01079,0.00469,-0.0476,0.0123,1.0000
5.000,0.7281,0.01114,0.00508,-0.0460,0.0108,1.0000
5.250,0.7395,0.01221,0.00627,-0.0427,0.0089,1.0000
5.500,0.7572,0.01272,0.00683,-0.0408,0.0085,1.0000
5.750,0.7756,0.01320,0.00736,-0.0390,0.0081,1.0000
6.000,0.7935,0.01377,0.00801,-0.0371,0.0077,1.0000
6.250,0.8118,0.01438,0.00867,-0.0353,0.0071,1.0000
6.500,0.8307,0.01498,0.00932,-0.0336,0.0065,1.0000
6.750,0.8496,0.01565,0.01004,-0.0321,0.0060,1.0000
