Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca633018-il-500000
Airfoil,naca633018-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,72.9619
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca633018-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.1912,0.10230,0.09809,-0.0077,1.0000,0.0263
-19.500,-1.1928,0.09821,0.09394,-0.0099,1.0000,0.0271
-19.250,-1.1929,0.09439,0.09005,-0.0118,1.0000,0.0281
-19.000,-1.1924,0.09070,0.08626,-0.0137,1.0000,0.0290
-18.750,-1.1913,0.08711,0.08254,-0.0154,1.0000,0.0298
-18.500,-1.1914,0.08358,0.07892,-0.0169,1.0000,0.0307
-18.250,-1.1915,0.08018,0.07549,-0.0182,1.0000,0.0316
-18.000,-1.1894,0.07697,0.07224,-0.0196,1.0000,0.0324
-17.750,-1.1862,0.07397,0.06918,-0.0209,1.0000,0.0332
-17.500,-1.1821,0.07115,0.06629,-0.0220,1.0000,0.0341
-17.250,-1.1777,0.06840,0.06345,-0.0230,1.0000,0.0350
-17.000,-1.1726,0.06577,0.06071,-0.0240,1.0000,0.0357
-16.750,-1.1668,0.06323,0.05806,-0.0250,1.0000,0.0362
-16.500,-1.1644,0.06071,0.05555,-0.0252,1.0000,0.0375
-16.250,-1.1593,0.05833,0.05314,-0.0258,1.0000,0.0385
-16.000,-1.1530,0.05609,0.05085,-0.0264,1.0000,0.0392
-15.750,-1.1459,0.05397,0.04868,-0.0268,1.0000,0.0401
-15.500,-1.1382,0.05197,0.04662,-0.0272,1.0000,0.0409
-15.250,-1.1298,0.05003,0.04461,-0.0276,1.0000,0.0419
-15.000,-1.1209,0.04822,0.04272,-0.0278,1.0000,0.0426
-14.750,-1.1109,0.04648,0.04090,-0.0281,1.0000,0.0433
-14.500,-1.1058,0.04455,0.03894,-0.0276,1.0000,0.0444
-14.250,-1.1004,0.04259,0.03697,-0.0275,1.0000,0.0455
-14.000,-1.0923,0.04087,0.03522,-0.0274,1.0000,0.0464
-13.750,-1.0828,0.03929,0.03361,-0.0273,1.0000,0.0475
-13.500,-1.0727,0.03781,0.03209,-0.0272,1.0000,0.0488
-13.250,-1.0621,0.03640,0.03064,-0.0270,1.0000,0.0498
-13.000,-1.0496,0.03516,0.02932,-0.0269,1.0000,0.0510
-12.750,-1.0386,0.03383,0.02794,-0.0265,1.0000,0.0518
-12.500,-1.0359,0.03194,0.02604,-0.0257,1.0000,0.0534
-12.250,-1.0292,0.03034,0.02442,-0.0251,1.0000,0.0545
-12.000,-1.0193,0.02900,0.02308,-0.0246,1.0000,0.0561
-11.750,-1.0092,0.02770,0.02174,-0.0240,1.0000,0.0572
-11.500,-0.9983,0.02647,0.02048,-0.0234,1.0000,0.0584
-11.250,-0.9866,0.02530,0.01928,-0.0229,1.0000,0.0595
-11.000,-0.9732,0.02425,0.01818,-0.0225,1.0000,0.0606
-10.750,-0.9525,0.02267,0.01654,-0.0246,0.9474,0.0628
-10.250,-0.9321,0.02060,0.01425,-0.0225,0.8862,0.0673
-10.000,-0.9235,0.01979,0.01334,-0.0206,0.8699,0.0694
-9.750,-0.9131,0.01910,0.01252,-0.0188,0.8564,0.0714
-9.500,-0.9094,0.01811,0.01148,-0.0162,0.8439,0.0752
-9.250,-0.9026,0.01730,0.01064,-0.0139,0.8324,0.0796
-9.000,-0.8943,0.01665,0.00993,-0.0114,0.8227,0.0848
-8.750,-0.8904,0.01598,0.00926,-0.0080,0.8129,0.0935
-8.500,-0.8804,0.01532,0.00865,-0.0057,0.8043,0.1083
-8.250,-0.8695,0.01457,0.00800,-0.0035,0.7963,0.1316
-8.000,-0.8560,0.01382,0.00738,-0.0018,0.7886,0.1611
-7.750,-0.8410,0.01308,0.00679,-0.0002,0.7812,0.1956
-7.500,-0.8252,0.01232,0.00622,0.0012,0.7743,0.2362
-7.250,-0.8075,0.01159,0.00569,0.0024,0.7670,0.2802
-7.000,-0.7882,0.01099,0.00524,0.0034,0.7610,0.3243
-6.750,-0.7661,0.01050,0.00492,0.0040,0.7540,0.3631
-6.500,-0.7418,0.01020,0.00467,0.0044,0.7476,0.3928
-6.250,-0.7159,0.01001,0.00449,0.0046,0.7417,0.4154
-6.000,-0.6889,0.00985,0.00434,0.0046,0.7353,0.4325
-5.750,-0.6620,0.00973,0.00419,0.0047,0.7295,0.4462
-5.500,-0.6344,0.00963,0.00407,0.0047,0.7236,0.4580
-5.250,-0.6064,0.00954,0.00395,0.0046,0.7173,0.4690
-5.000,-0.5785,0.00950,0.00384,0.0045,0.7118,0.4794
-4.750,-0.5503,0.00942,0.00376,0.0044,0.7061,0.4883
-4.500,-0.5220,0.00938,0.00370,0.0043,0.7002,0.5005
-4.250,-0.4940,0.00940,0.00365,0.0042,0.6949,0.5123
-4.000,-0.4655,0.00933,0.00360,0.0041,0.6891,0.5202
-3.750,-0.4366,0.00930,0.00353,0.0039,0.6833,0.5273
-3.500,-0.4082,0.00928,0.00347,0.0038,0.6784,0.5348
-3.250,-0.3792,0.00928,0.00345,0.0035,0.6729,0.5425
-3.000,-0.3502,0.00923,0.00337,0.0033,0.6673,0.5483
-2.750,-0.3214,0.00920,0.00331,0.0031,0.6622,0.5532
-2.500,-0.2922,0.00919,0.00327,0.0028,0.6571,0.5587
-2.250,-0.2630,0.00915,0.00320,0.0025,0.6517,0.5639
-2.000,-0.2340,0.00911,0.00316,0.0023,0.6467,0.5688
-1.750,-0.2048,0.00912,0.00313,0.0020,0.6417,0.5739
-1.500,-0.1754,0.00911,0.00308,0.0017,0.6363,0.5789
-1.250,-0.1464,0.00905,0.00305,0.0015,0.6316,0.5834
-1.000,-0.1172,0.00907,0.00303,0.0012,0.6269,0.5882
-0.750,-0.0877,0.00905,0.00301,0.0009,0.6216,0.5933
-0.500,-0.0585,0.00901,0.00298,0.0006,0.6167,0.5978
-0.250,-0.0294,0.00903,0.00298,0.0003,0.6123,0.6023
0.000,0.0000,0.00903,0.00299,0.0000,0.6074,0.6074
0.250,0.0294,0.00903,0.00298,-0.0003,0.6023,0.6123
0.500,0.0585,0.00901,0.00298,-0.0006,0.5978,0.6167
0.750,0.0877,0.00905,0.00301,-0.0009,0.5933,0.6217
1.000,0.1172,0.00907,0.00303,-0.0012,0.5882,0.6269
1.250,0.1464,0.00905,0.00305,-0.0015,0.5834,0.6316
1.500,0.1754,0.00911,0.00308,-0.0017,0.5789,0.6363
1.750,0.2048,0.00912,0.00313,-0.0020,0.5740,0.6417
2.000,0.2340,0.00911,0.00316,-0.0023,0.5687,0.6467
2.250,0.2630,0.00915,0.00320,-0.0025,0.5639,0.6517
2.500,0.2922,0.00919,0.00327,-0.0028,0.5587,0.6571
2.750,0.3214,0.00920,0.00331,-0.0031,0.5532,0.6622
3.000,0.3502,0.00923,0.00337,-0.0033,0.5482,0.6673
3.250,0.3792,0.00928,0.00345,-0.0035,0.5425,0.6729
3.500,0.4082,0.00928,0.00347,-0.0038,0.5348,0.6784
3.750,0.4366,0.00930,0.00353,-0.0039,0.5273,0.6834
4.000,0.4655,0.00933,0.00360,-0.0041,0.5203,0.6891
4.250,0.4940,0.00940,0.00365,-0.0042,0.5123,0.6949
4.500,0.5220,0.00938,0.00370,-0.0043,0.5005,0.7002
4.750,0.5503,0.00942,0.00376,-0.0044,0.4882,0.7061
5.000,0.5785,0.00950,0.00384,-0.0045,0.4794,0.7118
5.250,0.6065,0.00954,0.00396,-0.0046,0.4692,0.7173
5.500,0.6344,0.00963,0.00407,-0.0047,0.4580,0.7236
5.750,0.6620,0.00973,0.00419,-0.0047,0.4462,0.7295
6.000,0.6890,0.00985,0.00434,-0.0046,0.4325,0.7353
6.250,0.7159,0.01001,0.00449,-0.0046,0.4155,0.7417
6.500,0.7418,0.01020,0.00467,-0.0044,0.3928,0.7476
6.750,0.7661,0.01050,0.00492,-0.0040,0.3629,0.7541
7.000,0.7882,0.01100,0.00524,-0.0034,0.3242,0.7610
7.250,0.8075,0.01160,0.00569,-0.0024,0.2800,0.7670
7.500,0.8252,0.01233,0.00622,-0.0012,0.2360,0.7743
7.750,0.8410,0.01309,0.00679,0.0002,0.1953,0.7812
8.000,0.8561,0.01382,0.00738,0.0017,0.1612,0.7886
8.250,0.8695,0.01457,0.00800,0.0035,0.1315,0.7963
8.500,0.8805,0.01532,0.00865,0.0057,0.1081,0.8042
8.750,0.8905,0.01598,0.00927,0.0080,0.0934,0.8130
9.000,0.8947,0.01664,0.00992,0.0113,0.0849,0.8227
9.250,0.9027,0.01730,0.01064,0.0138,0.0795,0.8324
9.500,0.9097,0.01811,0.01147,0.0162,0.0752,0.8438
9.750,0.9134,0.01909,0.01251,0.0187,0.0714,0.8564
10.000,0.9238,0.01979,0.01333,0.0205,0.0695,0.8697
10.250,0.9326,0.02058,0.01423,0.0224,0.0673,0.8861
10.500,0.9395,0.02147,0.01522,0.0244,0.0653,0.9086
10.750,0.9531,0.02263,0.01650,0.0245,0.0629,0.9471
11.000,0.9741,0.02421,0.01813,0.0224,0.0606,1.0000
11.250,0.9869,0.02530,0.01927,0.0228,0.0596,1.0000
11.500,0.9990,0.02644,0.02046,0.0234,0.0584,1.0000
11.750,1.0100,0.02767,0.02171,0.0239,0.0572,1.0000
