Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca654421a05-il-200000
Airfoil,naca654421a05-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,31.6994
Max Cl/Cd alpha,11.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca654421a05-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.250,-0.7089,0.06241,0.05697,-0.1039,0.8433,0.0550
-14.000,-0.7134,0.05887,0.05328,-0.1033,0.8378,0.0548
-13.750,-0.7234,0.05585,0.05006,-0.1019,0.8328,0.0546
-13.500,-0.7365,0.05324,0.04721,-0.0999,0.8282,0.0546
-13.250,-0.7483,0.05095,0.04471,-0.0978,0.8223,0.0547
-13.000,-0.7602,0.04896,0.04246,-0.0949,0.8171,0.0548
-12.750,-0.7697,0.04719,0.04042,-0.0915,0.8128,0.0549
-12.500,-0.7723,0.04544,0.03844,-0.0888,0.8085,0.0549
-12.250,-0.7682,0.04363,0.03641,-0.0868,0.8035,0.0549
-12.000,-0.7506,0.04075,0.03335,-0.0867,0.7995,0.0554
-11.750,-0.7241,0.03843,0.03092,-0.0876,0.7962,0.0561
-11.500,-0.7002,0.03696,0.02937,-0.0877,0.7932,0.0570
-11.250,-0.6779,0.03552,0.02780,-0.0877,0.7895,0.0575
-11.000,-0.6532,0.03413,0.02629,-0.0880,0.7856,0.0580
-10.750,-0.6285,0.03294,0.02497,-0.0882,0.7820,0.0588
-10.500,-0.6044,0.03186,0.02376,-0.0881,0.7789,0.0598
-10.250,-0.5771,0.03080,0.02254,-0.0883,0.7762,0.0605
-10.000,-0.5482,0.02987,0.02146,-0.0885,0.7738,0.0611
-9.750,-0.5193,0.02909,0.02058,-0.0890,0.7706,0.0619
-9.500,-0.4868,0.02828,0.01973,-0.0898,0.7669,0.0627
-9.250,-0.4522,0.02744,0.01900,-0.0907,0.7638,0.0641
-9.000,-0.4289,0.02682,0.01841,-0.0904,0.7608,0.0657
-8.750,-0.4079,0.02623,0.01780,-0.0898,0.7583,0.0674
-8.500,-0.3886,0.02568,0.01719,-0.0889,0.7560,0.0691
-8.250,-0.3702,0.02521,0.01664,-0.0879,0.7536,0.0708
-8.000,-0.3560,0.02446,0.01601,-0.0869,0.7502,0.0727
-7.750,-0.3435,0.02385,0.01544,-0.0856,0.7468,0.0751
-7.500,-0.3313,0.02327,0.01484,-0.0840,0.7436,0.0779
-7.250,-0.3216,0.02266,0.01419,-0.0818,0.7408,0.0811
-7.000,-0.3173,0.02204,0.01358,-0.0788,0.7383,0.0853
-6.750,-0.3117,0.02166,0.01314,-0.0756,0.7362,0.0919
-6.500,-0.3093,0.02131,0.01291,-0.0723,0.7332,0.1043
-6.250,-0.3128,0.02063,0.01261,-0.0684,0.7295,0.1496
-6.000,-0.3260,0.01943,0.01211,-0.0630,0.7260,0.2684
-5.750,-0.3373,0.01825,0.01183,-0.0573,0.7231,0.4291
-5.500,-0.3219,0.01822,0.01205,-0.0550,0.7209,0.5194
-5.250,-0.2989,0.01836,0.01215,-0.0539,0.7191,0.5527
-5.000,-0.2737,0.01861,0.01235,-0.0531,0.7175,0.5751
-4.750,-0.2546,0.01925,0.01299,-0.0520,0.7142,0.5912
-4.500,-0.2375,0.01995,0.01367,-0.0508,0.7102,0.6047
-4.250,-0.2146,0.02052,0.01428,-0.0500,0.7074,0.6171
-4.000,-0.1902,0.02103,0.01479,-0.0491,0.7052,0.6320
-3.750,-0.1643,0.02142,0.01514,-0.0484,0.7034,0.6470
-3.500,-0.1357,0.02189,0.01561,-0.0478,0.7018,0.6598
-3.250,-0.1058,0.02244,0.01618,-0.0472,0.7004,0.6716
-3.000,-0.0799,0.02282,0.01649,-0.0465,0.6992,0.6842
-2.750,-0.0884,0.02483,0.01870,-0.0423,0.6916,0.6890
-2.500,-0.0745,0.02548,0.01934,-0.0407,0.6879,0.6943
-2.250,-0.0508,0.02545,0.01922,-0.0404,0.6858,0.7002
-2.000,-0.0231,0.02529,0.01898,-0.0406,0.6844,0.7045
-1.750,0.0068,0.02526,0.01890,-0.0409,0.6833,0.7076
-1.500,-0.0754,0.02954,0.02336,-0.0279,0.6688,0.7128
-1.250,-0.0507,0.02961,0.02336,-0.0279,0.6670,0.7171
-1.000,-0.0220,0.02957,0.02321,-0.0285,0.6658,0.7218
-0.750,0.0103,0.02947,0.02308,-0.0293,0.6649,0.7248
-0.500,-0.0605,0.03335,0.02706,-0.0181,0.6529,0.7293
-0.250,-0.0411,0.03381,0.02749,-0.0175,0.6506,0.7331
0.000,-0.0153,0.03402,0.02764,-0.0177,0.6489,0.7377
0.250,0.0154,0.03403,0.02756,-0.0185,0.6477,0.7424
0.500,0.0497,0.03385,0.02737,-0.0193,0.6467,0.7454
0.750,0.0847,0.03369,0.02720,-0.0203,0.6459,0.7486
1.000,0.1210,0.03350,0.02699,-0.0214,0.6452,0.7525
1.250,0.1579,0.03332,0.02677,-0.0227,0.6447,0.7572
1.500,0.0854,0.03761,0.03110,-0.0129,0.6304,0.7639
1.750,0.1164,0.03767,0.03118,-0.0134,0.6293,0.7677
2.000,0.0972,0.03987,0.03342,-0.0092,0.6213,0.7730
2.250,0.1089,0.04072,0.03425,-0.0081,0.6170,0.7787
2.500,0.1354,0.04094,0.03445,-0.0083,0.6147,0.7838
2.750,0.1663,0.04095,0.03450,-0.0087,0.6130,0.7883
3.000,0.1997,0.04089,0.03445,-0.0093,0.6118,0.7940
3.250,0.2369,0.04069,0.03423,-0.0105,0.6109,0.8003
3.500,0.2719,0.04059,0.03415,-0.0113,0.6101,0.8054
3.750,0.2304,0.04357,0.03721,-0.0053,0.5966,0.8131
4.000,0.2630,0.04354,0.03717,-0.0059,0.5952,0.8202
4.250,0.2961,0.04342,0.03710,-0.0064,0.5941,0.8261
4.500,0.3317,0.04320,0.03692,-0.0071,0.5933,0.8331
4.750,0.3013,0.04580,0.03957,-0.0024,0.5800,0.8432
5.000,0.3320,0.04566,0.03949,-0.0025,0.5784,0.8515
5.250,0.3666,0.04535,0.03921,-0.0030,0.5773,0.8608
5.500,0.4002,0.04506,0.03898,-0.0033,0.5764,0.8697
