Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nlf0115-il-50000
Airfoil,nlf0115-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,30.7358
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-nlf0115-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.3575,0.12529,0.11804,-0.0305,1.0000,0.2934
-10.750,-0.3585,0.12271,0.11554,-0.0299,1.0000,0.3061
-9.750,-0.3481,0.11241,0.10549,-0.0253,1.0000,0.3678
-9.500,-0.3387,0.10947,0.10260,-0.0239,1.0000,0.3848
-9.250,-0.3294,0.10673,0.09991,-0.0225,1.0000,0.4024
-9.000,-0.3215,0.10419,0.09742,-0.0208,1.0000,0.4219
-8.500,-0.3218,0.10012,0.09352,-0.0166,1.0000,0.4617
-7.750,-0.4609,0.08469,0.07874,-0.0232,1.0000,0.3083
-7.500,-0.5196,0.08110,0.07540,-0.0214,1.0000,0.2924
-7.250,-0.5677,0.07910,0.07358,-0.0170,1.0000,0.2923
-7.000,-0.6188,0.07631,0.07089,-0.0135,1.0000,0.2901
-6.750,-0.6736,0.07316,0.06770,-0.0107,1.0000,0.2872
-6.500,-0.7022,0.06426,0.05796,-0.0146,1.0000,0.2009
-6.250,-0.7090,0.05939,0.05198,-0.0134,1.0000,0.1585
-6.000,-0.6994,0.05565,0.04774,-0.0117,1.0000,0.1424
-5.750,-0.6879,0.05207,0.04385,-0.0102,1.0000,0.1337
-5.500,-0.6742,0.04955,0.04075,-0.0084,1.0000,0.1255
-5.250,-0.6591,0.04683,0.03769,-0.0069,1.0000,0.1211
-5.000,-0.6421,0.04451,0.03478,-0.0052,1.0000,0.1163
-4.750,-0.6241,0.04276,0.03253,-0.0036,1.0000,0.1150
-4.500,-0.6051,0.04086,0.03046,-0.0025,1.0000,0.1163
-4.250,-0.5851,0.03926,0.02866,-0.0013,1.0000,0.1176
-4.000,-0.5640,0.03780,0.02700,-0.0001,1.0000,0.1186
-3.750,-0.5419,0.03651,0.02554,0.0011,1.0000,0.1199
-3.500,-0.0995,0.04027,0.03188,-0.0317,1.0000,1.0000
-3.250,-0.0982,0.04027,0.03173,-0.0293,1.0000,1.0000
-3.000,-0.0961,0.04026,0.03159,-0.0270,1.0000,1.0000
-2.750,-0.0934,0.04026,0.03145,-0.0248,1.0000,1.0000
-2.500,-0.0901,0.04026,0.03132,-0.0226,1.0000,1.0000
-2.250,-0.0863,0.04026,0.03119,-0.0205,1.0000,1.0000
-2.000,-0.0822,0.04027,0.03108,-0.0183,1.0000,1.0000
-1.750,-0.0778,0.04029,0.03099,-0.0163,1.0000,1.0000
-1.500,-0.0732,0.04030,0.03091,-0.0142,1.0000,1.0000
-1.250,-0.0684,0.04033,0.03082,-0.0121,1.0000,1.0000
-1.000,-0.0635,0.04036,0.03077,-0.0101,1.0000,1.0000
-0.750,-0.0585,0.04039,0.03072,-0.0080,1.0000,1.0000
-0.500,-0.0536,0.04043,0.03068,-0.0059,1.0000,1.0000
-0.250,-0.0487,0.04047,0.03065,-0.0039,1.0000,1.0000
0.000,-0.0438,0.04051,0.03063,-0.0018,1.0000,1.0000
0.250,-0.0392,0.04055,0.03061,0.0003,1.0000,1.0000
0.500,-0.0348,0.04059,0.03059,0.0024,1.0000,1.0000
0.750,-0.0306,0.04062,0.03058,0.0045,1.0000,1.0000
1.000,-0.0268,0.04065,0.03057,0.0067,1.0000,1.0000
1.250,-0.0233,0.04067,0.03056,0.0089,1.0000,1.0000
1.500,-0.0204,0.04067,0.03053,0.0112,1.0000,1.0000
1.750,-0.0180,0.04065,0.03049,0.0135,1.0000,1.0000
2.000,-0.0162,0.04060,0.03043,0.0158,1.0000,1.0000
2.250,-0.0152,0.04053,0.03034,0.0182,1.0000,1.0000
