Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nn7mk20-il-100000
Airfoil,nn7mk20-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,44.1582
Max Cl/Cd alpha,10
Url,http://airfoiltools.com/polar/csv?polar=xf-nn7mk20-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.3534,0.11831,0.11394,-0.0546,1.0000,0.1302
-11.000,-0.3984,0.11928,0.11510,-0.0499,1.0000,0.1306
-10.750,-0.4236,0.11779,0.11375,-0.0468,1.0000,0.1314
-10.500,-0.4011,0.11644,0.11238,-0.0411,1.0000,0.1337
-10.250,-0.3781,0.11236,0.10827,-0.0443,0.9960,0.1399
-10.000,-0.3840,0.10612,0.10207,-0.0517,0.9903,0.1480
-9.750,-0.3597,0.10266,0.09857,-0.0539,0.9859,0.1559
-9.500,-0.3474,0.09810,0.09402,-0.0581,0.9818,0.1663
-8.500,-0.5280,0.05441,0.04885,-0.0903,0.9341,0.0676
-8.250,-0.5255,0.04959,0.04296,-0.0905,0.9271,0.0602
-8.000,-0.5168,0.04640,0.03952,-0.0894,0.9200,0.0594
-7.750,-0.4979,0.04339,0.03609,-0.0897,0.9143,0.0595
-7.500,-0.4681,0.04044,0.03256,-0.0916,0.9110,0.0614
-7.250,-0.4629,0.03859,0.03062,-0.0888,0.9033,0.0628
-7.000,-0.4331,0.03640,0.02823,-0.0897,0.8991,0.0650
-6.750,-0.3942,0.03444,0.02604,-0.0918,0.8964,0.0690
-6.500,-0.3874,0.03405,0.02541,-0.0886,0.8885,0.0727
-6.250,-0.3583,0.03228,0.02372,-0.0889,0.8847,0.0783
-6.000,-0.3202,0.03114,0.02243,-0.0907,0.8817,0.0877
-5.500,-0.2911,0.02972,0.02121,-0.0866,0.8698,0.1040
-5.250,-0.2602,0.02858,0.02023,-0.0873,0.8667,0.1206
-5.000,-0.2596,0.02827,0.02005,-0.0835,0.8593,0.1365
-4.750,-0.2503,0.02548,0.01873,-0.0832,0.8540,0.3239
-4.500,-0.2235,0.02751,0.02174,-0.0791,0.8507,0.5739
-4.250,-0.2256,0.02877,0.02288,-0.0738,0.8423,0.5963
-4.000,-0.1997,0.03071,0.02473,-0.0706,0.8379,0.6164
-3.750,-0.1649,0.03284,0.02675,-0.0680,0.8352,0.6431
-3.500,-0.1789,0.03399,0.02790,-0.0609,0.8258,0.6570
-3.250,-0.1566,0.03562,0.02948,-0.0559,0.8220,0.6758
-3.000,-0.1479,0.03629,0.03007,-0.0521,0.8162,0.6901
-2.750,-0.1391,0.03675,0.03044,-0.0488,0.8098,0.7040
-2.500,-0.1107,0.03700,0.03056,-0.0474,0.8063,0.7195
-2.250,-0.1106,0.03739,0.03088,-0.0438,0.7990,0.7321
-2.000,-0.0952,0.03745,0.03087,-0.0411,0.7937,0.7417
-1.750,-0.0621,0.03722,0.03049,-0.0416,0.7905,0.7527
-1.500,-0.0680,0.03762,0.03085,-0.0376,0.7823,0.7633
-1.250,-0.0430,0.03751,0.03062,-0.0374,0.7774,0.7737
-1.000,-0.0064,0.03712,0.03010,-0.0385,0.7746,0.7808
-0.750,-0.0129,0.03771,0.03065,-0.0353,0.7653,0.7880
