Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-oaf117-il-1000000
Airfoil,oaf117-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,96.8393
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-oaf117-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.000,-1.2517,0.07922,0.07628,0.0022,1.0000,0.0160
-15.750,-1.2887,0.06971,0.06663,-0.0036,1.0000,0.0160
-15.500,-1.3273,0.05997,0.05674,-0.0098,1.0000,0.0159
-15.250,-1.3639,0.05024,0.04684,-0.0166,1.0000,0.0158
-15.000,-1.3944,0.04068,0.03708,-0.0248,1.0000,0.0158
-14.750,-1.3931,0.03314,0.02929,-0.0362,1.0000,0.0160
-14.500,-1.3784,0.03089,0.02693,-0.0381,1.0000,0.0163
-14.250,-1.3604,0.02922,0.02516,-0.0392,1.0000,0.0166
-14.000,-1.3405,0.02782,0.02366,-0.0400,1.0000,0.0170
-13.750,-1.3190,0.02660,0.02234,-0.0406,1.0000,0.0174
-13.500,-1.2963,0.02555,0.02119,-0.0410,1.0000,0.0177
-13.250,-1.2727,0.02459,0.02013,-0.0414,1.0000,0.0180
-13.000,-1.2513,0.02294,0.01840,-0.0423,1.0000,0.0187
-12.750,-1.2263,0.02209,0.01750,-0.0426,1.0000,0.0193
-12.500,-1.2004,0.02140,0.01677,-0.0429,1.0000,0.0198
-12.250,-1.1742,0.02074,0.01604,-0.0432,1.0000,0.0204
-12.000,-1.1476,0.02010,0.01534,-0.0435,1.0000,0.0209
-11.750,-1.1205,0.01958,0.01473,-0.0437,1.0000,0.0213
-11.500,-1.0946,0.01841,0.01350,-0.0443,1.0000,0.0222
-11.250,-1.0672,0.01780,0.01286,-0.0447,1.0000,0.0229
-11.000,-1.0394,0.01729,0.01231,-0.0450,1.0000,0.0236
-10.750,-1.0113,0.01683,0.01181,-0.0452,1.0000,0.0244
-10.500,-0.9830,0.01647,0.01139,-0.0454,1.0000,0.0250
-10.250,-0.9550,0.01567,0.01054,-0.0459,1.0000,0.0261
-10.000,-0.9265,0.01517,0.01003,-0.0463,1.0000,0.0270
-9.750,-0.8977,0.01477,0.00960,-0.0466,1.0000,0.0279
-9.500,-0.8688,0.01443,0.00922,-0.0468,1.0000,0.0288
-9.250,-0.8397,0.01403,0.00878,-0.0471,1.0000,0.0297
-9.000,-0.8106,0.01343,0.00817,-0.0476,1.0000,0.0311
