Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-pfcm-il-100000
Airfoil,pfcm-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,46.9508
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-pfcm-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.5628,0.09756,0.09275,-0.0114,1.0000,0.0892
-8.500,-0.5758,0.09306,0.08836,-0.0196,1.0000,0.0913
-8.250,-0.5911,0.08792,0.08314,-0.0306,1.0000,0.0920
-8.000,-0.5659,0.08463,0.07999,-0.0195,1.0000,0.0971
-7.750,-0.5646,0.07998,0.07535,-0.0242,1.0000,0.1017
-7.500,-0.5840,0.07551,0.07044,-0.0369,1.0000,0.1058
-7.250,-0.5181,0.05869,0.05419,-0.0368,1.0000,0.1202
-7.000,-0.5658,0.06621,0.06112,-0.0377,1.0000,0.1202
-6.750,-0.5479,0.06252,0.05771,-0.0343,1.0000,0.1273
-6.500,-0.5401,0.05890,0.05398,-0.0350,1.0000,0.1404
-6.000,-0.5233,0.05227,0.04716,-0.0356,1.0000,0.1776
-5.750,-0.5108,0.04945,0.04437,-0.0341,1.0000,0.1955
-5.500,-0.5006,0.04679,0.04170,-0.0327,1.0000,0.2220
-5.250,-0.4895,0.04450,0.03946,-0.0306,1.0000,0.2526
-5.000,-0.4449,0.03678,0.02957,-0.0366,1.0000,0.1332
-4.750,-0.4128,0.02952,0.02147,-0.0348,1.0000,0.0729
-4.500,-0.3876,0.02731,0.01842,-0.0329,1.0000,0.0658
-4.250,-0.3662,0.02472,0.01576,-0.0322,1.0000,0.0691
-4.000,-0.3421,0.02285,0.01354,-0.0310,1.0000,0.0687
-3.750,-0.3176,0.02116,0.01162,-0.0298,1.0000,0.0689
-3.500,-0.2935,0.01973,0.01011,-0.0288,1.0000,0.0711
-3.250,-0.2697,0.01857,0.00889,-0.0278,1.0000,0.0756
-3.000,-0.2467,0.01740,0.00783,-0.0271,1.0000,0.0862
-2.750,-0.2232,0.01632,0.00680,-0.0263,1.0000,0.0992
-2.500,-0.1965,0.01334,0.00549,-0.0272,1.0000,0.3930
-2.250,-0.1926,0.01233,0.00595,-0.0195,1.0000,0.8072
-2.000,-0.1799,0.01220,0.00597,-0.0143,1.0000,0.9039
-1.750,-0.1175,0.01223,0.00575,-0.0205,1.0000,1.0000
-1.500,-0.1063,0.01217,0.00549,-0.0191,1.0000,1.0000
-1.250,-0.0860,0.01224,0.00533,-0.0190,1.0000,1.0000
-1.000,-0.0637,0.01239,0.00530,-0.0191,1.0000,1.0000
-0.750,-0.0410,0.01259,0.00534,-0.0193,1.0000,1.0000
-0.500,-0.0182,0.01284,0.00546,-0.0194,1.0000,1.0000
-0.250,0.0045,0.01312,0.00563,-0.0195,1.0000,1.0000
0.000,0.0271,0.01345,0.00585,-0.0197,1.0000,1.0000
0.250,0.0506,0.01382,0.00615,-0.0201,0.9996,1.0000
0.500,0.0965,0.01422,0.00648,-0.0247,0.9915,1.0000
0.750,0.1427,0.01462,0.00686,-0.0293,0.9836,1.0000
1.000,0.1848,0.01497,0.00720,-0.0330,0.9740,1.0000
1.250,0.2282,0.01532,0.00758,-0.0369,0.9652,1.0000
1.500,0.2727,0.01564,0.00795,-0.0409,0.9565,1.0000
1.750,0.3111,0.01594,0.00834,-0.0436,0.9456,1.0000
2.000,0.3513,0.01622,0.00873,-0.0466,0.9355,1.0000
2.250,0.3998,0.01638,0.00905,-0.0510,0.9275,1.0000
2.500,0.4388,0.01655,0.00941,-0.0534,0.9154,1.0000
2.750,0.4784,0.01660,0.00965,-0.0556,0.9024,1.0000
3.000,0.5248,0.01610,0.00940,-0.0576,0.8855,1.0000
3.250,0.5586,0.01455,0.00803,-0.0539,0.8442,1.0000
3.500,0.5782,0.01365,0.00719,-0.0488,0.7975,1.0000
3.750,0.5979,0.01311,0.00666,-0.0446,0.7420,1.0000
4.000,0.6113,0.01302,0.00608,-0.0387,0.5849,1.0000
4.250,0.6064,0.01726,0.00732,-0.0331,0.1142,1.0000
4.500,0.6259,0.01879,0.00873,-0.0315,0.0889,1.0000
4.750,0.6469,0.02032,0.01022,-0.0300,0.0794,1.0000
5.000,0.6700,0.02207,0.01188,-0.0291,0.0710,1.0000
5.250,0.6964,0.02361,0.01352,-0.0284,0.0656,1.0000
5.500,0.7239,0.02562,0.01562,-0.0278,0.0630,1.0000
5.750,0.7518,0.02804,0.01822,-0.0271,0.0622,1.0000
6.000,0.7778,0.03111,0.02150,-0.0266,0.0607,1.0000
6.250,0.8009,0.03403,0.02492,-0.0254,0.0589,1.0000
6.500,0.8258,0.03703,0.02829,-0.0243,0.0609,1.0000
6.750,0.8465,0.04182,0.03395,-0.0219,0.0711,1.0000
10.500,0.6768,0.11450,0.11012,-0.0216,0.1255,1.0000
10.750,0.6468,0.11959,0.11509,-0.0270,0.1223,1.0000
