Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-psu-90-125wl-il-1000000
Airfoil,psu-90-125wl-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,115.699
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-psu-90-125wl-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-0.7718,0.03842,0.03565,-0.0784,1.0000,0.0103
-11.500,-0.7962,0.03620,0.03328,-0.0748,1.0000,0.0102
-11.250,-0.8163,0.03479,0.03179,-0.0697,0.9995,0.0103
-11.000,-0.7990,0.03132,0.02805,-0.0730,0.9956,0.0104
-10.750,-0.7751,0.02963,0.02626,-0.0751,0.9925,0.0106
-10.500,-0.7523,0.02766,0.02412,-0.0768,0.9884,0.0108
-10.250,-0.7265,0.02566,0.02193,-0.0788,0.9855,0.0110
-10.000,-0.6963,0.02442,0.02059,-0.0809,0.9836,0.0113
-9.750,-0.6733,0.02307,0.01908,-0.0813,0.9770,0.0117
-9.500,-0.6447,0.02155,0.01737,-0.0828,0.9728,0.0121
-9.250,-0.6203,0.02012,0.01576,-0.0832,0.9640,0.0122
-9.000,-0.5914,0.01887,0.01434,-0.0842,0.9564,0.0124
-8.750,-0.5650,0.01776,0.01308,-0.0846,0.9444,0.0126
-8.500,-0.5385,0.01708,0.01227,-0.0848,0.9308,0.0128
-8.250,-0.5141,0.01639,0.01143,-0.0844,0.9163,0.0129
-8.000,-0.4912,0.01565,0.01055,-0.0838,0.9024,0.0130
-7.750,-0.4733,0.01405,0.00879,-0.0824,0.8892,0.0134
-7.500,-0.4524,0.01319,0.00783,-0.0815,0.8784,0.0137
-7.250,-0.4296,0.01261,0.00717,-0.0808,0.8689,0.0141
-7.000,-0.4054,0.01219,0.00670,-0.0803,0.8603,0.0147
-6.750,-0.3811,0.01177,0.00619,-0.0798,0.8526,0.0151
-6.500,-0.3565,0.01134,0.00570,-0.0793,0.8451,0.0155
-6.000,-0.3060,0.01062,0.00484,-0.0785,0.8317,0.0163
