Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-pw98mod-pw-500000
Airfoil,pw98mod-pw
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,71.1436
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-pw98mod-pw-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-20.000,-0.8839,0.27024,0.26789,0.1103,1.0000,0.0083
-19.750,-0.8749,0.26713,0.26478,0.1080,1.0000,0.0083
-19.500,-0.8660,0.26400,0.26164,0.1058,1.0000,0.0083
-19.250,-0.8570,0.26084,0.25849,0.1036,1.0000,0.0083
-19.000,-0.8481,0.25766,0.25531,0.1015,1.0000,0.0083
-18.750,-0.8391,0.25446,0.25211,0.0993,1.0000,0.0083
-18.500,-0.8302,0.25123,0.24889,0.0971,1.0000,0.0083
-18.250,-0.8213,0.24798,0.24563,0.0950,1.0000,0.0084
-18.000,-0.8125,0.24470,0.24236,0.0929,1.0000,0.0084
-17.750,-0.8036,0.24139,0.23905,0.0908,1.0000,0.0084
-17.500,-0.7948,0.23805,0.23572,0.0888,1.0000,0.0084
-17.250,-0.7861,0.23469,0.23236,0.0867,1.0000,0.0084
-17.000,-0.7774,0.23133,0.22900,0.0847,1.0000,0.0084
-16.750,-0.7688,0.22792,0.22559,0.0827,1.0000,0.0084
-16.500,-0.7602,0.22446,0.22214,0.0807,1.0000,0.0084
-16.250,-0.7517,0.22099,0.21867,0.0788,1.0000,0.0084
-16.000,-0.7432,0.21749,0.21518,0.0768,1.0000,0.0085
-15.750,-0.7348,0.21394,0.21160,0.0749,1.0000,0.0085
-15.500,-0.7266,0.21037,0.20803,0.0730,1.0000,0.0085
-15.250,-0.7185,0.20678,0.20445,0.0711,1.0000,0.0085
-15.000,-0.7105,0.20316,0.20084,0.0693,1.0000,0.0085
-14.750,-0.7027,0.19953,0.19721,0.0674,1.0000,0.0085
-14.500,-0.6950,0.19587,0.19356,0.0656,1.0000,0.0085
-14.250,-0.6875,0.19216,0.18986,0.0639,1.0000,0.0085
-14.000,-0.6800,0.18842,0.18613,0.0621,1.0000,0.0085
-13.750,-0.6728,0.18464,0.18235,0.0604,1.0000,0.0085
-13.500,-0.6659,0.18085,0.17857,0.0587,1.0000,0.0085
-13.250,-0.6591,0.17701,0.17474,0.0570,1.0000,0.0085
-13.000,-0.6526,0.17316,0.17089,0.0554,1.0000,0.0085
-12.750,-0.6463,0.16924,0.16699,0.0537,1.0000,0.0085
-12.500,-0.6402,0.16528,0.16304,0.0521,1.0000,0.0085
-12.250,-0.6344,0.16129,0.15905,0.0505,1.0000,0.0085
-12.000,-0.6289,0.15726,0.15504,0.0489,1.0000,0.0085
-11.750,-0.6236,0.15319,0.15097,0.0474,1.0000,0.0085
-11.500,-0.6187,0.14903,0.14682,0.0458,1.0000,0.0085
-11.250,-0.6142,0.14479,0.14259,0.0443,1.0000,0.0085
-11.000,-0.6107,0.14036,0.13818,0.0428,1.0000,0.0084
-10.750,-0.6117,0.13481,0.13264,0.0414,1.0000,0.0078
-10.500,-0.6113,0.12996,0.12781,0.0398,1.0000,0.0073
-10.250,-0.6095,0.12548,0.12334,0.0382,1.0000,0.0069
-10.000,-0.6078,0.12100,0.11887,0.0364,1.0000,0.0066
-9.750,-0.6064,0.11645,0.11435,0.0345,1.0000,0.0064
-9.500,-0.6052,0.11186,0.10977,0.0325,1.0000,0.0061
-9.250,-0.6046,0.10713,0.10506,0.0303,1.0000,0.0059
-9.000,-0.6045,0.10232,0.10027,0.0279,1.0000,0.0057
-8.750,-0.6052,0.09732,0.09529,0.0252,1.0000,0.0055
-8.500,-0.6068,0.09208,0.09009,0.0221,1.0000,0.0054
-8.250,-0.6090,0.08670,0.08473,0.0184,1.0000,0.0052
-8.000,-0.6125,0.08080,0.07886,0.0131,1.0000,0.0051
-7.750,-0.6129,0.07337,0.07143,0.0044,1.0000,0.0049
-7.500,-0.6100,0.06492,0.06289,-0.0036,1.0000,0.0047
-7.250,-0.6063,0.05528,0.05307,-0.0099,1.0000,0.0045
-7.000,-0.6059,0.04188,0.03919,-0.0143,1.0000,0.0042
-6.750,-0.6151,0.02266,0.01840,-0.0133,1.0000,0.0040
-6.500,-0.5948,0.01891,0.01407,-0.0124,1.0000,0.0043
-6.250,-0.5706,0.01695,0.01176,-0.0118,1.0000,0.0048
-6.000,-0.5436,0.01658,0.01132,-0.0118,1.0000,0.0058
-5.750,-0.5152,0.01707,0.01190,-0.0120,1.0000,0.0070
-5.500,-0.4873,0.01723,0.01208,-0.0121,1.0000,0.0076
-5.250,-0.4625,0.01522,0.00969,-0.0115,1.0000,0.0075
-5.000,-0.4362,0.01421,0.00850,-0.0112,1.0000,0.0075
-4.750,-0.4093,0.01363,0.00773,-0.0111,1.0000,0.0077
-4.500,-0.3827,0.01300,0.00700,-0.0109,1.0000,0.0077
-4.250,-0.3514,0.01254,0.00648,-0.0117,0.9927,0.0079
-4.000,-0.3158,0.01218,0.00606,-0.0134,0.9750,0.0081
-3.750,-0.2851,0.01202,0.00587,-0.0138,0.9544,0.0083
-3.500,-0.2609,0.01189,0.00569,-0.0127,0.9306,0.0084
-3.250,-0.2371,0.01223,0.00605,-0.0116,0.9072,0.0088
-3.000,-0.2145,0.01134,0.00498,-0.0101,0.8850,0.0090
-2.750,-0.1909,0.01063,0.00411,-0.0089,0.8630,0.0094
-2.500,-0.1660,0.01009,0.00343,-0.0081,0.8408,0.0099
-2.250,-0.1402,0.00971,0.00291,-0.0074,0.8188,0.0108
-2.000,-0.1139,0.00949,0.00261,-0.0069,0.7972,0.0146
-1.750,-0.0868,0.00932,0.00229,-0.0065,0.7753,0.0159
-1.500,-0.0595,0.00917,0.00200,-0.0061,0.7546,0.0159
-1.250,-0.0319,0.00908,0.00178,-0.0058,0.7341,0.0162
-1.000,-0.0041,0.00902,0.00159,-0.0056,0.7144,0.0169
-0.750,0.0237,0.00898,0.00146,-0.0054,0.6950,0.0183
-0.500,0.0509,0.00867,0.00133,-0.0052,0.6765,0.0872
-0.250,0.0766,0.00795,0.00125,-0.0052,0.6582,0.2873
0.000,0.0987,0.00677,0.00120,-0.0046,0.6411,0.6256
0.500,0.1848,0.00608,0.00144,-0.0097,0.6016,1.0000
0.750,0.2118,0.00615,0.00142,-0.0095,0.5833,1.0000
1.000,0.2388,0.00623,0.00141,-0.0093,0.5651,1.0000
1.250,0.2656,0.00633,0.00141,-0.0091,0.5477,1.0000
1.500,0.2925,0.00642,0.00142,-0.0089,0.5300,1.0000
1.750,0.3193,0.00653,0.00143,-0.0087,0.5124,1.0000
2.000,0.3461,0.00665,0.00146,-0.0085,0.4952,1.0000
2.250,0.3729,0.00676,0.00150,-0.0083,0.4776,1.0000
2.500,0.3996,0.00689,0.00157,-0.0080,0.4601,1.0000
2.750,0.4262,0.00703,0.00163,-0.0078,0.4429,1.0000
3.000,0.4530,0.00717,0.00170,-0.0076,0.4254,1.0000
3.250,0.4797,0.00732,0.00178,-0.0074,0.4078,1.0000
3.750,0.5333,0.00765,0.00198,-0.0071,0.3742,1.0000
4.000,0.5599,0.00787,0.00208,-0.0069,0.3500,1.0000
4.250,0.5855,0.00834,0.00222,-0.0068,0.2812,1.0000
4.500,0.6113,0.00878,0.00239,-0.0068,0.2322,1.0000
4.750,0.6374,0.00916,0.00257,-0.0067,0.1960,1.0000
5.000,0.6635,0.00954,0.00279,-0.0066,0.1661,1.0000
5.250,0.6890,0.01009,0.00308,-0.0065,0.1233,1.0000
5.500,0.7141,0.01075,0.00347,-0.0064,0.0789,1.0000
5.750,0.7399,0.01122,0.00382,-0.0063,0.0560,1.0000
6.000,0.7654,0.01173,0.00421,-0.0062,0.0350,1.0000
6.250,0.7915,0.01211,0.00456,-0.0061,0.0255,1.0000
6.500,0.8169,0.01267,0.00506,-0.0059,0.0079,1.0000
6.750,0.8428,0.01309,0.00546,-0.0058,0.0041,1.0000
7.000,0.8690,0.01341,0.00581,-0.0056,0.0033,1.0000
7.250,0.8951,0.01378,0.00638,-0.0054,0.0030,1.0000
7.500,0.9210,0.01420,0.00687,-0.0052,0.0029,1.0000
7.750,0.9466,0.01465,0.00743,-0.0050,0.0028,1.0000
8.000,0.9719,0.01516,0.00805,-0.0048,0.0028,1.0000
8.250,0.9968,0.01573,0.00875,-0.0045,0.0028,1.0000
8.500,1.0212,0.01639,0.00956,-0.0041,0.0029,1.0000
8.750,1.0448,0.01716,0.01047,-0.0038,0.0029,1.0000
9.000,1.0676,0.01804,0.01151,-0.0033,0.0030,1.0000
9.250,1.0894,0.01904,0.01266,-0.0028,0.0030,1.0000
9.500,1.1101,0.02015,0.01394,-0.0022,0.0031,1.0000
9.750,1.1295,0.02139,0.01534,-0.0016,0.0032,1.0000
10.000,1.1475,0.02276,0.01688,-0.0008,0.0033,1.0000
10.250,1.1633,0.02432,0.01869,0.0000,0.0034,1.0000
10.500,1.1770,0.02607,0.02064,0.0010,0.0035,1.0000
10.750,1.1877,0.02807,0.02285,0.0022,0.0037,1.0000
11.000,1.1943,0.03040,0.02542,0.0035,0.0038,1.0000
11.250,1.1946,0.03303,0.02828,0.0051,0.0040,1.0000
11.500,1.1903,0.03609,0.03158,0.0062,0.0041,1.0000
11.750,1.1836,0.03977,0.03550,0.0061,0.0042,1.0000
12.000,1.1752,0.04404,0.04001,0.0050,0.0043,1.0000
12.250,1.1646,0.04901,0.04521,0.0030,0.0044,1.0000
12.500,1.1527,0.05448,0.05089,0.0002,0.0045,1.0000
12.750,1.1395,0.06044,0.05705,-0.0032,0.0045,1.0000
13.000,1.1247,0.06691,0.06370,-0.0071,0.0046,1.0000
13.250,1.1092,0.07375,0.07070,-0.0112,0.0046,1.0000
13.500,1.0934,0.08082,0.07791,-0.0154,0.0046,1.0000
13.750,1.0764,0.08836,0.08558,-0.0199,0.0046,1.0000
14.000,1.0596,0.09608,0.09342,-0.0243,0.0046,1.0000
14.250,1.0430,0.10419,0.10164,-0.0289,0.0045,1.0000
14.500,1.0267,0.11252,0.11006,-0.0335,0.0045,1.0000
14.750,1.0094,0.12141,0.11905,-0.0383,0.0045,1.0000
15.000,0.9925,0.13052,0.12824,-0.0431,0.0044,1.0000
15.250,0.9756,0.14008,0.13786,-0.0479,0.0044,1.0000
15.500,0.9574,0.15041,0.14826,-0.0530,0.0043,1.0000
16.000,0.9099,0.17764,0.17545,-0.0649,0.0045,1.0000
16.250,0.8996,0.18843,0.18619,-0.0694,0.0048,1.0000
16.500,0.8975,0.19637,0.19411,-0.0730,0.0052,1.0000
16.750,0.8990,0.20284,0.20056,-0.0760,0.0055,1.0000
17.000,0.9024,0.20855,0.20626,-0.0787,0.0059,1.0000
17.250,0.9067,0.21377,0.21147,-0.0813,0.0064,1.0000
17.500,0.9115,0.21870,0.21638,-0.0838,0.0068,1.0000
17.750,0.6668,0.18954,0.18745,-0.0484,0.0055,1.0000
18.000,0.6656,0.19351,0.19141,-0.0497,0.0058,1.0000
18.250,0.6653,0.19728,0.19518,-0.0511,0.0062,1.0000
18.500,0.6657,0.20086,0.19876,-0.0524,0.0066,1.0000
18.750,0.6661,0.20439,0.20229,-0.0536,0.0071,1.0000
