Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-r1046-il-100000
Airfoil,r1046-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,12.9918
Max Cl/Cd alpha,19
Url,http://airfoiltools.com/polar/csv?polar=xf-r1046-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.500,-0.0124,0.14762,0.14202,-0.1008,0.8110,0.0634
-14.250,-0.0117,0.14606,0.14047,-0.1032,0.8058,0.0652
-14.000,-0.0213,0.14610,0.14052,-0.1061,0.8016,0.0658
-13.750,-0.0057,0.14131,0.13567,-0.1068,0.7969,0.0665
-13.500,0.0154,0.13682,0.13113,-0.1068,0.7920,0.0682
-13.250,0.0256,0.13411,0.12843,-0.1078,0.7875,0.0700
-13.000,0.0329,0.13163,0.12592,-0.1091,0.7836,0.0722
-12.750,0.0321,0.12997,0.12426,-0.1111,0.7805,0.0750
-12.500,0.0185,0.12982,0.12412,-0.1142,0.7781,0.0760
-12.250,0.0377,0.12481,0.11911,-0.1143,0.7747,0.0772
-12.000,0.0582,0.12131,0.11560,-0.1141,0.7709,0.0805
-11.750,0.0646,0.11899,0.11329,-0.1152,0.7679,0.0839
-11.500,0.0628,0.11732,0.11163,-0.1172,0.7651,0.0863
-11.250,0.0385,0.11753,0.11191,-0.1215,0.7629,0.0877
-11.000,0.0720,0.11161,0.10589,-0.1193,0.7602,0.0898
-10.750,0.0863,0.10889,0.10320,-0.1195,0.7571,0.0926
-10.500,0.0918,0.10659,0.10093,-0.1206,0.7541,0.0962
-10.250,0.0830,0.10530,0.09972,-0.1232,0.7515,0.0997
-10.000,0.0553,0.10498,0.09952,-0.1278,0.7492,0.1008
-9.750,0.0985,0.09921,0.09365,-0.1244,0.7468,0.1039
-9.500,0.1099,0.09689,0.09131,-0.1244,0.7447,0.1072
-9.250,0.1104,0.09490,0.08932,-0.1256,0.7429,0.1117
-9.000,0.0768,0.09443,0.08902,-0.1307,0.7410,0.1149
-8.750,0.1025,0.09019,0.08480,-0.1288,0.7386,0.1174
-8.500,0.1193,0.08806,0.08269,-0.1279,0.7359,0.1214
-8.250,0.1172,0.08624,0.08094,-0.1290,0.7334,0.1268
-8.000,0.0705,0.08537,0.08025,-0.1340,0.7306,0.1301
-7.750,0.1053,0.08152,0.07634,-0.1311,0.7289,0.1336
-7.500,0.1186,0.07975,0.07455,-0.1300,0.7272,0.1396
-7.250,0.0907,0.07843,0.07332,-0.1316,0.7255,0.1446
-7.000,0.0281,0.07899,0.07388,-0.1342,0.7232,0.1466
-6.750,0.0722,0.07602,0.07112,-0.1295,0.7212,0.1511
-6.500,0.0642,0.07598,0.07118,-0.1271,0.7181,0.1548
-6.250,0.0402,0.07628,0.07156,-0.1246,0.7150,0.1576
-6.000,0.0083,0.07748,0.07286,-0.1205,0.7128,0.1586
-5.750,-0.2610,0.10670,0.10297,-0.0781,0.7630,0.1191
-5.500,-0.2461,0.10245,0.09862,-0.0793,0.7459,0.1254
-5.250,-0.2006,0.09312,0.08906,-0.0869,0.7224,0.1369
-5.000,-0.3727,0.10729,0.10372,-0.0651,0.8032,0.1179
-4.750,-0.3599,0.10526,0.10168,-0.0642,0.7991,0.1216
-4.500,-0.3468,0.09973,0.09583,-0.0722,0.7964,0.1324
-4.250,-0.3592,0.09813,0.09428,-0.0675,0.7900,0.1336
-4.000,-0.3512,0.09620,0.09236,-0.0657,0.7840,0.1377
-3.750,-0.3328,0.09230,0.08819,-0.0698,0.7808,0.1499
-2.500,-0.2112,0.06887,0.06156,-0.0765,0.7622,0.0741
-2.250,-0.1771,0.06751,0.05971,-0.0775,0.7608,0.0718
-2.000,-0.1867,0.06612,0.05814,-0.0730,0.7525,0.0713
-1.750,-0.1611,0.06516,0.05677,-0.0727,0.7479,0.0715
-1.500,-0.1289,0.06518,0.05630,-0.0732,0.7451,0.0755
-1.250,-0.0945,0.06521,0.05619,-0.0744,0.7434,0.0794
-1.000,-0.1019,0.06449,0.05544,-0.0704,0.7356,0.0809
-0.750,-0.0794,0.06460,0.05533,-0.0699,0.7308,0.0869
-0.500,-0.0509,0.06475,0.05554,-0.0703,0.7280,0.0952
-0.250,-0.0183,0.06551,0.05632,-0.0712,0.7262,0.1092
0.000,-0.0217,0.06533,0.05608,-0.0679,0.7192,0.1157
0.250,-0.0032,0.06528,0.05619,-0.0671,0.7137,0.1336
0.500,0.0226,0.06558,0.05675,-0.0671,0.7109,0.1813
0.750,0.0764,0.06478,0.05892,-0.0723,0.7094,1.0000
1.000,0.1124,0.06710,0.06084,-0.0740,0.7078,1.0000
1.250,0.0941,0.06631,0.06000,-0.0692,0.6974,1.0000
1.500,0.1197,0.06764,0.06106,-0.0696,0.6938,1.0000
1.750,0.1509,0.06951,0.06266,-0.0707,0.6915,1.0000
2.000,0.1872,0.07212,0.06502,-0.0725,0.6901,1.0000
2.250,0.1645,0.07103,0.06392,-0.0675,0.6791,1.0000
2.500,0.1914,0.07256,0.06526,-0.0681,0.6757,1.0000
2.750,0.2228,0.07464,0.06715,-0.0693,0.6738,1.0000
3.000,0.2584,0.07745,0.06977,-0.0711,0.6726,1.0000
3.250,0.2317,0.07617,0.06851,-0.0660,0.6613,1.0000
3.500,0.2598,0.07786,0.07005,-0.0667,0.6581,1.0000
3.750,0.2928,0.08021,0.07226,-0.0681,0.6562,1.0000
4.000,0.3293,0.08336,0.07526,-0.0700,0.6552,1.0000
4.250,0.2986,0.08169,0.07363,-0.0648,0.6430,1.0000
4.500,0.3284,0.08364,0.07547,-0.0657,0.6403,1.0000
4.750,0.3628,0.08637,0.07808,-0.0673,0.6387,1.0000
5.000,0.3409,0.08600,0.07773,-0.0635,0.6283,1.0000
5.250,0.3664,0.08768,0.07933,-0.0640,0.6246,1.0000
5.500,0.3975,0.09002,0.08159,-0.0652,0.6225,1.0000
5.750,0.4342,0.09328,0.08476,-0.0670,0.6214,1.0000
6.000,0.4052,0.09218,0.08371,-0.0628,0.6093,1.0000
6.250,0.4340,0.09426,0.08572,-0.0636,0.6065,1.0000
6.500,0.4689,0.09722,0.08862,-0.0652,0.6050,1.0000
6.750,0.4446,0.09706,0.08851,-0.0619,0.5942,1.0000
7.000,0.4715,0.09895,0.09036,-0.0626,0.5906,1.0000
7.250,0.5052,0.10171,0.09308,-0.0639,0.5887,1.0000
7.500,0.4851,0.10223,0.09364,-0.0614,0.5787,1.0000
7.750,0.5107,0.10404,0.09543,-0.0620,0.5746,1.0000
8.000,0.5437,0.10673,0.09810,-0.0632,0.5725,1.0000
8.250,0.5253,0.10760,0.09901,-0.0611,0.5626,1.0000
8.500,0.5510,0.10944,0.10084,-0.0617,0.5583,1.0000
8.750,0.5857,0.11224,0.10364,-0.0630,0.5562,1.0000
9.000,0.5653,0.11315,0.10460,-0.0611,0.5459,1.0000
9.250,0.5934,0.11509,0.10654,-0.0618,0.5418,1.0000
9.750,0.6065,0.11883,0.11034,-0.0614,0.5287,1.0000
10.000,0.6413,0.12107,0.11260,-0.0624,0.5253,1.0000
10.250,0.6259,0.12298,0.11456,-0.0615,0.5169,1.0000
10.500,0.6543,0.12461,0.11621,-0.0620,0.5112,1.0000
10.750,0.6549,0.12715,0.11880,-0.0620,0.5059,1.0000
11.000,0.6736,0.12844,0.12014,-0.0621,0.4973,1.0000
11.250,0.6944,0.13098,0.12272,-0.0627,0.4934,1.0000
11.500,0.7029,0.13195,0.12373,-0.0624,0.4822,1.0000
11.750,0.7035,0.13436,0.12619,-0.0625,0.4746,1.0000
12.000,0.7521,0.13038,0.12220,-0.0610,0.4437,1.0000
12.250,0.7776,0.13043,0.12229,-0.0608,0.4330,1.0000
12.500,0.7996,0.13111,0.12304,-0.0608,0.4255,1.0000
12.750,0.8064,0.13292,0.12491,-0.0608,0.4155,1.0000
13.000,0.8420,0.13236,0.12441,-0.0606,0.4100,1.0000
13.250,0.8392,0.13515,0.12726,-0.0609,0.3995,1.0000
13.500,0.8791,0.13403,0.12623,-0.0606,0.3951,1.0000
13.750,0.8730,0.13717,0.12944,-0.0609,0.3840,1.0000
14.000,0.9145,0.13571,0.12807,-0.0605,0.3804,1.0000
14.250,0.9062,0.13918,0.13161,-0.0609,0.3689,1.0000
14.500,0.9487,0.13720,0.12974,-0.0603,0.3657,1.0000
14.750,0.9401,0.14092,0.13353,-0.0609,0.3538,1.0000
15.000,0.9827,0.13835,0.13107,-0.0600,0.3509,1.0000
15.250,0.9738,0.14230,0.13510,-0.0608,0.3386,1.0000
15.500,1.0166,0.13919,0.13211,-0.0597,0.3361,1.0000
15.750,1.0075,0.14329,0.13629,-0.0605,0.3234,1.0000
16.000,1.0462,0.14032,0.13345,-0.0593,0.3203,1.0000
16.250,1.0423,0.14376,0.13697,-0.0601,0.3083,1.0000
16.500,1.0878,0.13924,0.13260,-0.0584,0.3063,1.0000
16.750,1.0804,0.14327,0.13671,-0.0593,0.2934,1.0000
17.000,1.0770,0.14691,0.14043,-0.0602,0.2815,1.0000
17.250,1.1206,0.14210,0.13579,-0.0584,0.2787,1.0000
17.500,1.1706,0.13585,0.12972,-0.0563,0.2774,1.0000
17.750,1.2301,0.12795,0.12201,-0.0539,0.2770,1.0000
18.000,1.3177,0.11612,0.11039,-0.0510,0.2766,1.0000
18.250,1.3277,0.11715,0.11151,-0.0509,0.2637,1.0000
18.500,1.3644,0.11407,0.10848,-0.0499,0.2508,1.0000
18.750,1.4061,0.11031,0.10464,-0.0489,0.2342,1.0000
19.000,1.4265,0.10980,0.10397,-0.0483,0.2167,1.0000
19.250,1.4277,0.11228,0.10639,-0.0483,0.2010,1.0000
