Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-r140sm-il-1000000
Airfoil,r140sm-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,71.0653
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-r140sm-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.000,-0.4585,0.09829,0.09676,-0.0301,1.0000,0.0085
-11.750,-0.4683,0.09119,0.08967,-0.0326,1.0000,0.0085
-9.000,-0.8454,0.03044,0.02693,-0.0177,1.0000,0.0057
-8.500,-0.8263,0.02485,0.02072,-0.0132,0.9973,0.0056
-8.250,-0.8019,0.02240,0.01800,-0.0138,0.9948,0.0058
-8.000,-0.7785,0.01981,0.01509,-0.0136,0.9918,0.0057
-7.750,-0.7498,0.01910,0.01434,-0.0146,0.9886,0.0062
-7.500,-0.7204,0.01796,0.01306,-0.0156,0.9859,0.0065
-7.250,-0.6902,0.01664,0.01162,-0.0166,0.9837,0.0068
-7.000,-0.6626,0.01536,0.01021,-0.0170,0.9800,0.0072
-6.750,-0.6354,0.01424,0.00899,-0.0172,0.9753,0.0075
-6.500,-0.6034,0.01350,0.00817,-0.0185,0.9721,0.0081
-6.250,-0.5684,0.01298,0.00759,-0.0204,0.9693,0.0085
-6.000,-0.5464,0.01146,0.00589,-0.0198,0.9607,0.0093
-5.750,-0.5155,0.01073,0.00508,-0.0209,0.9546,0.0102
-5.500,-0.4879,0.01032,0.00463,-0.0211,0.9449,0.0117
-5.250,-0.4605,0.01004,0.00430,-0.0213,0.9351,0.0130
-5.000,-0.4361,0.00962,0.00378,-0.0206,0.9241,0.0141
-4.750,-0.4134,0.00922,0.00329,-0.0196,0.9122,0.0175
-4.500,-0.3901,0.00894,0.00294,-0.0188,0.8999,0.0237
-4.250,-0.3699,0.00847,0.00263,-0.0174,0.8865,0.0641
-4.000,-0.3499,0.00801,0.00236,-0.0160,0.8723,0.1216
-3.750,-0.3311,0.00747,0.00207,-0.0144,0.8569,0.2011
-3.500,-0.3199,0.00644,0.00168,-0.0116,0.8394,0.3792
-3.250,-0.3022,0.00593,0.00148,-0.0097,0.8223,0.4792
-3.000,-0.2814,0.00568,0.00136,-0.0084,0.8053,0.5385
-2.750,-0.2591,0.00556,0.00131,-0.0073,0.7890,0.5844
-2.500,-0.2347,0.00553,0.00126,-0.0066,0.7735,0.6088
-2.250,-0.2092,0.00553,0.00119,-0.0061,0.7593,0.6221
-1.750,-0.1585,0.00550,0.00111,-0.0052,0.7343,0.6508
-1.500,-0.1327,0.00549,0.00107,-0.0049,0.7231,0.6634
-1.250,-0.1066,0.00548,0.00103,-0.0046,0.7132,0.6720
-0.750,-0.0540,0.00546,0.00097,-0.0041,0.6951,0.6907
-0.500,-0.0280,0.00544,0.00095,-0.0038,0.6870,0.7005
-0.250,-0.0017,0.00543,0.00094,-0.0036,0.6789,0.7096
0.000,0.0247,0.00541,0.00093,-0.0034,0.6719,0.7199
0.500,0.0769,0.00538,0.00095,-0.0029,0.6584,0.7459
0.750,0.1028,0.00536,0.00098,-0.0025,0.6516,0.7615
1.000,0.1285,0.00536,0.00102,-0.0021,0.6458,0.7783
1.250,0.1545,0.00534,0.00106,-0.0018,0.6389,0.7952
1.500,0.1802,0.00536,0.00111,-0.0014,0.6314,0.8112
1.750,0.2061,0.00537,0.00115,-0.0010,0.6226,0.8257
2.000,0.2319,0.00538,0.00119,-0.0007,0.6119,0.8391
2.250,0.2578,0.00540,0.00124,-0.0003,0.6029,0.8513
2.500,0.2836,0.00544,0.00130,0.0001,0.5918,0.8631
2.750,0.3101,0.00545,0.00137,0.0003,0.5827,0.8744
3.250,0.3616,0.00557,0.00150,0.0010,0.5480,0.8968
3.500,0.3875,0.00567,0.00159,0.0014,0.5229,0.9077
3.750,0.4136,0.00582,0.00170,0.0016,0.4908,0.9184
4.000,0.4354,0.00632,0.00189,0.0026,0.3997,0.9303
4.250,0.4499,0.00770,0.00245,0.0044,0.2014,0.9438
4.500,0.4712,0.00881,0.00300,0.0049,0.0626,0.9550
4.750,0.5029,0.00957,0.00358,0.0036,0.0160,0.9603
5.000,0.5342,0.00992,0.00398,0.0026,0.0139,0.9663
5.250,0.5658,0.01032,0.00441,0.0014,0.0118,0.9706
5.500,0.5953,0.01123,0.00545,0.0006,0.0098,0.9739
5.750,0.6254,0.01173,0.00600,-0.0002,0.0093,0.9778
6.000,0.6514,0.01234,0.00669,-0.0002,0.0089,0.9831
6.250,0.6825,0.01306,0.00746,-0.0014,0.0081,0.9851
6.500,0.7121,0.01390,0.00837,-0.0023,0.0077,0.9879
6.750,0.7425,0.01445,0.00894,-0.0034,0.0069,0.9909
7.000,0.7687,0.01545,0.00999,-0.0037,0.0066,0.9941
7.250,0.7966,0.01685,0.01149,-0.0045,0.0064,0.9961
7.500,0.8229,0.01896,0.01373,-0.0049,0.0062,0.9978
7.750,0.8492,0.02141,0.01644,-0.0052,0.0059,0.9992
8.000,0.8712,0.02280,0.01800,-0.0046,0.0058,1.0000
8.250,0.8834,0.02310,0.01840,-0.0018,0.0055,1.0000
8.500,0.8924,0.02504,0.02057,0.0015,0.0053,1.0000
8.750,0.8967,0.02777,0.02360,0.0055,0.0051,1.0000
9.000,0.8920,0.03135,0.02752,0.0105,0.0055,1.0000
12.250,0.6754,0.09174,0.09013,0.0260,0.0070,1.0000
12.500,0.6523,0.10698,0.10537,0.0171,0.0071,1.0000
