Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rc10b3-il-50000
Airfoil,rc10b3-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,33.767
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-rc10b3-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.5043,0.10836,0.10138,-0.0060,1.0000,0.2519
-8.750,-0.5103,0.10594,0.09903,-0.0067,1.0000,0.2650
-8.500,-0.5034,0.10234,0.09546,-0.0059,1.0000,0.2803
-8.250,-0.5037,0.09925,0.09244,-0.0055,1.0000,0.2963
-8.000,-0.4831,0.09493,0.08812,-0.0033,1.0000,0.3167
-7.750,-0.4753,0.09186,0.08509,-0.0018,1.0000,0.3391
-7.500,-0.4963,0.09005,0.08344,-0.0012,1.0000,0.3594
-7.250,-0.4705,0.08613,0.07950,0.0016,1.0000,0.3886
-7.000,-0.4600,0.08311,0.07650,0.0042,1.0000,0.4195
-6.750,-0.4711,0.08138,0.07489,0.0077,1.0000,0.4538
-6.500,-0.4483,0.07836,0.07187,0.0117,1.0000,0.5007
-6.250,-0.3990,0.07426,0.06769,0.0151,1.0000,0.5666
-5.250,-0.4214,0.06250,0.05635,0.0200,1.0000,0.5819
-5.000,-0.5393,0.05030,0.04200,-0.0065,1.0000,0.1720
-4.750,-0.5234,0.04605,0.03749,-0.0049,1.0000,0.1532
-4.500,-0.5096,0.04290,0.03368,-0.0024,1.0000,0.1392
-4.250,-0.4941,0.04009,0.03064,-0.0005,1.0000,0.1355
-4.000,-0.4776,0.03771,0.02784,0.0015,1.0000,0.1340
-3.750,-0.4591,0.03555,0.02527,0.0033,1.0000,0.1338
-3.500,-0.4381,0.03348,0.02281,0.0049,1.0000,0.1333
-3.250,-0.4149,0.03158,0.02054,0.0062,1.0000,0.1338
-3.000,-0.3909,0.03002,0.01861,0.0074,1.0000,0.1379
-2.750,-0.1090,0.02055,0.01231,-0.0319,1.0000,1.0000
-2.500,-0.0998,0.02060,0.01187,-0.0288,1.0000,1.0000
-2.250,-0.0917,0.02066,0.01162,-0.0257,1.0000,1.0000
-2.000,-0.0835,0.02076,0.01144,-0.0227,1.0000,1.0000
-1.750,-0.0750,0.02087,0.01131,-0.0198,1.0000,1.0000
-1.500,-0.0661,0.02101,0.01125,-0.0170,1.0000,1.0000
-1.250,-0.0569,0.02118,0.01122,-0.0142,1.0000,1.0000
-1.000,-0.0471,0.02137,0.01124,-0.0116,1.0000,1.0000
-0.750,-0.0370,0.02159,0.01130,-0.0091,1.0000,1.0000
-0.500,-0.0265,0.02183,0.01139,-0.0068,1.0000,1.0000
-0.250,-0.0156,0.02211,0.01153,-0.0045,1.0000,1.0000
0.000,-0.0043,0.02241,0.01171,-0.0024,1.0000,1.0000
0.250,0.0073,0.02274,0.01194,-0.0003,1.0000,1.0000
0.500,0.0191,0.02311,0.01222,0.0016,1.0000,1.0000
0.750,0.0311,0.02352,0.01253,0.0034,1.0000,1.0000
1.000,0.0433,0.02396,0.01290,0.0051,1.0000,1.0000
1.250,0.0555,0.02445,0.01333,0.0067,1.0000,1.0000
1.500,0.0679,0.02499,0.01382,0.0082,1.0000,1.0000
1.750,0.0804,0.02558,0.01437,0.0095,1.0000,1.0000
2.000,0.0930,0.02622,0.01499,0.0107,1.0000,1.0000
2.250,0.1158,0.02707,0.01583,0.0097,0.9964,1.0000
2.500,0.1779,0.02844,0.01726,0.0012,0.9767,1.0000
2.750,0.2407,0.02976,0.01865,-0.0071,0.9563,1.0000
3.000,0.2915,0.03073,0.01975,-0.0127,0.9330,1.0000
3.250,0.3494,0.03163,0.02080,-0.0192,0.9096,1.0000
3.500,0.4035,0.03224,0.02161,-0.0244,0.8843,1.0000
3.750,0.4538,0.03266,0.02223,-0.0286,0.8580,1.0000
4.000,0.5199,0.03260,0.02247,-0.0346,0.8314,1.0000
4.250,0.5930,0.03167,0.02191,-0.0404,0.8035,1.0000
4.500,0.6443,0.03055,0.02108,-0.0416,0.7738,1.0000
4.750,0.6880,0.02920,0.02002,-0.0410,0.7430,1.0000
5.000,0.7204,0.02798,0.01898,-0.0383,0.7078,1.0000
5.250,0.7546,0.02625,0.01738,-0.0350,0.6685,1.0000
5.500,0.7815,0.02491,0.01607,-0.0310,0.6215,1.0000
5.750,0.8010,0.02426,0.01528,-0.0265,0.5636,1.0000
6.000,0.8175,0.02421,0.01486,-0.0222,0.4958,1.0000
6.250,0.8298,0.02497,0.01512,-0.0180,0.4208,1.0000
6.500,0.8399,0.02638,0.01594,-0.0142,0.3459,1.0000
6.750,0.8522,0.02815,0.01718,-0.0111,0.2835,1.0000
7.000,0.8697,0.02999,0.01866,-0.0091,0.2401,1.0000
7.250,0.8896,0.03181,0.02030,-0.0075,0.2107,1.0000
7.500,0.9115,0.03384,0.02242,-0.0062,0.1913,1.0000
7.750,0.9317,0.03581,0.02446,-0.0048,0.1762,1.0000
8.000,0.9553,0.03814,0.02672,-0.0040,0.1657,1.0000
8.250,0.9697,0.04052,0.02964,-0.0018,0.1580,1.0000
8.500,0.9886,0.04301,0.03216,-0.0006,0.1503,1.0000
8.750,0.9970,0.04597,0.03571,0.0021,0.1465,1.0000
