Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rg15-il-200000
Airfoil,rg15-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,68.7535
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-rg15-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.4922,0.08612,0.08270,-0.0383,1.0000,0.0465
-8.500,-0.5059,0.08177,0.07836,-0.0415,1.0000,0.0466
-8.250,-0.5165,0.07774,0.07428,-0.0434,1.0000,0.0466
-8.000,-0.5200,0.07136,0.06803,-0.0423,1.0000,0.0479
-7.750,-0.5148,0.06906,0.06578,-0.0403,1.0000,0.0490
-7.500,-0.5140,0.06614,0.06286,-0.0398,1.0000,0.0502
-7.250,-0.5150,0.06263,0.05932,-0.0402,1.0000,0.0512
-7.000,-0.5157,0.05887,0.05549,-0.0405,1.0000,0.0531
-6.750,-0.5150,0.05491,0.05138,-0.0408,1.0000,0.0554
-6.500,-0.5228,0.04987,0.04564,-0.0415,1.0000,0.0601
-6.250,-0.5121,0.04601,0.04192,-0.0405,1.0000,0.0616
-6.000,-0.5010,0.04339,0.03929,-0.0392,1.0000,0.0635
-5.750,-0.4887,0.03212,0.02678,-0.0372,1.0000,0.0333
-5.500,-0.4734,0.02778,0.02198,-0.0361,1.0000,0.0312
-5.250,-0.4539,0.02449,0.01819,-0.0348,1.0000,0.0305
-5.000,-0.4326,0.02292,0.01625,-0.0336,1.0000,0.0331
-4.750,-0.4101,0.02133,0.01424,-0.0324,1.0000,0.0344
-4.500,-0.3867,0.01906,0.01164,-0.0314,1.0000,0.0355
-4.250,-0.3635,0.01719,0.00969,-0.0307,1.0000,0.0384
-4.000,-0.3410,0.01664,0.00908,-0.0299,1.0000,0.0440
-3.750,-0.3179,0.01572,0.00805,-0.0289,1.0000,0.0474
-3.500,-0.2955,0.01481,0.00719,-0.0283,1.0000,0.0540
-3.250,-0.2729,0.01414,0.00648,-0.0275,1.0000,0.0615
-3.000,-0.2438,0.01334,0.00576,-0.0281,0.9985,0.0841
-2.750,-0.2048,0.01208,0.00527,-0.0313,0.9944,0.2364
-2.500,-0.1690,0.01099,0.00516,-0.0339,0.9890,0.4661
-2.250,-0.1341,0.01055,0.00554,-0.0351,0.9834,0.6904
-2.000,-0.1010,0.01050,0.00563,-0.0356,0.9754,0.7624
-1.750,-0.0620,0.01053,0.00566,-0.0374,0.9697,0.8055
-1.500,-0.0312,0.01044,0.00559,-0.0374,0.9603,0.8406
-1.250,0.0020,0.01037,0.00551,-0.0378,0.9525,0.8722
-1.000,0.0366,0.01024,0.00536,-0.0385,0.9451,0.8989
-0.750,0.0702,0.01011,0.00522,-0.0390,0.9368,0.9246
-0.500,0.1164,0.00997,0.00504,-0.0421,0.9319,0.9473
-0.250,0.1719,0.00982,0.00483,-0.0473,0.9293,0.9631
0.000,0.2226,0.00968,0.00465,-0.0517,0.9216,0.9772
0.250,0.2798,0.00945,0.00439,-0.0574,0.9166,0.9856
0.500,0.3320,0.00924,0.00415,-0.0623,0.9066,0.9944
0.750,0.3788,0.00899,0.00388,-0.0661,0.8939,1.0000
1.000,0.4087,0.00878,0.00364,-0.0665,0.8761,1.0000
1.250,0.4333,0.00866,0.00347,-0.0658,0.8558,1.0000
1.500,0.4560,0.00861,0.00334,-0.0647,0.8344,1.0000
1.750,0.4779,0.00861,0.00328,-0.0634,0.8119,1.0000
2.000,0.5015,0.00866,0.00325,-0.0624,0.7895,1.0000
2.250,0.5245,0.00876,0.00326,-0.0612,0.7649,1.0000
2.500,0.5485,0.00887,0.00329,-0.0603,0.7396,1.0000
2.750,0.5727,0.00902,0.00334,-0.0593,0.7134,1.0000
