Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rhodesg34-il-100000
Airfoil,rhodesg34-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,43.7985
Max Cl/Cd alpha,3
Url,http://airfoiltools.com/polar/csv?polar=xf-rhodesg34-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.3213,0.11368,0.10918,-0.0221,1.0000,0.1179
-10.500,-0.3354,0.11247,0.10804,-0.0211,1.0000,0.1208
-10.250,-0.3748,0.11232,0.10799,-0.0249,0.9978,0.1232
-10.000,-0.3451,0.10660,0.10226,-0.0277,0.9937,0.1252
-9.750,-0.3070,0.10263,0.09825,-0.0293,0.9885,0.1295
-9.500,-0.3057,0.09969,0.09532,-0.0371,0.9805,0.1361
-9.250,-0.3234,0.09560,0.09126,-0.0468,0.9693,0.1385
-9.000,-0.2660,0.09141,0.08703,-0.0443,0.9662,0.1426
-8.750,-0.2546,0.08829,0.08392,-0.0481,0.9573,0.1478
-8.500,-0.2795,0.08369,0.07923,-0.0602,0.9422,0.1537
-8.250,-0.2323,0.07989,0.07547,-0.0593,0.9397,0.1570
-8.000,-0.2213,0.07736,0.07294,-0.0596,0.9292,0.1616
-7.750,-0.2276,0.07294,0.06835,-0.0678,0.9168,0.1706
-7.500,-0.1949,0.06975,0.06522,-0.0677,0.9107,0.1741
-7.250,-0.1945,0.06684,0.06200,-0.0733,0.8988,0.1870
-7.000,-0.1597,0.06318,0.05850,-0.0730,0.8933,0.1909
-6.750,-0.1341,0.05958,0.05464,-0.0786,0.8860,0.2060
-6.500,-0.1143,0.05696,0.05209,-0.0774,0.8761,0.2095
-6.250,-0.0852,0.04383,0.03715,-0.0873,0.8707,0.1231
-6.000,-0.0755,0.04181,0.03519,-0.0847,0.8584,0.1203
-5.750,-0.0386,0.03673,0.02903,-0.0867,0.8543,0.1106
-5.500,-0.0202,0.03507,0.02713,-0.0850,0.8445,0.1103
-5.250,0.0196,0.03265,0.02438,-0.0867,0.8388,0.1098
-5.000,0.0682,0.03026,0.02157,-0.0895,0.8351,0.1103
-4.750,0.0852,0.02936,0.02056,-0.0873,0.8239,0.1124
-4.500,0.1297,0.02799,0.01915,-0.0894,0.8187,0.1171
-4.250,0.1576,0.02705,0.01805,-0.0886,0.8094,0.1206
-4.000,0.1955,0.02573,0.01661,-0.0894,0.8018,0.1255
-3.750,0.2281,0.02492,0.01581,-0.0893,0.7928,0.1337
-3.500,0.2622,0.02382,0.01472,-0.0894,0.7833,0.1424
-3.250,0.2886,0.02306,0.01395,-0.0882,0.7714,0.1547
-3.000,0.3268,0.02169,0.01272,-0.0889,0.7628,0.1764
-2.750,0.3469,0.02070,0.01198,-0.0867,0.7483,0.2116
-2.500,0.3689,0.01929,0.01117,-0.0848,0.7341,0.3198
-2.250,0.5227,0.01627,0.00984,-0.1058,0.7127,1.0000
-2.000,0.5427,0.01589,0.00923,-0.1035,0.6890,1.0000
-1.750,0.5649,0.01555,0.00858,-0.1016,0.6607,1.0000
-1.500,0.5865,0.01543,0.00810,-0.0997,0.6277,1.0000
-1.250,0.6069,0.01559,0.00788,-0.0979,0.5953,1.0000
-1.000,0.6279,0.01586,0.00777,-0.0963,0.5693,1.0000
-0.750,0.6472,0.01619,0.00785,-0.0946,0.5475,1.0000
-0.500,0.6684,0.01651,0.00792,-0.0932,0.5316,1.0000
-0.250,0.6904,0.01684,0.00803,-0.0921,0.5189,1.0000
0.000,0.7121,0.01720,0.00824,-0.0910,0.5080,1.0000
0.250,0.7369,0.01757,0.00836,-0.0904,0.4999,1.0000
0.500,0.7587,0.01796,0.00868,-0.0894,0.4919,1.0000
0.750,0.7835,0.01834,0.00890,-0.0889,0.4855,1.0000
1.000,0.8077,0.01879,0.00924,-0.0883,0.4801,1.0000
1.250,0.8307,0.01923,0.00964,-0.0876,0.4746,1.0000
1.500,0.8557,0.01967,0.00996,-0.0871,0.4698,1.0000
1.750,0.8832,0.02017,0.01030,-0.0872,0.4657,1.0000
2.000,0.9038,0.02068,0.01087,-0.0861,0.4615,1.0000
2.250,0.9266,0.02120,0.01139,-0.0854,0.4577,1.0000
2.500,0.9509,0.02174,0.01191,-0.0850,0.4544,1.0000
2.750,0.9766,0.02230,0.01241,-0.0849,0.4516,1.0000
3.000,1.0043,0.02293,0.01295,-0.0851,0.4491,1.0000
3.250,1.0247,0.02359,0.01370,-0.0841,0.4463,1.0000
3.500,1.0439,0.02425,0.01446,-0.0829,0.4431,1.0000
3.750,1.0647,0.02491,0.01518,-0.0821,0.4398,1.0000
4.000,1.0874,0.02553,0.01583,-0.0815,0.4365,1.0000
4.250,1.1134,0.02616,0.01640,-0.0815,0.4332,1.0000
4.500,1.1372,0.02692,0.01715,-0.0811,0.4299,1.0000
4.750,1.1513,0.02771,0.01813,-0.0793,0.4264,1.0000
5.000,1.1690,0.02851,0.01904,-0.0780,0.4231,1.0000
5.250,1.1888,0.02931,0.01992,-0.0772,0.4202,1.0000
5.500,1.2116,0.03006,0.02070,-0.0767,0.4173,1.0000
5.750,1.2417,0.03077,0.02133,-0.0775,0.4137,1.0000
