Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1020-il-500000
Airfoil,s1020-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,120
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-s1020-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.0460,0.09623,0.09394,-0.1038,0.9653,0.0271
-11.250,-0.0422,0.09119,0.08890,-0.1070,0.9640,0.0286
-10.000,-0.1442,0.07746,0.07513,-0.1173,0.9634,0.0306
-9.750,-0.1278,0.07419,0.07186,-0.1211,0.9620,0.0311
-9.500,-0.1221,0.07149,0.06916,-0.1221,0.9536,0.0316
-9.250,-0.1114,0.06640,0.06407,-0.1278,0.9507,0.0325
-9.000,-0.1400,0.05114,0.04872,-0.1447,0.9392,0.0327
-8.750,-0.1071,0.02821,0.02520,-0.1602,0.9128,0.0367
-8.500,-0.1276,0.02101,0.01758,-0.1623,0.9003,0.0377
-8.250,-0.1053,0.01828,0.01483,-0.1641,0.8948,0.0386
-8.000,-0.1455,0.02111,0.01585,-0.1655,0.8965,0.0196
-7.750,-0.1191,0.01988,0.01440,-0.1660,0.8901,0.0194
-7.500,-0.0942,0.01860,0.01295,-0.1660,0.8830,0.0194
-7.250,-0.0661,0.01722,0.01139,-0.1668,0.8774,0.0195
-7.000,-0.0451,0.01608,0.01015,-0.1659,0.8697,0.0197
-6.750,-0.0166,0.01506,0.00900,-0.1665,0.8642,0.0198
-6.500,0.0041,0.01433,0.00823,-0.1655,0.8568,0.0202
-6.250,0.0304,0.01369,0.00752,-0.1656,0.8508,0.0206
-6.000,0.0549,0.01323,0.00701,-0.1653,0.8445,0.0214
-5.750,0.0795,0.01276,0.00648,-0.1649,0.8380,0.0222
-5.500,0.1072,0.01229,0.00591,-0.1652,0.8326,0.0229
-5.250,0.1303,0.01189,0.00546,-0.1644,0.8259,0.0235
-5.000,0.1574,0.01149,0.00497,-0.1645,0.8203,0.0243
-4.750,0.1829,0.01107,0.00448,-0.1643,0.8145,0.0260
-4.500,0.2086,0.01080,0.00417,-0.1640,0.8083,0.0280
-4.250,0.2378,0.01053,0.00382,-0.1644,0.8032,0.0328
-4.000,0.2612,0.00996,0.00349,-0.1640,0.7970,0.0836
-3.750,0.2866,0.00934,0.00322,-0.1641,0.7912,0.1856
