Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1221-il-100000
Airfoil,s1221-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,45.2234
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-s1221-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-6.750,-0.2569,0.09921,0.09475,-0.0210,1.0000,0.1121
-6.500,-0.2707,0.09805,0.09372,-0.0220,1.0000,0.1171
-6.250,-0.3068,0.09855,0.09443,-0.0236,1.0000,0.1185
-6.000,-0.2695,0.09254,0.08838,-0.0201,1.0000,0.1217
-5.750,-0.2613,0.09027,0.08618,-0.0183,1.0000,0.1254
-5.500,-0.2694,0.08883,0.08486,-0.0168,1.0000,0.1296
-5.250,-0.3016,0.08724,0.08351,-0.0238,1.0000,0.1342
-5.000,-0.2870,0.08445,0.08076,-0.0166,1.0000,0.1365
-4.750,-0.2812,0.08257,0.07895,-0.0138,1.0000,0.1401
-4.500,-0.2954,0.08109,0.07766,-0.0184,1.0000,0.1480
-4.250,-0.2653,0.07684,0.07344,-0.0208,0.9938,0.1530
-4.000,-0.1367,0.03886,0.03395,-0.0951,0.9883,0.0753
-3.750,-0.0503,0.03048,0.02436,-0.1114,0.9849,0.0634
-3.500,0.0205,0.02682,0.02003,-0.1208,0.9729,0.0640
-3.250,0.0852,0.02394,0.01670,-0.1278,0.9561,0.0645
-3.000,0.1412,0.02136,0.01397,-0.1325,0.9304,0.0658
-2.750,0.1962,0.01922,0.01197,-0.1367,0.8939,0.0702
-2.500,0.2822,0.01709,0.00972,-0.1469,0.8400,0.0886
-2.250,0.3788,0.01701,0.00995,-0.1596,0.7536,0.3635
-2.000,0.4088,0.01854,0.01128,-0.1582,0.7041,0.4081
-1.750,0.4374,0.01916,0.01161,-0.1574,0.6705,0.4316
-1.500,0.4676,0.01936,0.01150,-0.1576,0.6433,0.4466
-1.250,0.4958,0.01949,0.01139,-0.1572,0.6223,0.4569
-1.000,0.5269,0.01952,0.01112,-0.1578,0.6037,0.4665
-0.750,0.5573,0.01958,0.01093,-0.1582,0.5874,0.4756
-0.500,0.5880,0.01959,0.01075,-0.1587,0.5727,0.4833
-0.250,0.6183,0.01968,0.01068,-0.1592,0.5599,0.4915
0.000,0.6495,0.01978,0.01058,-0.1599,0.5490,0.4991
0.250,0.6793,0.01991,0.01056,-0.1602,0.5385,0.5068
0.500,0.7096,0.02005,0.01061,-0.1607,0.5285,0.5158
0.750,0.7396,0.02025,0.01065,-0.1610,0.5201,0.5252
1.000,0.7692,0.02043,0.01083,-0.1613,0.5119,0.5344
1.250,0.7998,0.02067,0.01095,-0.1618,0.5047,0.5466
1.500,0.8283,0.02093,0.01122,-0.1619,0.4979,0.5590
1.750,0.8570,0.02115,0.01148,-0.1620,0.4906,0.5735
2.000,0.8869,0.02146,0.01169,-0.1622,0.4850,0.5904
2.250,0.9150,0.02176,0.01214,-0.1623,0.4788,0.6105
2.500,0.9425,0.02204,0.01252,-0.1621,0.4732,0.6346
2.750,0.9698,0.02237,0.01286,-0.1618,0.4684,0.6663
3.000,0.9939,0.02271,0.01344,-0.1608,0.4631,0.7061
3.250,1.0160,0.02298,0.01394,-0.1594,0.4579,0.7650
3.500,1.0276,0.02296,0.01415,-0.1554,0.4542,0.8615
3.750,1.0528,0.02328,0.01433,-0.1549,0.4506,1.0000
4.000,1.0823,0.02402,0.01514,-0.1557,0.4453,1.0000
4.250,1.1113,0.02469,0.01581,-0.1561,0.4401,1.0000
4.500,1.1408,0.02534,0.01636,-0.1565,0.4359,1.0000
4.750,1.1693,0.02618,0.01715,-0.1567,0.4324,1.0000
5.000,1.1943,0.02709,0.01825,-0.1566,0.4275,1.0000
5.250,1.2210,0.02786,0.01907,-0.1565,0.4228,1.0000
5.500,1.2491,0.02854,0.01970,-0.1566,0.4188,1.0000
5.750,1.2759,0.02951,0.02067,-0.1566,0.4153,1.0000
6.000,1.2979,0.03066,0.02210,-0.1560,0.4101,1.0000
6.250,1.3234,0.03150,0.02301,-0.1558,0.4054,1.0000
6.500,1.3512,0.03217,0.02364,-0.1557,0.4015,1.0000
6.750,1.3744,0.03337,0.02498,-0.1553,0.3972,1.0000
7.000,1.3944,0.03470,0.02655,-0.1545,0.3915,1.0000
7.250,1.4205,0.03542,0.02730,-0.1542,0.3870,1.0000
7.500,1.4498,0.03597,0.02777,-0.1543,0.3832,1.0000
7.750,1.4632,0.03790,0.03010,-0.1529,0.3768,1.0000
8.000,1.4866,0.03875,0.03104,-0.1523,0.3714,1.0000
8.250,1.5175,0.03890,0.03110,-0.1524,0.3672,1.0000
8.500,1.5288,0.04105,0.03362,-0.1508,0.3607,1.0000
8.750,1.5512,0.04184,0.03453,-0.1500,0.3548,1.0000
