Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s817-nr-100000
Airfoil,s817-nr
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,25.887
Max Cl/Cd alpha,9.75
Url,http://airfoiltools.com/polar/csv?polar=xf-s817-nr-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.2337,0.11758,0.11289,-0.0973,0.9599,0.0678
-11.250,-0.2387,0.11437,0.10970,-0.1029,0.9556,0.0688
-11.000,-0.2505,0.11085,0.10622,-0.1091,0.9503,0.0692
-10.750,-0.2229,0.10548,0.10083,-0.1061,0.9494,0.0719
-10.500,-0.2074,0.10181,0.09713,-0.1073,0.9474,0.0759
-10.250,-0.2013,0.09759,0.09291,-0.1116,0.9453,0.0793
-10.000,-0.2124,0.09497,0.09034,-0.1128,0.9394,0.0809
-9.750,-0.2283,0.09094,0.08630,-0.1177,0.9345,0.0824
-9.500,-0.2453,0.08750,0.08279,-0.1220,0.9309,0.0830
-9.250,-0.2715,0.08730,0.08264,-0.1164,0.9245,0.0828
-9.000,-0.3006,0.08666,0.08198,-0.1125,0.9198,0.0830
-8.750,-0.3200,0.08539,0.08065,-0.1101,0.9168,0.0830
-8.500,-0.3520,0.08592,0.08129,-0.1008,0.9120,0.0825
-8.250,-0.3799,0.08570,0.08112,-0.0939,0.9093,0.0821
-8.000,-0.4091,0.08550,0.08090,-0.0875,0.9075,0.0821
-7.750,-0.4322,0.08464,0.08000,-0.0825,0.9057,0.0823
-7.500,-0.4643,0.08474,0.08001,-0.0756,0.9054,0.0828
-7.250,-0.4975,0.08517,0.08036,-0.0679,0.9069,0.0832
-7.000,-0.6742,0.09743,0.09359,-0.0218,1.0000,0.0664
-6.750,-0.6941,0.09535,0.09128,-0.0196,1.0000,0.0682
-6.500,-0.7103,0.09449,0.09005,-0.0169,1.0000,0.0691
-6.250,-0.7174,0.09298,0.08818,-0.0144,1.0000,0.0695
-6.000,-0.7107,0.08383,0.07946,-0.0144,1.0000,0.0722
-5.750,-0.7083,0.08053,0.07615,-0.0128,1.0000,0.0750
-5.500,-0.7060,0.07758,0.07305,-0.0113,1.0000,0.0786
-5.250,-0.7048,0.07749,0.07218,-0.0091,1.0000,0.0846
-5.000,-0.6980,0.07109,0.06606,-0.0086,1.0000,0.0871
-4.750,-0.6898,0.06799,0.06290,-0.0074,1.0000,0.0915
-4.500,-0.6795,0.06622,0.06058,-0.0062,1.0000,0.1003
-4.250,-0.6694,0.06214,0.05662,-0.0053,1.0000,0.1045
-4.000,-0.6560,0.05966,0.05379,-0.0046,0.9997,0.1165
-3.750,-0.6352,0.05709,0.05096,-0.0054,0.9971,0.1311
-3.500,-0.6139,0.05420,0.04800,-0.0064,0.9945,0.1487
-3.250,-0.5976,0.05179,0.04542,-0.0064,0.9925,0.1769
-3.000,-0.5784,0.04926,0.04281,-0.0069,0.9894,0.2074
-2.750,-0.5552,0.04687,0.04031,-0.0075,0.9865,0.2379
-2.500,-0.5258,0.04519,0.03839,-0.0085,0.9843,0.2568
-2.250,-0.4660,0.04483,0.03659,-0.0063,0.9794,0.1083
-2.000,-0.4266,0.04262,0.03367,-0.0045,0.9764,0.0636
-1.750,-0.3955,0.04162,0.03237,-0.0047,0.9738,0.0630
-1.500,-0.3630,0.04099,0.03148,-0.0049,0.9721,0.0613
-1.250,-0.3426,0.03962,0.02996,-0.0033,0.9682,0.0613
-1.000,-0.3161,0.03919,0.02943,-0.0031,0.9639,0.0666
-0.750,-0.2884,0.03883,0.02903,-0.0031,0.9612,0.0717
-0.500,-0.2602,0.03909,0.02936,-0.0035,0.9591,0.0827
-0.250,-0.2461,0.03811,0.02842,-0.0014,0.9543,0.0970
0.000,-0.2215,0.03751,0.02798,-0.0016,0.9498,0.1485
0.250,-0.2359,0.03772,0.03083,0.0111,0.9463,0.8170
0.500,-0.2477,0.03816,0.03131,0.0218,0.9392,0.8610
0.750,-0.2494,0.03901,0.03213,0.0306,0.9329,0.9004
1.000,-0.0522,0.04698,0.03957,0.0004,0.9451,0.9742
1.250,-0.0419,0.04640,0.03890,0.0020,0.9359,0.9751
1.500,-0.0143,0.04753,0.03991,0.0003,0.9313,0.9755
1.750,-0.0058,0.04708,0.03940,0.0023,0.9223,0.9764
2.000,0.0231,0.04822,0.04043,0.0004,0.9172,0.9771
2.250,0.0322,0.04792,0.04009,0.0021,0.9084,0.9785
2.500,0.0624,0.04908,0.04119,0.0000,0.9032,0.9797
2.750,0.0732,0.04898,0.04105,0.0013,0.8944,0.9819
3.000,0.1044,0.05018,0.04220,-0.0010,0.8891,0.9836
3.250,0.1200,0.05031,0.04232,-0.0008,0.8802,0.9852
3.500,0.1552,0.05166,0.04365,-0.0040,0.8746,0.9866
3.750,0.1690,0.05182,0.04381,-0.0035,0.8654,0.9887
4.000,0.2059,0.05336,0.04535,-0.0069,0.8599,0.9906
4.250,0.2184,0.05351,0.04552,-0.0063,0.8497,0.9933
4.500,0.2593,0.05540,0.04744,-0.0104,0.8449,0.9954
4.750,0.2728,0.05551,0.04761,-0.0102,0.8339,0.9987
5.000,0.2883,0.05635,0.04847,-0.0099,0.8262,1.0000
5.250,0.3079,0.05702,0.04917,-0.0097,0.8169,1.0000
5.500,0.3047,0.05680,0.04897,-0.0059,0.8051,1.0000
5.750,0.3078,0.05701,0.04922,-0.0031,0.7951,1.0000
6.000,0.3377,0.05819,0.05044,-0.0043,0.7868,1.0000
6.250,0.3400,0.05797,0.05024,-0.0015,0.7735,1.0000
6.500,0.3575,0.05843,0.05078,-0.0012,0.7597,1.0000
6.750,0.4071,0.05725,0.04966,-0.0026,0.7206,1.0000
7.000,0.4535,0.05696,0.04949,-0.0049,0.7021,1.0000
7.250,0.4875,0.05693,0.04956,-0.0060,0.6876,1.0000
