Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s828-nr-100000
Airfoil,s828-nr
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,28.8925
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-s828-nr-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.2826,0.11588,0.11174,-0.0729,0.9583,0.1108
-10.750,-0.3130,0.11263,0.10856,-0.0753,0.9572,0.1134
-10.500,-0.3473,0.11002,0.10603,-0.0755,0.9561,0.1139
-10.250,-0.3246,0.10767,0.10368,-0.0702,0.9552,0.1171
-10.000,-0.3282,0.10585,0.10188,-0.0677,0.9547,0.1198
-9.750,-0.3419,0.10335,0.09942,-0.0663,0.9544,0.1228
-9.500,-0.3766,0.09950,0.09565,-0.0670,0.9541,0.1265
-9.250,-0.4714,0.09363,0.08949,-0.0765,0.9537,0.1181
-9.000,-0.4954,0.09165,0.08753,-0.0730,0.9529,0.1194
-8.750,-0.5285,0.09003,0.08592,-0.0682,0.9526,0.1198
-8.500,-0.5712,0.08906,0.08495,-0.0619,0.9526,0.1185
-7.750,-0.7382,0.09285,0.08907,-0.0202,1.0000,0.1072
-7.500,-0.7597,0.09010,0.08627,-0.0164,1.0000,0.1088
-7.250,-0.7826,0.08729,0.08331,-0.0124,1.0000,0.1111
-7.000,-0.8347,0.08753,0.08284,-0.0044,1.0000,0.1142
-6.750,-0.8084,0.08033,0.07611,-0.0053,1.0000,0.1186
-6.500,-0.8132,0.07759,0.07324,-0.0021,1.0000,0.1239
-6.250,-0.8274,0.07439,0.06976,0.0017,1.0000,0.1306
-6.000,-0.8217,0.07122,0.06661,0.0042,1.0000,0.1356
-5.000,-0.7924,0.04931,0.04202,0.0200,1.0000,0.0561
-4.750,-0.7759,0.04659,0.03830,0.0244,1.0000,0.0472
-4.500,-0.7591,0.04280,0.03426,0.0260,1.0000,0.0456
-4.250,-0.7406,0.04017,0.03127,0.0279,1.0000,0.0446
-4.000,-0.7198,0.03795,0.02867,0.0297,1.0000,0.0446
-3.750,-0.6984,0.03648,0.02686,0.0312,1.0000,0.0456
-3.500,-0.6763,0.03473,0.02494,0.0322,1.0000,0.0492
-3.250,-0.6550,0.03358,0.02375,0.0332,1.0000,0.0538
-3.000,-0.6326,0.03261,0.02257,0.0346,1.0000,0.0592
-2.750,-0.6139,0.03151,0.02158,0.0360,1.0000,0.0715
-2.500,-0.5983,0.03031,0.02057,0.0382,1.0000,0.0918
-2.250,-0.1895,0.04369,0.03674,-0.0227,1.0000,1.0000
-2.000,-0.1797,0.04363,0.03654,-0.0208,1.0000,1.0000
-1.750,-0.1696,0.04361,0.03638,-0.0190,1.0000,1.0000
-1.500,-0.1594,0.04362,0.03626,-0.0171,1.0000,1.0000
-1.250,-0.1489,0.04367,0.03619,-0.0153,1.0000,1.0000
-1.000,-0.1383,0.04375,0.03615,-0.0135,1.0000,1.0000
-0.750,-0.1276,0.04386,0.03614,-0.0117,1.0000,1.0000
-0.500,-0.1169,0.04399,0.03618,-0.0099,1.0000,1.0000
-0.250,-0.1061,0.04415,0.03625,-0.0081,1.0000,1.0000
0.000,-0.0952,0.04434,0.03636,-0.0063,1.0000,1.0000
0.250,-0.0843,0.04455,0.03649,-0.0046,1.0000,1.0000
0.500,-0.0735,0.04479,0.03665,-0.0028,1.0000,1.0000
0.750,-0.0443,0.04526,0.03706,-0.0051,0.9951,1.0000
1.000,-0.0130,0.04576,0.03751,-0.0077,0.9873,1.0000
1.250,0.0145,0.04651,0.03821,-0.0094,0.9807,1.0000
1.500,0.0452,0.04732,0.03898,-0.0118,0.9721,1.0000
1.750,0.0653,0.04758,0.03922,-0.0120,0.9632,1.0000
2.000,0.0965,0.04912,0.04071,-0.0143,0.9575,1.0000
2.250,0.1135,0.04900,0.04060,-0.0138,0.9470,1.0000
2.500,0.1306,0.04950,0.04110,-0.0134,0.9388,1.0000
3.000,0.1746,0.05087,0.04248,-0.0143,0.9205,1.0000
3.250,0.1927,0.05161,0.04324,-0.0140,0.9123,1.0000
3.500,0.2234,0.05279,0.04444,-0.0160,0.9033,1.0000
3.750,0.2356,0.05299,0.04468,-0.0145,0.8917,1.0000
4.000,0.2517,0.05360,0.04532,-0.0138,0.8808,1.0000
4.250,0.2753,0.05461,0.04637,-0.0144,0.8715,1.0000
4.500,0.3132,0.05597,0.04782,-0.0172,0.8601,1.0000
4.750,0.3358,0.05648,0.04839,-0.0172,0.8456,1.0000
5.000,0.3948,0.05453,0.04653,-0.0202,0.7952,1.0000
5.250,0.4393,0.05433,0.04642,-0.0225,0.7777,1.0000
5.500,0.4704,0.05421,0.04640,-0.0230,0.7634,1.0000
5.750,0.4970,0.05407,0.04639,-0.0228,0.7496,1.0000
6.000,0.5217,0.05389,0.04632,-0.0222,0.7363,1.0000
6.250,0.5465,0.05362,0.04617,-0.0215,0.7231,1.0000
6.500,0.5730,0.05319,0.04587,-0.0210,0.7101,1.0000
6.750,0.6013,0.05255,0.04542,-0.0205,0.6973,1.0000
7.000,0.6337,0.05153,0.04456,-0.0202,0.6845,1.0000
7.250,0.6708,0.05003,0.04326,-0.0202,0.6720,1.0000
7.500,0.7134,0.04786,0.04136,-0.0204,0.6597,1.0000
7.750,0.7553,0.04531,0.03906,-0.0202,0.6470,1.0000
8.000,0.7784,0.04334,0.03730,-0.0176,0.6303,1.0000
8.250,0.8087,0.04061,0.03483,-0.0153,0.6126,1.0000
8.500,0.8225,0.03873,0.03313,-0.0112,0.5897,1.0000
8.750,0.8324,0.03705,0.03165,-0.0066,0.5594,1.0000
9.000,0.8948,0.03097,0.02426,-0.0037,0.3361,1.0000
9.250,0.8747,0.03265,0.02521,0.0030,0.2496,1.0000
9.500,0.8596,0.03435,0.02631,0.0086,0.1875,1.0000
9.750,0.8518,0.03584,0.02738,0.0134,0.1478,1.0000
10.000,0.8492,0.03714,0.02841,0.0174,0.1212,1.0000
10.250,0.8530,0.03824,0.02934,0.0208,0.1042,1.0000
10.500,0.8657,0.03930,0.03022,0.0231,0.0897,1.0000
10.750,0.8810,0.04026,0.03120,0.0251,0.0783,1.0000
11.000,0.9157,0.04154,0.03255,0.0251,0.0679,1.0000
11.250,0.9568,0.04354,0.03465,0.0241,0.0583,1.0000
11.500,0.9945,0.04630,0.03743,0.0228,0.0502,1.0000
11.750,1.0040,0.04844,0.04002,0.0258,0.0477,1.0000
12.000,1.0062,0.05046,0.04235,0.0293,0.0453,1.0000
12.250,1.0090,0.05217,0.04418,0.0323,0.0430,1.0000
12.500,1.0202,0.05695,0.04907,0.0333,0.0397,1.0000
12.750,1.0058,0.05884,0.05124,0.0382,0.0394,1.0000
13.000,0.9951,0.06164,0.05432,0.0420,0.0394,1.0000
13.250,0.9757,0.06442,0.05742,0.0462,0.0392,1.0000
13.500,0.9612,0.06778,0.06105,0.0492,0.0392,1.0000
13.750,0.9431,0.07133,0.06486,0.0519,0.0392,1.0000
14.000,0.9338,0.07630,0.07001,0.0532,0.0397,1.0000
14.250,0.9210,0.07882,0.07280,0.0550,0.0401,1.0000
14.500,0.8971,0.08341,0.07757,0.0563,0.0400,1.0000
14.750,0.8716,0.08638,0.08084,0.0574,0.0410,1.0000
15.000,0.6904,0.08841,0.08371,0.0604,0.0461,1.0000
15.250,0.6565,0.09389,0.08934,0.0583,0.0481,1.0000
15.500,0.6280,0.09934,0.09490,0.0557,0.0495,1.0000
15.750,0.6099,0.10452,0.10013,0.0534,0.0506,1.0000
